route,label,predicted_category,confidence,description,total_ms,prompt_ms,eval_ms,prompt_tokens,generated_tokens,tokens_per_sec
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00008.jpg,none,none,0.95,No visible smoke columns or flames detected; the scene appears to be a normal daytime landscape with vegetation and structures.,15096.7,232.6,8152.2,859,457,56.1
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00009.jpg,none,none,0.95,"No visible fire signals such as flames, hotspots, or abnormal haze detected.",6984.3,197.0,5844.8,859,330,56.5
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00011.jpg,none,none,0.95,No visible fire signals detected in the low-quality nighttime scene.,8071.8,198.2,6808.3,859,383,56.3
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00014.jpg,none,none,0.95,"No visible fire signals such as smoke columns, flames, or heat haze detected in the image.",8613.4,193.9,7266.9,859,409,56.3
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00018.jpg,none,none,0.95,No detectable fire or smoke; image shows a parking lot with clear skies.,7544.0,201.2,6341.8,859,357,56.3
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00029.jpg,none,none,0.95,"The image shows a dam with water spillways and sunlight reflection causing lens flare; no smoke columns, flames (overexposed blobs), or heat haze indicative of fire are present.",9358.9,202.7,7912.9,859,446,56.4
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00033.jpg,none,none,0.85,No clear signs of active fire or significant smoke detected; possible atmospheric haze but no definitive indicators.,8251.8,201.9,6933.6,859,391,56.4
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00041.jpg,none,none,0.95,"No visible fire signals such as smoke columns, flames, or heat haze detected in the image.",6134.1,202.2,5065.9,859,287,56.7
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00049.jpg,none,smoke,0.75,Grayish-white plumes ascending vertically on the hillside suggest localized ground-level smoke.,10121.1,201.0,8525.1,859,483,56.7
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00051.jpg,none,none,0.95,No visible fire signals detected; scene shows daylight with lens flare and natural terrain.,10398.6,200.7,8812.3,859,496,56.3
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00054.jpg,none,none,0.95,No visible signs of fire or smoke detected; the scene appears calm with natural daylight and no irregular glowing spots.,9178.5,202.5,7762.8,859,435,56.0
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00057.jpg,none,both,0.85,Bright clusters of high-intensity pixels suggest hotspots indicative of fire; hazy textures in the background may represent smoke.,8343.6,204.4,6988.4,859,395,56.5
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00062.jpg,none,none,0.95,The image shows a sunny landscape with vegetation and hills; no fire signals or smoke are detected.,7518.7,204.3,6213.5,859,355,57.1
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00063.jpg,none,smoke,0.75,"A vertical column of grayish-white smoke rises from a hillside, indicating potential ground-level activity.",17951.5,201.6,15451.2,859,866,56.0
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00066.jpg,none,none,0.95,"The image shows a daytime landscape with lens flare from bright sunlight, no visible flames, hotspots or distinct smoke columns indicative of fire activity.",11212.6,202.9,9519.5,859,536,56.3
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00076.jpg,none,none,0.95,No visible fire signals such as flames or smoke detected; bright areas likely represent artificial lighting reflections.,8314.5,200.5,6902.4,859,393,56.9
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00077.jpg,none,none,0.95,"The image shows a daytime landscape with lens flare effects but no visible flames, hotspots, or smoke indicative of active fires.",8122.2,203.8,6738.3,859,383,56.8
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00101.jpg,none,none,0.95,"The image shows a parking lot with lens flare and sunlight glare but no visible signs of fire, smoke columns, or heat haze.",6224.4,200.6,5189.3,859,291,56.1
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00106.jpg,none,smoke,0.65,A dark plume near the hilltop may indicate distant smoke obscuring vegetation.,10542.1,204.6,8887.5,859,502,56.5
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00115.jpg,none,none,0.9,No fire signals detected in this daytime image of an urban area with clear skies.,11343.8,203.4,9614.8,859,542,56.4
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00121.jpg,none,none,0.95,No visible signs of active fires or smoke; general haze likely caused by environmental factors rather than fire-related phenomena.,8299.2,204.4,7007.2,859,393,56.1
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00122.jpg,none,smoke,0.75,"Grayish plumes rising from vegetation on the hill suggest distant smoke, possibly indicating a fire source.",7893.1,202.2,6637.2,859,372,56.0
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00138.jpg,none,none,0.85,No distinct fire signals or smoke plumes are visible in the low-quality nighttime image.,11323.3,203.2,9699.8,859,541,55.8
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00142.jpg,none,none,0.95,"No fire signals such as bright hotspots, irregular glowing patterns, or hazy/smoke obscuring vegetation are visible in the image.",8541.2,203.5,7165.9,859,404,56.4
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00143.jpg,none,none,0.95,The image shows a clear daytime scene with no detectable fire signals or smoke.,10840.6,194.8,9303.1,859,517,55.6
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00153.jpg,none,smoke,0.6,The image shows diffuse haze patterns consistent with atmospheric smoke rather than distinct fire sources or plumes originating from ground-level combustion.,11106.2,202.7,9425.7,859,529,56.1
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00159.jpg,none,none,0.95,"No visible fire signals such as smoke columns, flames, or heat haze detected in the image.",8222.6,202.1,6873.7,859,389,56.6
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00163.jpg,none,none,0.95,"The image shows nighttime streetlights along a road with no evidence of fire, smoke columns, or heat haze.",8849.5,202.3,7506.1,859,420,56.0
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00169.jpg,none,none,0.95,The image shows artificial lights from street lamps and vehicles with no visible fire hotspots or smoke plumes.,6856.8,203.9,5780.1,859,323,55.9
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00184.jpg,none,none,0.65,No clear evidence of active fires or smoke; potential atmospheric haze observed but lacks definitive signs.,8706.7,198.1,7409.1,859,413,55.7
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00185.jpg,none,both,0.7,Bright overexposed fire spots near vegetation combined with hazy atmospheric effects suggesting smoke.,11106.7,203.6,9373.2,859,531,56.7
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00187.jpg,none,none,0.65,No clear fire signals detected; haze may be natural atmospheric conditions.,10494.7,197.2,8898.3,859,501,56.3
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00189.jpg,none,fire,0.7,Bright white/yellow glowing spots on the hillside suggest potential fire hotspots.,11773.8,203.6,10034.7,859,564,56.2
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00191.jpg,none,none,0.95,No visible smoke columns or flames detected; bright spots appear consistent with structured lighting infrastructure.,9527.7,204.1,8288.1,859,454,54.8
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00192.jpg,none,fire,0.7,"Bright white/yellow spots scattered across the landscape suggest potential fire hotspots, though smoke plumes are not clearly visible.",11328.7,203.8,9850.7,859,542,55.0
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00204.jpg,none,none,0.95,"No visible flames, hotspots, or significant smoke detected in the night-vision image.",8941.8,204.4,7828.1,859,425,54.3
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00212.jpg,none,none,0.95,No visible fire or smoke detected; bright spots are likely streetlights and vehicle headlights.,9139.5,199.4,7875.0,859,435,55.2
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00229.jpg,none,smoke,0.75,Smoke plumes are visible rising from the area near buildings and vegetation.,9606.5,202.3,8156.2,859,458,56.2
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00233.jpg,none,none,0.85,No clear evidence of active flames or smoke detected in this low-quality night-time image; potential light sources may be artificial rather than fire-related.,8348.9,198.9,7191.9,859,396,55.1
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00237.jpg,none,none,0.95,"No visible flames, hotspots or significant smoke detected in this low-quality night-time scene.",7992.4,202.3,6971.0,859,378,54.2
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00242.jpg,none,both,0.75,Bright white/yellow spot in top left suggests fire activity; grayish haze around vegetation may indicate smoke plumes.,8563.2,197.8,7329.8,859,403,55.0
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00245.jpg,none,smoke,0.75,Hazy area obscuring vegetation suggests possible smoke presence.,10068.3,204.7,8378.8,859,479,57.2
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00254.jpg,none,none,0.95,"No visible signs of smoke, flames or heat haze detected in the image.",9198.5,203.5,7544.1,859,435,57.7
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00260.jpg,none,none,0.95,No visible flames or smoke detected; environment appears calm and undisturbed.,7889.1,204.6,6469.4,859,370,57.2
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00274.jpg,none,none,0.7,No visible flames or distinct smoke plumes detected; possible haze may be natural atmospheric conditions.,8762.6,196.4,7142.6,859,414,58.0
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00280.jpg,none,none,0.95,"No visible signs of smoke, flames or heat haze detected in the image.",8372.2,203.6,7079.9,859,395,55.8
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00282.jpg,none,both,0.85,Multiple bright fire hotspots with surrounding haze indicative of burning vegetation or controlled burns.,8021.0,196.7,6768.1,859,380,56.1
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00286.jpg,none,none,0.85,"No clear evidence of active fires, flames, or significant smoke detected in the image.",9542.5,202.8,8076.0,859,452,56.0
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00292.jpg,none,none,0.95,"No visible fire signals such as smoke, flames, or heat haze detected in the image.",6296.0,205.2,5261.2,859,294,55.9
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00296.jpg,none,none,0.95,"No visible signs of smoke, flames, or heat haze; environment appears calm with natural vegetation and infrastructure.",8678.0,197.5,7324.8,859,410,56.0
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00314.jpg,none,none,0.95,No visible fire signals or smoke detected in the image.,9794.1,202.0,8284.3,859,466,56.3
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00318.jpg,none,none,0.95,"No visible fire signals such as hotspots, irregular glowing spots, or smoke plumes detected in the image.",6103.8,202.0,5119.0,859,286,55.9
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00320.jpg,none,none,0.95,"No fire signals detected; image shows a sunset landscape with no visible smoke, flames, or hotspots.",10122.6,201.4,8563.1,859,483,56.4
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00325.jpg,none,none,0.95,No detectable fire signals or smoke; bright sunlight causes lens flare but no irregular glowing spots indicative of fire.,10338.5,199.7,8853.4,859,494,55.8
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00328.jpg,none,none,0.95,No visible smoke columns or flames detected; image shows urban area with vegetation under sunlight.,6561.2,203.7,5498.5,859,307,55.8
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00350.jpg,none,none,0.95,"No visible fire signals such as flames, hotspots, smoke plumes, or heat haze detected in the image.",8258.5,203.3,6902.5,859,390,56.5
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00351.jpg,none,both,0.95,Bright white/yellow glowing hotspots indicative of fire are present alongside grayish smoke plumes or haze obscuring vegetation and terrain.,7518.5,204.9,6261.7,859,355,56.7
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00356.jpg,none,none,0.95,No visible fire signals detected; image shows nighttime urban area with artificial lighting.,9701.8,204.4,8200.6,859,461,56.2
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00357.jpg,none,none,0.95,No visible fire signals such as smoke or flames detected in this daytime urban landscape image.,6921.8,203.4,5818.1,859,326,56.0
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00358.jpg,none,none,0.95,No visible fire signals detected; sunlight glare obscures potential details.,7112.2,205.5,5902.9,859,335,56.8
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00363.jpg,none,none,0.95,No visible signs of active flames or distinct smoke plumes detected in daylight urban landscape.,8683.4,205.0,7351.5,859,412,56.0
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00364.jpg,none,none,0.95,"No visible fire signals such as smoke, flames, or hotspots detected in the image.",8070.1,205.5,6737.0,859,382,56.7
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00369.jpg,none,none,0.95,"The image shows an urban area during daylight without visible signs of smoke, flames, or heat haze.",8069.3,201.1,6764.7,859,381,56.3
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00371.jpg,none,smoke,0.7,A visible smoke column rising from industrial areas near the horizon.,8254.2,203.0,7023.7,859,391,55.7
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00394.jpg,none,none,0.95,No visible signs of smoke or flames; sunlight glare obscures potential details but does not indicate active fires.,7017.7,202.1,5815.8,859,330,56.7
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00395.jpg,none,none,0.95,No signs of fire or smoke detected; clear daytime view of an urban area.,8019.5,203.1,6754.2,859,379,56.1
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00403.jpg,none,none,0.95,The image shows a sunset over hills without visible smoke columns or incandescent hotspots indicative of active fires.,9415.1,204.8,7986.9,859,448,56.1
