ruta,etiqueta,categoria_predicha,confianza,descripcion,total_ms,prompt_ms,eval_ms,prompt_tokens,generated_tokens,tokens_per_sec
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00008.jpg,none,ERROR,0.0,"{""error"":{""code"":400,""message"":""request (13354 tokens) exceeds the available context size (4096 tokens), try increasing it"",""type"":""exceed_context_size_error"",""n_prompt_tokens"":13354,""n_ctx"":4096}} (status code: 400)",0,0,0,0,0,0
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00009.jpg,none,ERROR,0.0,"{""error"":{""code"":400,""message"":""request (13354 tokens) exceeds the available context size (4096 tokens), try increasing it"",""type"":""exceed_context_size_error"",""n_prompt_tokens"":13354,""n_ctx"":4096}} (status code: 400)",0,0,0,0,0,0
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00011.jpg,none,ERROR,0.0,"{""error"":{""code"":400,""message"":""request (13354 tokens) exceeds the available context size (4096 tokens), try increasing it"",""type"":""exceed_context_size_error"",""n_prompt_tokens"":13354,""n_ctx"":4096}} (status code: 400)",0,0,0,0,0,0
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00014.jpg,none,ERROR,0.0,"{""error"":{""code"":400,""message"":""request (13354 tokens) exceeds the available context size (4096 tokens), try increasing it"",""type"":""exceed_context_size_error"",""n_prompt_tokens"":13354,""n_ctx"":4096}} (status code: 400)",0,0,0,0,0,0
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00018.jpg,none,ERROR,0.0,"{""error"":{""code"":400,""message"":""request (13354 tokens) exceeds the available context size (4096 tokens), try increasing it"",""type"":""exceed_context_size_error"",""n_prompt_tokens"":13354,""n_ctx"":4096}} (status code: 400)",0,0,0,0,0,0
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00029.jpg,none,ERROR,0.0,"{""error"":{""code"":400,""message"":""request (13354 tokens) exceeds the available context size (4096 tokens), try increasing it"",""type"":""exceed_context_size_error"",""n_prompt_tokens"":13354,""n_ctx"":4096}} (status code: 400)",0,0,0,0,0,0
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00033.jpg,none,ERROR,0.0,"{""error"":{""code"":400,""message"":""request (13354 tokens) exceeds the available context size (4096 tokens), try increasing it"",""type"":""exceed_context_size_error"",""n_prompt_tokens"":13354,""n_ctx"":4096}} (status code: 400)",0,0,0,0,0,0
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00041.jpg,none,ERROR,0.0,"{""error"":{""code"":400,""message"":""request (7210 tokens) exceeds the available context size (4096 tokens), try increasing it"",""type"":""exceed_context_size_error"",""n_prompt_tokens"":7210,""n_ctx"":4096}} (status code: 400)",0,0,0,0,0,0
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00049.jpg,none,ERROR,0.0,"{""error"":{""code"":400,""message"":""request (7210 tokens) exceeds the available context size (4096 tokens), try increasing it"",""type"":""exceed_context_size_error"",""n_prompt_tokens"":7210,""n_ctx"":4096}} (status code: 400)",0,0,0,0,0,0
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00051.jpg,none,ERROR,0.0,"{""error"":{""code"":400,""message"":""request (7210 tokens) exceeds the available context size (4096 tokens), try increasing it"",""type"":""exceed_context_size_error"",""n_prompt_tokens"":7210,""n_ctx"":4096}} (status code: 400)",0,0,0,0,0,0
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00054.jpg,none,ERROR,0.0,"{""error"":{""code"":400,""message"":""request (7210 tokens) exceeds the available context size (4096 tokens), try increasing it"",""type"":""exceed_context_size_error"",""n_prompt_tokens"":7210,""n_ctx"":4096}} (status code: 400)",0,0,0,0,0,0
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00057.jpg,none,ERROR,0.0,"{""error"":{""code"":400,""message"":""request (7210 tokens) exceeds the available context size (4096 tokens), try increasing it"",""type"":""exceed_context_size_error"",""n_prompt_tokens"":7210,""n_ctx"":4096}} (status code: 400)",0,0,0,0,0,0
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00062.jpg,none,ERROR,0.0,"{""error"":{""code"":400,""message"":""request (7210 tokens) exceeds the available context size (4096 tokens), try increasing it"",""type"":""exceed_context_size_error"",""n_prompt_tokens"":7210,""n_ctx"":4096}} (status code: 400)",0,0,0,0,0,0
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00063.jpg,none,ERROR,0.0,"{""error"":{""code"":400,""message"":""request (7210 tokens) exceeds the available context size (4096 tokens), try increasing it"",""type"":""exceed_context_size_error"",""n_prompt_tokens"":7210,""n_ctx"":4096}} (status code: 400)",0,0,0,0,0,0
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00066.jpg,none,none,0.0,La imagen muestra un paisaje con vegetación en una colina y vehículos estacionados; no se observan señales claras de fuego o humo.,12676.2,1510.1,10888.4,3114,517,47.5
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00076.jpg,none,none,0.0,"La imagen muestra un paisaje diurno con vegetación y áreas de estacionamiento bajo condiciones claras, sin señales evidentes de fuego o humo.",11785.8,1047.7,10307.6,3114,489,47.4
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00077.jpg,none,none,0.0,La imagen muestra una vegetación densa y áreas de estacionamiento sin señales evidentes de fuego o humo.,11306.6,1041.6,9842.9,3114,467,47.4
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00101.jpg,none,none,0.95,"La imagen muestra una pendiente cubierta de vegetación con efectos ópticos causados por la luz solar intensa y posibles artefactos del lente, pero no hay señales evidentes de fuego o humo.",10969.2,1022.0,9517.0,3114,446,46.9
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00106.jpg,none,ERROR,0.0,"{""error"":{""code"":400,""message"":""request (13354 tokens) exceeds the available context size (4096 tokens), try increasing it"",""type"":""exceed_context_size_error"",""n_prompt_tokens"":13354,""n_ctx"":4096}} (status code: 400)",0,0,0,0,0,0
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00115.jpg,none,ERROR,0.0,"{""error"":{""code"":400,""message"":""request (13354 tokens) exceeds the available context size (4096 tokens), try increasing it"",""type"":""exceed_context_size_error"",""n_prompt_tokens"":13354,""n_ctx"":4096}} (status code: 400)",0,0,0,0,0,0
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00121.jpg,none,ERROR,0.0,"{""error"":{""code"":400,""message"":""request (13354 tokens) exceeds the available context size (4096 tokens), try increasing it"",""type"":""exceed_context_size_error"",""n_prompt_tokens"":13354,""n_ctx"":4096}} (status code: 400)",0,0,0,0,0,0
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00122.jpg,none,ERROR,0.0,"{""error"":{""code"":400,""message"":""request (13354 tokens) exceeds the available context size (4096 tokens), try increasing it"",""type"":""exceed_context_size_error"",""n_prompt_tokens"":13354,""n_ctx"":4096}} (status code: 400)",0,0,0,0,0,0
