ruta,etiqueta,categoria_predicha,confianza,descripcion,total_ms,prompt_ms,eval_ms,prompt_tokens,generated_tokens,tokens_per_sec
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00008.jpg,none,none,1.0,"La imagen es de baja calidad y nocturna, lo que dificulta la detección de señales de fuego. No se pueden distinguir focos incandescentes o puntos brillantes visibles, ni humo a distancia. La iluminación artificial es estructurada y no hay ninguna fuente de luz que sugiere un punto caliente. Además, la vegetación y el horizonte son claros y no se observan texturas grisáceas tenues o manchas brillantes que pudieran indicar humo. La imagen no muestra ninguna señal de fuego.",8005.3,426.6,2096.0,1448,194,92.6
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00009.jpg,none,none,1.0,La imagen muestra una vista panorámica de un paisaje natural con vegetación y un cielo parcialmente nublado. No hay señales claras de fuego en la imagen.,1456.2,339.9,983.2,1448,92,93.6
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00011.jpg,none,none,1.0,"La imagen es de baja calidad y nocturna, lo que dificulta la identificación de señales de fuego. No se pueden distinguir focos incandescentes o puntos brillantes visibles, ni humo a distancia. La iluminación artificial es estructurada y no parece haber ningún indicio de un evento de incendio en la imagen.",1941.5,329.3,1485.0,1448,138,92.9
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00014.jpg,none,none,1.0,"La imagen es de baja calidad y nocturna, lo que dificulta la detección de señales de fuego. No se pueden distinguir focos incandescentes o puntos brillantes visibles, ni humo a distancia. La iluminación artificial es estructurada y no parece haber fuentes de fuego irregulares en el entorno.",1909.3,331.9,1447.9,1448,135,93.2
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00018.jpg,none,none,1.0,La imagen muestra una vista a distancia de un área con vegetación y algunas estructuras que podrían ser edificios o instalaciones. No hay señales claras de humo ni focos incandescentes visibles en la fotografía.,1589.8,331.3,1126.0,1448,105,93.2
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00029.jpg,none,none,1.0,"La imagen es de baja calidad y nocturna, lo que dificulta la detección de señales de fuego. No se pueden distinguir focos incandescentes o puntos brillantes visibles, ni humo a distancia. La iluminación artificial es estructurada y no parece haber fuentes de fuego irregulares. Por lo tanto, la categoría predicha es 'none' con una confianza del 100%.",2154.2,331.5,1692.2,1448,157,92.8
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00033.jpg,none,none,1.0,No hay señales de fuego en la imagen proporcionada.,1125.4,329.0,667.1,1448,63,94.4
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00041.jpg,none,none,1.0,"La imagen es de baja calidad y nocturna, lo que dificulta la detección de señales de fuego. No se pueden distinguir focos incandescentes o puntos brillantes visibles, ni humo a distancia ni texturas difuminadas y neblinosas. La imagen parece ser una fotografía de un paisaje natural durante el día, con vegetación y un cielo parcialmente nublado. No hay evidencia clara de la presencia de un incendio en esta imagen.",2291.3,330.2,1842.1,1448,172,93.4
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00049.jpg,none,none,1.0,"La imagen es de baja calidad y nocturna, lo que dificulta la detección de señales de fuego. No se pueden distinguir focos incandescentes o puntos brillantes visibles, ni humo a distancia. La iluminación artificial es estructurada y no parece haber ninguna fuente de fuego irregular en el entorno. Además, la vegetación y los edificios son claros y no hay nubes visibles que puedan confundirse con humo. Por lo tanto, no se pueden detectar señales de fuego en esta imagen.",2476.2,335.0,2020.7,1448,187,92.5
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00051.jpg,none,none,1.0,"La imagen es de baja calidad y nocturna, lo que dificulta la detección de señales de fuego. No se pueden distinguir focos incandescentes o puntos brillantes visibles, ni humo a distancia ni texturas grisáceas tenues que obscurezcan el fondo/horizonte. La iluminación natural y artificial es difusa y no hay elementos que indiquen la presencia de un incendio en la imagen.",2189.3,332.6,1734.7,1448,160,92.2
