indice,archivo,label_real,prediccion,confianza,descripcion,correcto,total_ms,prompt_ms,eval_ms,prompt_tokens,generated_tokens,tokens_per_sec
1,-1l5631l3fg_0.avi,violencia,violencia,0.99,"Un grupo de personas se reúne alrededor de un conflicto, con movimientos agresivos y erráticos entre fotogramas.",1,5926.1,0,5926.1,3236,62,10.5
2,-1l5631l3fg_1.avi,violencia,violencia,0.99,Un individuo se acerca a la cámara y comienza a golpear a otra persona en la cabeza con un objeto desconocido,1,5345.9,0,5345.9,3236,62,11.6
3,-1l5631l3fg_2.avi,violencia,violencia,0.99,"Un grupo de personas se reúne alrededor de un conflicto, con movimientos agresivos y erráticos entre fotogramas.",1,5342.4,0,5342.4,3236,62,11.6
4,0H2s9UJcNJ0_0.avi,violencia,violencia,0.99,"Un grupo de personas se ha reunido alrededor de un conflicto, con movimientos agresivos y erráticos entre fotogramas.",1,5844.0,0,5844.0,3236,64,11.0
5,0H2s9UJcNJ0_2.avi,violencia,violencia,0.99,"Un grupo de personas se ha reunido alrededor de un conflicto, con movimientos agresivos y erráticos entre fotogramas.",1,5650.1,0,5650.1,3236,64,11.3
6,0H2s9UJcNJ0_3.avi,violencia,violencia,0.99,"Un grupo de personas se ha reunido alrededor de un conflicto, con movimientos agresivos y erráticos entre fotogramas.",1,5718.5,0,5718.5,3236,64,11.2
7,0H2s9UJcNJ0_4.avi,violencia,violencia,0.99,"Un grupo de personas se ha reunido alrededor de un conflicto, con movimientos agresivos y erráticos entre fotogramas.",1,5649.6,0,5649.6,3236,64,11.3
8,0H2s9UJcNJ0_5.avi,violencia,violencia,0.99,"Un grupo de personas se reúne alrededor de un conflicto, con movimientos agresivos y erráticos entre fotogramas.",1,5477.0,0,5477.0,3236,62,11.3
9,0lHQ2f0d_0.avi,violencia,violencia,0.99,"Un grupo de personas se ha reunido alrededor de un conflicto, con movimientos agresivos y erráticos entre fotogramas.",1,5443.9,0,5443.9,3236,64,11.8
10,0lHQ2f0d_1.avi,violencia,violencia,0.99,"Un grupo de personas se ha reunido alrededor de un conflicto, con movimientos agresivos y erráticos entre fotogramas.",1,5449.2,0,5449.2,3236,64,11.7
11,0lHQ2f0d_2.avi,violencia,violencia,0.99,"Un grupo de personas se ha reunido alrededor de un conflicto, con movimientos agresivos y erráticos entre fotogramas.",1,5441.2,0,5441.2,3236,64,11.8
12,0lHQ2f0d_3.avi,violencia,violencia,0.99,"Un grupo de personas se reúne alrededor de un conflicto, con movimientos agresivos y caídas",1,5119.4,0,5119.4,3236,57,11.1
13,0NWz-01A2yk_0.avi,violencia,violencia,0.99,Un individuo está golpeando a otro en la cabeza con un objeto,1,4874.2,0,4874.2,3236,52,10.7
14,0NWz-01A2yk_1.avi,violencia,no_violencia,0.99,No se detectaron señales de violencia en los fotogramas.,0,5036.6,0,5036.6,3236,54,10.7
15,0TFi8D8IBg4_1.avi,violencia,violencia,0.99,"Un grupo de personas se reúne alrededor de un conflicto, con movimientos agresivos y erráticos entre fotogramas.",1,5621.3,0,5621.3,3236,62,11.0
