indice,label_real,prediccion,confianza,descripcion,correcto,source,total_ms,prompt_ms,eval_ms,prompt_tokens,generated_tokens,tokens_per_sec
1,violencia,normal,0.99,"La secuencia de imágenes muestra a dos personas peleando en un pasillo, sin que se vea ninguna arma o fuego. No hay indicios de accidentes ni de graficos en las imágenes.",0,local,6301.5,0,6301.5,3204,75,11.9
2,violencia,grafico,0.0,"La imagen muestra una secuencia de fotos de personas en un pasillo con una puerta abierta, pero no hay gráficos, diagramas o visualizaciones de datos visibles en la imagen.",0,local,5990.2,0,5990.2,3204,74,12.4
3,violencia,grafico,0.0,"La imagen muestra una secuencia de fotos de una persona en un entorno interior, posiblemente un edificio, con diferentes momentos capturados en cada foto. No hay indicios de armas, fuego o accidentes en la imagen. La presencia de graficos o tablas no es evidente en la imagen.",0,local,7011.1,0,7011.1,3204,96,13.7
4,violencia,normal,0.99,"La secuencia de imágenes muestra a un grupo de personas en un espacio público, posiblemente un aeropuerto o una estación de tren, involucradas en una pelea física. No hay armas ni fuego visibles, y no hay accidentes ni graficos en las imágenes. La confianza en que se trata de una situación normal es del 99%.",0,local,7213.9,0,7213.9,3204,104,14.4
5,violencia,normal,0.99,"La imagen muestra una escena de un hospital con personas en diferentes situaciones, incluyendo a una persona que parece estar en una situación de emergencia o accidente. No hay indicios de violencia, armas o fuego visible en la imagen. La escena no parece estar relacionada con ningún evento específico, por lo que se puede clasificar como una escena normal.",0,local,7149.8,0,7149.8,3204,104,14.5
6,violencia,violencia,0.99,"La imagen muestra una pelea física entre varias personas en un espacio cerrado, lo que indica una situación de violencia",1,local,5134.9,0,5134.9,3204,61,11.9
7,violencia,normal,0.99,"La imagen muestra una escena de un aeropuerto con personas corriendo y empujándose, lo que indica una situación de emergencia o pánico. No hay indicios de armas, fuego o accidentes visibles en la imagen. Por lo tanto, la clasificación más adecuada para esta imagen es 'normal'.",0,local,6783.9,0,6783.9,3204,95,14.0
8,violencia,normal,0.99,"La secuencia de imágenes muestra a personas en un entorno interior, posiblemente un pasillo o una zona de espera, con una persona agarrando a otra. No hay indicios de armas, fuego o accidentes, y no hay gráficos o visualizaciones de datos visibles.",0,local,6588.1,0,6588.1,3204,91,13.8
9,violencia,violencia,0.99,"La secuencia de imágenes muestra a un grupo de personas involucradas en una pelea física, con algunos individuos agarrándose y empujándose. La escena es caótica y parece haber un nivel significativo de agresión y conflicto entre los involucrados.",1,local,6382.5,0,6382.5,3204,87,13.6
10,violencia,grafico,0.0,"La imagen muestra una secuencia de fotos que parecen ser de un incidente de tráfico, pero no hay ninguna indicación de que se trate de un accidente de tráfico. Por lo tanto, la respuesta más probable es que se trate de un accidente de tráfico.",0,local,6480.5,0,6480.5,3204,88,13.6
11,violencia,grafico,0.0,"La imagen muestra una secuencia de fotos que parecen ser de un incidente de tráfico, pero no hay ninguna indicación de armas, fuego o graficos visibles en las fotos.",0,local,5699.9,0,5699.9,3204,72,12.6
12,violencia,grafico,0.0,"La imagen muestra una secuencia de fotos que parecen ser de un incidente de tráfico, pero no hay ninguna indicación de armas, fuego o graficos visibles en las fotos.",0,local,5659.3,0,5659.3,3204,72,12.7
13,violencia,grafico,0.0,"La imagen muestra una serie de fotos de una persona en un entorno de trabajo, posiblemente una tienda o un restaurante, con un objeto que parece ser un cuchillo. No hay indicios de fuego, armas o accidentes en las fotos.",0,local,6435.0,0,6435.0,3204,86,13.4
14,violencia,grafico,0.0,"La imagen muestra una secuencia de fotos de seguridad de un evento, probablemente un accidente o una emergencia, pero no hay ninguna indicación de armas, fuego o accidentes visibles en las fotos.",0,local,5866.9,0,5866.9,3204,75,12.8
15,violencia,normal,0.99,"La imagen muestra a un grupo de personas peleando en un pasillo, lo que se considera una situación normal y cotidiana.",0,local,5242.5,0,5242.5,3204,63,12.0
16,violencia,normal,0.99,"La secuencia de imágenes muestra a personas caminando por una acera junto a una calle con coches y un camión en movimiento. No hay indicios de violencia, armas o fuego, y no hay accidentes ni graficos visibles en las imágenes.",0,local,6358.9,0,6358.9,3204,86,13.5
17,violencia,grafico,0.0,"La imagen muestra una serie de imágenes de seguridad que contienen personas en un entorno interior, posiblemente una escuela o un centro comunitario. No hay indicios de armas, fuego o accidentes en las imágenes. Por lo tanto, la respuesta más probable es 'grafico'.",0,local,6585.9,0,6585.9,3204,91,13.8
18,violencia,grafico,0.0,La imagen muestra una serie de imágenes de seguridad que parecen representar un incidente de violencia o pelea física entre personas en un entorno interior.,0,local,5408.0,0,5408.0,3204,65,12.0
19,violencia,grafico,0.0,"La imagen muestra una serie de imágenes de seguridad que contienen personas en un entorno interior, pero no hay ninguna indicación de armas, fuego o accidentes. Por lo tanto, la respuesta más probable es que no haya ninguna actividad inusual o peligrosa ocurriendo en la imagen.",0,local,6742.1,0,6742.1,3204,94,13.9
20,violencia,grafico,0.0,"La imagen muestra una serie de imágenes de seguridad que contienen personas en un entorno interior, posiblemente una escuela o un centro de atención médica, con una mesa de comedor y sillas. No hay indicios de armas, fuego o accidentes en las imágenes. Por lo tanto, la respuesta final es 'grafico'.",0,local,7079.1,0,7079.1,3204,101,14.3
