indice,label_real,prediccion,confianza,descripcion,correcto,source,total_ms,prompt_ms,eval_ms,prompt_tokens,generated_tokens,tokens_per_sec
1,violence,violence,0.95,La secuencia muestra una altercado físico o pelea entre dos personas cerca de las puertas del ascensor.,1,local,11991.0,380.6,7782.3,599,551,70.8
2,violence,ERROR,0,,0,local,48603.6,270.0,47850.0,599,3497,73.1
3,violence,normal,0.95,"La secuencia muestra a una persona bajando unas escaleras en un pasillo con cinta amarilla de precaución, pero no hay evidencia visible de violencia, armas, fuego o accidentes.",0,local,35110.3,260.9,34419.5,599,2527,73.4
4,violence,violence,0.95,La secuencia de video muestra claramente a varias personas involucradas en un forcejeo físico y una pelea agresiva donde alguien es derribado al suelo.,1,local,9260.5,265.5,8576.3,599,634,73.9
5,violence,violence,0.95,La imagen muestra una secuencia de cámaras donde varias personas están sujetando y luchando físicamente con otra persona en el suelo.,1,local,11689.7,263.4,11020.4,599,814,73.9
6,violence,violence,0.95,La secuencia visualiza un enfrentamiento físico donde oficiales intervienen en una pelea o asalto.,1,local,12797.0,265.7,12114.4,599,894,73.8
7,violence,violence,0.95,"La secuencia muestra a oficiales de policía interviniendo físicamente con civiles en un entorno público, lo que implica agitación física y agresión.",1,local,13894.0,266.1,13203.5,599,974,73.8
8,violence,violence,0.95,"La secuencia muestra una pelea física y agresión entre personas en un pasillo, lo que clasifica la escena como violencia.",1,local,11214.4,263.1,10494.8,599,776,73.9
9,violence,violence,0.95,La secuencia de imágenes muestra a un grupo de personas peleando físicamente y empujándose en la calle.,1,local,7601.6,269.0,6932.9,599,513,74.0
10,violence,violence,0.95,La secuencia de imágenes muestra un altercado físico y una pelea entre varias personas en la calle.,1,local,10232.4,266.3,9531.0,599,704,73.9
11,violence,violence,0.98,La secuencia de video muestra claramente una pelea física y agresión entre varias personas en la calle.,1,local,13258.8,264.6,12558.2,599,926,73.7
12,violence,violence,0.98,La secuencia muestra a un grupo de personas peleando físicamente en la calle y huyendo del lugar.,1,local,9290.7,264.3,8545.2,599,620,72.6
13,violence,normal,0.95,El video muestra actividad cotidiana en un comercio con una persona organizando bolsas en el mostrador de pago.,0,local,8630.8,488.7,7704.5,599,533,69.2
