indice,label_real,prediccion,confianza,descripcion,correcto,source,total_ms,prompt_ms,eval_ms,prompt_tokens,generated_tokens,tokens_per_sec
1,violencia,violencia,0.95,"La secuencia muestra claramente una pelea física entre personas cerca de unas puertas y escaleras en un pasillo, lo que indica violencia.",1,local,15473.7,433.0,8580.4,638,635,74.0
2,violencia,violencia,0.95,"La secuencia de imágenes muestra una interacción física agresiva al principio (dos personas luchando o empujándose cerca del ascensor) seguida por alguien cayendo o deslizándose rápidamente por las escaleras, lo que indica un acto violento.",1,local,27991.8,285.3,27325.8,638,2002,73.3
3,violencia,normal,0.95,"La secuencia muestra a una persona descendiendo por unas escaleras en un entorno interior (posiblemente oficinas). No hay indicios de violencia física, armas visibles, fuego ni accidentes. La actividad parece ser el movimiento cotidiano dentro del edificio.",0,local,12902.2,288.2,12230.1,638,901,73.7
4,violencia,violencia,0.98,"La secuencia de imágenes muestra a un grupo de personas involucradas en una pelea física agresiva en el suelo, con empujones y forcejeos visibles entre varios individuos.",1,local,10287.8,283.7,9619.8,638,710,73.8
5,violencia,violencia,0.9,"La secuencia muestra una altercado físico donde varias personas están involucradas en un forcejeo o restricción de alguien al suelo, lo cual indica agresión física.",1,local,10045.6,287.6,9376.8,638,691,73.7
6,violencia,violencia,0.98,"La imagen muestra a oficiales de seguridad o policía sujetando y derribando físicamente a varias personas en el suelo dentro de un pasillo público, lo que constituye una pelea física o agresión.",1,local,10837.5,285.5,10175.9,638,748,73.5
7,violencia,violencia,0.95,"La secuencia muestra a oficiales de seguridad o policía físicamente involucrados en una altercado con varias personas en el suelo y otros corriendo por pánico, lo que indica un conflicto físico agresivo.",1,local,12785.6,287.0,12114.7,638,890,73.5
8,violencia,violencia,0.98,"La secuencia de imágenes muestra claramente una altercado físico entre dos personas en un pasillo con taquillas. Se observa cómo una persona agrede a otra, provocando que esta caiga al suelo y se produzca una lucha cuerpo a cuerpo.",1,local,14363.7,286.2,13695.4,638,1005,73.4
9,violencia,violencia,0.95,"La secuencia de imágenes muestra una alterca física en la calle donde varias personas están corriendo y peleando entre sí, lo que indica agresión o violencia.",1,local,10604.0,286.1,9932.5,638,730,73.5
10,violencia,violencia,0.95,"La secuencia muestra a un grupo de personas en la calle que se están peleando físicamente entre sí, empujándose y agarrándose mutuamente, lo cual constituye una agresión física clara.",1,local,15640.3,286.9,14968.9,638,1099,73.4
