indice,archivo,label_real,prediccion,confianza,descripcion,correcto,total_ms,prompt_ms,eval_ms,prompt_tokens,generated_tokens,tokens_per_sec
1,ABbframe00145.jpg,weapon,no_weapon,1.0,A person walking while holding a smartphone.,0,4594.0,119.0,685.5,403,38,55.4
2,ABbframe00289.jpg,weapon,no_weapon,1.0,A person walking past a wall with no visible weapons.,0,1042.7,96.3,748.0,403,41,54.8
3,ABbframe00322.jpg,weapon,no_weapon,1.0,The person is holding an object that appears to be a smartphone.,0,988.6,97.8,705.7,403,39,55.3
4,ABbframe00325.jpg,weapon,no_weapon,1.0,A person walking away from the camera holding a remote control.,0,989.1,93.8,689.8,403,38,55.1
5,ABbframe00331.jpg,weapon,no_weapon,1.0,A person walking away from the camera holding a remote control.,0,1049.6,98.4,686.6,403,38,55.3
6,ABmframe00154.jpg,weapon,no_weapon,1.0,A person walking while holding a smartphone.,0,1006.3,93.3,685.1,403,38,55.5
7,ABmframe00262.jpg,weapon,no_weapon,1.0,A person is holding a smartphone.,0,1000.7,95.1,669.5,403,37,55.3
8,ABmframe00280.jpg,weapon,no_weapon,1.0,"A person is holding an object that appears to be a tool or cleaning equipment, not resembling any weapon.",0,1190.7,95.7,855.2,403,47,55.0
9,ABmframe00334.jpg,weapon,no_weapon,1.0,A person is standing in front of a wall with no visible weapon.,0,1040.5,94.8,726.9,403,40,55.0
10,ABmframe00346.jpg,weapon,no_weapon,1.0,A person is standing in front of a wall with no visible weapons.,0,1031.6,96.4,720.5,403,40,55.5
11,ABsframe00010.jpg,weapon,no_weapon,1.0,A person is standing and looking at their phone.,0,1035.6,95.4,725.5,403,40,55.1
12,ABsframe00121.jpg,weapon,no_weapon,1.0,"A person is holding a tool that appears to be a shovel or similar object, not resembling any weapon.",0,1173.0,95.8,854.5,403,47,55.0
13,ABsframe00157.jpg,weapon,no_weapon,1.0,A person holding a smartphone while walking past a wall with text and logos.,0,1040.2,95.4,742.0,403,41,55.3
14,ABsframe00193.jpg,weapon,no_weapon,1.0,A person standing in front of a wall with no visible weapons.,0,1065.0,94.1,785.5,403,43,54.7
15,ABsframe00196.jpg,weapon,no_weapon,1.0,A person standing in front of a wall with no visible weapon.,0,981.8,94.6,702.9,403,39,55.5
16,ABsframe00208.jpg,weapon,no_weapon,1.0,A person is standing near a wall with no visible weapon.,0,1047.6,93.8,764.0,403,42,55.0
17,DSC_00021.jpg,weapon,no_weapon,1.0,A person is holding a smartphone.,0,1016.6,95.8,597.9,403,33,55.2
18,DSC_0010.jpg,weapon,weapon,1.0,The person is holding a knife in their right hand.,1,1021.5,93.9,651.8,403,36,55.2
19,DSC_00131.jpg,weapon,no_weapon,1.0,A person is standing near a fire alarm box with no visible weapon.,0,1122.5,94.3,724.9,403,40,55.2
20,DSC_00321.jpg,weapon,no_weapon,1.0,The image shows a person holding an object that appears to be a cigarette.,0,1187.7,94.1,743.4,403,41,55.2
21,DSC_00361.jpg,weapon,no_weapon,1.0,The person is holding a small object that does not resemble any known weapon.,0,1155.4,95.1,743.9,403,41,55.1
22,DSC_00591.jpg,weapon,weapon,1.0,A person is holding a knife in their hands.,1,976.4,93.3,632.0,403,35,55.4
23,DSC_0069.jpg,weapon,no_weapon,1.0,A person standing on stairs holding a wooden stick.,0,1121.9,94.5,727.1,403,40,55.0
24,DefenseAndSurvive14.jpg,weapon,no_weapon,1.0,The image shows two individuals in a gym setting with no visible weapons.,0,1032.0,93.2,728.9,403,40,54.9
25,DefenseKnifeAttack0103.jpg,weapon,no_weapon,1.0,Two individuals in a martial arts training environment with no visible weapons.,0,969.2,93.2,708.7,403,39,55.0
26,DefenseKnifeAttack0155.jpg,weapon,weapon,1.0,One person is holding a knife while engaging in an activity with another individual.,1,996.3,96.1,727.6,403,40,55.0
27,DefenseKnifeAttack0163.jpg,weapon,no_weapon,1.0,"Two individuals in a martial arts training environment, no weapons visible.",0,1014.6,95.0,707.5,403,39,55.1
28,DefenseKnifeAttack0168.jpg,weapon,weapon,1.0,A person is holding a knife in their hand.,1,905.1,94.9,634.6,403,35,55.2
29,DefenseKnifeAttack0169.jpg,weapon,weapon,1.0,One person is holding a knife while interacting with another individual.,1,942.4,92.9,671.1,403,37,55.1
30,DefenseKnifeAttack0172.jpg,weapon,no_weapon,1.0,Two individuals appear to be practicing martial arts or self-defense techniques without any visible weapons.,0,1120.5,94.6,781.9,403,43,55.0
31,DefenseKnifeAttack0183.jpg,weapon,weapon,1.0,One person is holding a knife.,1,829.4,94.2,576.4,403,32,55.5
32,DefenseKnifeAttack0184.jpg,weapon,weapon,1.0,A person is holding a knife.,1,875.4,95.1,577.2,403,32,55.4
33,DefenseKnifeAttack0218.jpg,weapon,weapon,1.0,A person is holding a knife in their right hand.,1,943.2,95.0,653.5,403,36,55.1
34,DefenseKnifeAttack0315.jpg,weapon,no_weapon,1.0,Two individuals are practicing martial arts in a gym with no visible weapons.,0,1057.7,94.2,726.5,403,40,55.1
35,DefenseKnifeAttack0320.jpg,weapon,no_weapon,1.0,Two individuals practicing martial arts in a gym with no visible weapons.,0,1053.9,94.7,779.6,403,43,55.2
36,DefenseKnifeAttack0376.jpg,weapon,weapon,1.0,One person is holding a knife.,1,855.4,95.3,577.3,403,32,55.4
37,DefenseKnifeAttack0399.jpg,weapon,no_weapon,1.0,Two individuals are engaged in a martial arts training session with no visible weapons.,0,1085.4,94.1,745.7,403,41,55.0
38,DefenseKnifeAttack0443.jpg,weapon,weapon,1.0,One person is holding a knife while interacting with another individual.,1,1014.8,94.2,744.1,403,41,55.1
39,DefenseKnifeAttack0451.jpg,weapon,no_weapon,1.0,Two individuals are engaged in a martial arts demonstration without any visible weapons.,0,1036.2,93.2,726.4,403,40,55.1
40,DefenseKnifeAttack0476.jpg,weapon,no_weapon,1.0,"Two individuals are engaged in a physical activity, one holding an object that resembles a knife.",0,1065.7,93.7,800.4,403,44,55.0
41,DefenseKnifeAttack0690.jpg,weapon,no_weapon,1.0,Two individuals are practicing martial arts in a gym with no visible weapons.,0,1084.4,95.2,800.5,403,44,55.0
42,DefenseKnifeAttack0734.jpg,weapon,no_weapon,1.0,Two individuals appear to be engaged in a physical training or exercise session without any visible weapons.,0,1116.6,95.0,800.3,403,44,55.0
43,DefenseKnifeAttack0784.jpg,weapon,no_weapon,1.0,Two individuals are practicing martial arts without any visible weapons.,0,913.4,94.5,668.2,403,37,55.4
44,DefenseKnifeAttack0798.jpg,weapon,weapon,1.0,One person is holding a knife while interacting with another individual.,1,945.5,95.5,666.7,403,37,55.5
45,DefenseKnifeAttack1072.jpg,weapon,no_weapon,1.0,Two individuals practicing martial arts in a gym with no visible weapons.,0,972.3,93.0,706.0,403,39,55.2
