indice,video_id,label_real,prediccion,confianza,descripcion,correcto,total_ms,prompt_ms,eval_ms,prompt_tokens,generated_tokens,tokens_per_sec
1,000906,accidente,accidente,0.95,"La secuencia de fotogramas muestra un accidente de tráfico en una carretera. Se observan varios vehículos y personas en el lugar del incidente. La primera imagen muestra a dos vehículos que se están colisionando, mientras que la segunda imagen muestra uno de los vehículos que ha salido de la carretera y está en un estado de derribo. La tercera imagen muestra el despliegue de airbags y cristales rotos en uno de los vehículos, lo que indica un impacto fuerte. La cuarta imagen muestra a una persona que ha salido del vehículo accidentado. La quinta imagen muestra la escena después del incidente, con el vehículo derribado y varios elementos de seguridad en el lugar. La sexta imagen muestra a un grupo de personas que están trabajando en el lugar del accidente.",1,7831.9,318.9,2826.4,927,263,93.0
2,000010,no_accidente,accidente,0.95,"La secuencia de fotogramas muestra un accidente de tráfico en una intersección urbana. Se observan varios vehículos que se encuentran en la carretera y en el cruce, con alguno que ha sido impactado por otro vehículo. La foto 1 muestra a los vehículos antes del accidente, mientras que la foto 2 muestra el momento de impacto. En la foto 3 se observa el despliegue de airbag y daños en el vehículo que ha sido colisionado. La foto 4 muestra el vehículo que ha causado el accidente, mientras que la foto 5 muestra a los vehículos después del accidente, con alguno que ha salido de la carretera y otro que ha parado bruscamente en la intersección. La foto 6 muestra el despliegue de airbag y daños en el vehículo que ha sido impactado por otro vehículo. La foto 7 muestra a los vehículos después del accidente, con alguno que ha salido de la carretera y otro que ha parado bruscamente en la intersección.",0,3986.5,389.4,3403.9,927,318,93.4
3,000960,accidente,accidente,0.95,"La secuencia de fotogramas muestra un accidente de tráfico en una carretera rural. Los vehículos se encuentran en la misma posición en todos los fotogramas, lo que indica que el accidente ocurrió entre el primer y segundo fotograma. La primera imagen muestra a los vehículos en movimiento, mientras que la segunda imagen muestra a los vehículos con daños visibles, como cristales rotos y despliegue de airbag. El tercer fotograma muestra el desplazamiento de los vehículos después del accidente, lo que confirma la ocurrencia del accidente entre el primer y segundo fotograma.",1,2822.7,471.5,2193.7,927,210,95.7
4,000717,accidente,accidente,0.95,"La secuencia de fotogramas muestra un accidente de tráfico que ocurre en una carretera rural. En el primer fotograma (t=1), se observa a dos vehículos en movimiento, uno detrás del otro. A medida que se avanza en la secuencia, se puede ver cómo un vehículo se despliega de la carretera y se colisiona con el otro, lo que sugiere una fuerte impacto. En los fotogramas posteriores (t=2, t=3, t=4), se observan daños en ambos vehículos, así como un desplazamiento de airebags y cristales rotos. La secuencia finaliza con el vehículo que ha sufrido el impacto siendo arrastrado por la fuerza del choque. La confianza es alta debido a la clara evidencia visual de un accidente de tráfico.",1,3445.8,445.1,2793.9,927,267,95.6
5,002791,no_accidente,accidente,0.95,"La secuencia de fotogramas muestra un vehículo que se despliega en el primer fotograma, seguido por la aparición de otro vehículo y una persona en los siguientes fotogramas. La posición del vehículo y la persona cambia drásticamente entre fotogramas, lo que indica un accidente de tráfico. Además, se observa el despliegue de airbag en uno de los fotogramas posteriores, lo que confirma la ocurrencia de un accidente.",0,2414.0,458.4,1790.3,927,172,96.1
6,001460,accidente,accidente,0.95,"La secuencia de fotogramas muestra un accidente de tráfico en una carretera. Se observan varios vehículos que se encuentran en la carretera, y uno de ellos sufre un impacto repentino con otro vehículo que sale de la carretera. La secuencia muestra el despliegue de airbag y cristales rotos en el vehículo afectado, así como la parada brusca del vehículo que ha causado el accidente. También se observan escombros y daños visibles en los fotogramas posteriores. Los vehículos demasiado cerca que aparecen repentinamente en el mismo fotograma también indican un evento de colisión.",1,2905.6,464.5,2244.7,927,214,95.3
7,001074,accidente,accidente,0.95,"La secuencia de fotogramas muestra un accidente de tráfico en una carretera urbana. Inicialmente, se observan dos vehículos que se encuentran en la misma dirección, con uno de ellos más cerca del fotograma y el otro un poco más lejos. Ambos vehículos parecen estar en movimiento normal. En el tercer fotograma, se puede ver una colisión repentina entre los dos vehículos, lo que indica que ambos han chocado. Los vehículos sufren daños visibles en la parte delantera y lateral derecha. La secuencia muestra el desplazamiento de los vehículos después de la colisión, con uno de ellos saliendo de la carretera y otro que se detiene en el lugar del accidente. Los fotogramas posteriores muestran la escena del accidente con los vehículos dañados y una posible intervención de emergencia o policía.",1,3511.9,460.3,2889.0,927,274,94.8
8,000301,accidente,accidente,0.95,"La secuencia de fotogramas muestra un accidente de tráfico en una carretera rural. Se observan varios vehículos que se encuentran en la carretera, y uno de ellos sufre un impacto con otro vehículo que sale de la carretera. La fuerza del impacto es evidente en el momento de la colisión, ya que los airbags están desplegados y hay daños visibles en el vehículo que ha sido golpeado. Además, se puede ver cómo uno de los vehículos se vuelca en su lado derecho después del impacto. La secuencia muestra la evolución de la situación desde antes del accidente hasta después de la colisión, incluyendo el momento en que los vehículos se encuentran en la carretera y el momento en que uno de ellos sale de la carretera.",1,3207.8,451.1,2584.0,927,247,95.6
9,000082,accidente,no_accidente,0.95,"La secuencia de fotogramas muestra un vehículo en movimiento durante la noche. La luz artificial de las calles y el interior del coche son visibles, lo que indica que el vehículo está en una zona urbanizada con iluminación artificial. No se observan impactos o despliegues de airbag, ni hay evidencia de un accidente de tráfico. La posición del vehículo y su movimiento son consistentes a lo largo de la secuencia, lo que sugiere que no ha habido un evento significativo en el camino del vehículo.",0,2643.3,488.2,1981.5,927,189,95.4
10,002587,no_accidente,accidente,0.95,"La secuencia de fotogramas muestra un accidente de tráfico que ha ocurrido entre dos vehículos. Se observan los siguientes elementos indicativos del accidente:
    1. Un impacto repentino entre los dos vehículos, como se puede ver en el primer fotograma (t=1).
    2. El despliegue de airbag y cristales rotos en uno de los vehículos, lo que indica un choque frontal.
    3. La parada brusca del vehículo que ha sido impactado, lo que se puede ver en el tercer fotograma (t=3).
    4. El desplazamiento de uno de los vehículos hacia la izquierda, lo que se observa en el cuarto fotograma (t=4).
    5. La rotación del vehículo impactado hacia la derecha, lo que se puede ver en el quinto fotograma (t=5).
    6. El desplazamiento de uno de los vehículos hacia la izquierda y su rotación hacia la derecha, lo que se observa en el sexto fotograma (t=6).
    7. La rotación del vehículo impactado hacia la izquierda, lo que se puede ver en el séptimo fotograma (t=7).
    8. El desplazamiento de uno de los vehículos hacia la derecha y su rotación hacia la izquierda, lo que se observa en el octavo fotograma (t=8).
    9. La rotación del vehículo impactado hacia la izquierda, lo que se puede ver en el noveno fotograma (t=9).
    10. El desplazamiento de uno de los vehículos hacia la derecha y su rotación hacia la izquierda, lo que se observa en el décimo fotograma (t=10).
    11. La rotación del vehículo impactado hacia la izquierda, lo que se puede ver en el undécimo fotograma (t=11).
    12. El desplazamiento de uno de los vehículos hacia la derecha y su rotación hacia la izquierda, lo que se observa en el duodécimo fotograma (t=12).
    13. La rotación del vehículo impactado hacia la izquierda, lo que se puede ver en el treceavo fotograma (t=13).
    14. El desplazamiento de uno de los vehículos hacia la derecha y su rotación hacia la izquierda, lo que se observa en el cuartoceavo fotograma (t=14).
    15. La rotación del vehículo impactado hacia la izquierda, lo que se puede ver en el quinceavo fotograma (t=15).
    16. El desplazamiento de uno de los vehículos hacia la derecha y su rotación hacia la izquierda, lo que se observa en el decimosexto fotograma (t=16).
    17. La rotación del vehículo impactado hacia la izquierda, lo que se puede ver en el decimoquinto fotograma (t=17).
    18. El desplazamiento de uno de los vehículos hacia la derecha y su rotación hacia la izquierda, lo que se observa en el decimosexto fotograma (t=18).
    19. La rotación del vehículo impactado hacia la izquierda, lo que se puede ver en el decimo noveno fotograma (t=19).
    20. El desplazamiento de uno de los vehículos hacia la derecha y su rotación hacia la izquierda, lo que se observa en el vigésimo primer fotograma (t=20).
    21. La rotación del vehículo impactado hacia la izquierda, lo que se puede ver en el vigésimo segundo fotograma (t=21).
    22. El desplazamiento de uno de los vehículos hacia la derecha y su rotación hacia la izquierda",0,11542.9,491.0,10899.0,927,1024,94.0
11,000733,accidente,accidente,0.95,"En la serie de fotogramas, se observan varios eventos que indican un accidente de tráfico. Primero, hay una colisión repentina entre dos vehículos en el primer fotograma (t=1). En el segundo fotograma (t=2), se puede ver a uno de los vehículos saliendo de la carretera y desplazándose hacia la izquierda. En el tercer fotograma (t=3), se observa que uno de los vehículos ha sufrido daños visibles en sus cristales rotos, lo que indica un impacto fuerte. En el cuarto fotograma (t=4), se puede ver a uno de los vehículos con una parada brusca y movimiento errático, lo que es característico de un accidente. Finalmente, en el quinto fotograma (t=5), se observan escombros y daños visibles en la carretera y los vehículos, lo que confirma que ha habido un accidente de tráfico.",1,3655.3,343.1,3087.1,927,294,95.2
12,001697,no_accidente,accidente,0.95,"La secuencia de fotogramas muestra un accidente de tráfico nocturno. Se observan varios vehículos en movimiento, con una serie de eventos que indican un impacto entre dos vehículos. La velocidad del vehículo que se despliega es muy alta, lo que sugiere que ha sido involucrado en el accidente. Los daños visibles en los fotogramas posteriores incluyen la rotura de cristales y la deformación en el cuerpo del vehículo que ha colisionado con otro. La secuencia muestra una serie de paradas bruscas y movimientos erráticos entre los fotogramas, lo que indica que se produjo un accidente de tráfico.",0,2878.4,366.3,2321.2,927,221,95.2
13,000106,accidente,no_accidente,0.95,"La secuencia de fotogramas muestra un vehículo en movimiento en una carretera con condiciones climáticas que incluyen nieve y hielo en la superficie del pavimento. La velocidad del vehículo parece ser constante, y no hay evidencia de impacto o despliegue de airbag. Los cristales del vehículo están intactos, y no se observan escombros ni daños visibles en la secuencia de fotogramas. La posición del vehículo en los fotogramas posteriores muestra que sigue su curso normal sin desviar bruscamente o mostrar movimiento errático.",0,2671.1,391.6,2110.8,927,202,95.7
