indice,archivo,label_real,prediccion,confianza,descripcion,correcto,total_ms,prompt_ms,eval_ms,prompt_tokens,generated_tokens,tokens_per_sec
1,-1l5631l3fg_0.avi,fight,violencia,0.9,Dos personas interactúan en un pasillo interior de edificio; una empuja al otro hacia la puerta del ascensor.,0,17969.2,25.0,16906.0,3150,802,47.4
2,-1l5631l3fg_1.avi,fight,violencia,0.95,"Se observa un conflicto físico entre dos personas que culmina en una caída repentina de uno de ellos, seguido por su recuperación lenta y aparentemente dolorosa.",0,8724.8,22.3,7936.1,3150,378,47.6
3,-1l5631l3fg_2.avi,fight,no_violencia,0.95,Personas realizando actividades laborales rutinarias en un entorno industrial sin interacciones agresivas ni caídas observadas.,0,19896.3,22.3,19121.1,3150,902,47.2
4,0H2s9UJcNJ0_0.avi,fight,violencia,0.95,"Se observa una pelea física entre varias personas que persiste en los fotogramas sucesivos; hay movimientos agresivos como empujones y arrastramientos, con al menos un individuo cayendo al suelo a lo largo del tiempo.",0,10153.2,904.1,8450.5,3150,418,49.5
5,0H2s9UJcNJ0_2.avi,fight,violencia,0.9,"Múltiples personas restringen físicamente a otra persona en el suelo durante varios fotogramas, con movimientos erráticos y agresivos para mantenerla inmóvil.",0,11208.6,903.0,9538.0,3150,471,49.4
6,0H2s9UJcNJ0_3.avi,fight,violencia,0.95,Una persona es retenida y golpeada por varios agentes de seguridad mientras otros observadores intentan controlar la situación en un espacio público.,0,9235.0,906.1,7542.9,3150,373,49.5
7,0H2s9UJcNJ0_4.avi,fight,violencia,0.95,"Se observa una serie de interacciones agresivas entre personas, incluyendo empujones y agarres repetidos en diferentes momentos del video; hay individuos que caen al suelo mientras son retenidos por otros.",0,10541.3,902.8,8873.5,3150,439,49.5
8,0H2s9UJcNJ0_5.avi,fight,violencia,0.95,"Dos personas se agarran y empujan mutuamente en lo que parece ser un conflicto físico, mientras otras observadoras permanecen alejadas.",0,8912.2,911.2,7275.4,3150,360,49.5
9,0lHQ2f0d_0.avi,fight,violencia,0.95,"Se observa un conflicto físico entre grupos de personas en una zona comercial, con empujones y caídas repetidas a lo largo del tiempo.",0,8169.0,908.7,6494.4,3150,322,49.6
10,0lHQ2f0d_1.avi,fight,violencia,0.95,"Se observa una pelea intensa entre grupos de personas que se empujan y golpean mutuamente, con algunos individuos cayendo al suelo mientras otros intentan separarlos o intervenir en el conflicto.",0,14593.4,910.6,12916.4,3150,637,49.3
11,0lHQ2f0d_2.avi,fight,violencia,0.95,"Se observa una progresión de interacciones físicas agresivas entre grupos, con movimientos erráticos y contactos directos que escalan hacia peleas cuerpo a cuerpo en el centro del área vigilada.",0,14978.8,912.3,13295.2,3150,655,49.3
12,0lHQ2f0d_3.avi,fight,violencia,0.95,"Se observa una multitud de personas moviéndose agresivamente en el área central, con individuos empujándose y golpeándose entre sí a lo largo del tiempo, mientras otros caen al suelo o son derribados por las fuerzas brutas.",0,15524.0,915.0,13849.7,3150,682,49.2
13,0NWz-01A2yk_0.avi,fight,no_violencia,0.85,"Dos personas interactúan de manera cercana y física en un área con mostrador, manteniendo contacto físico continuo pero sin evidencia clara de agresión o daño visible.",0,11876.7,916.0,10192.0,3150,503,49.4
14,0NWz-01A2yk_1.avi,fight,no_violencia,0.8,"Dos personas caen al suelo frente a un escáner de equipaje y son atendidas por otro individuo, lo que sugiere una emergencia médica o accidente accidental en lugar de violencia intencional.",0,11162.7,917.8,9456.7,3150,466,49.3
