ruta,etiqueta,categoria_predicha,confianza,descripcion,total_ms,prompt_ms,eval_ms,prompt_tokens,generated_tokens,tokens_per_sec
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00008.jpg,none,none,0.95,No se detectan columnas de humo ni focos de calor; la imagen muestra un paisaje natural con colinas y estacionamiento bajo luz ambiental normal al atardecer.,17054.5,913.6,9074.7,1595,603,66.4
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00009.jpg,none,none,0.98,No se observan columnas de humo ni focos de fuego en la vegetación del paisaje o las colinas.,8689.3,1259.5,7021.8,1595,453,64.5
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00011.jpg,none,none,0.85,"La imagen muestra una escena nocturna oscura con luces artificiales puntuales y vegetación en primer plano, sin evidencia visual de llamas o humo.",15666.5,1250.8,14003.7,1595,898,64.1
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00014.jpg,none,none,0.98,La imagen muestra un paisaje de colinas y estacionamiento bajo luz diurna sin evidencia visual de humo o llamas.,10456.9,1203.7,8836.1,1555,568,64.3
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00018.jpg,none,none,0.95,No se detectan columnas de humo ni focos de fuego en la imagen; el paisaje muestra un estacionamiento y colinas bajo condiciones diurnas normales.,8977.3,1217.0,7347.9,1555,474,64.5
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00029.jpg,none,none,0.95,No se detectan llamas ni humo; la imagen muestra un estacionamiento y una colina con fuertes reflejos de lente (lens flare) en el lado derecho que no indican fuego.,24970.0,1209.2,23356.4,1555,1494,64.0
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00033.jpg,none,none,0.95,La imagen muestra un paisaje diurno con colinas y una zona de aparcamiento sin evidencia visual de fuego o humo.,12075.8,1263.3,10398.0,1595,670,64.4
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00041.jpg,none,none,0.98,No se detectan columnas de humo ni llamas; las líneas verticales brillantes son reflejos del sol (lente) y no fuego.,9279.4,749.8,8146.2,1025,524,64.3
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00049.jpg,none,none,0.96,No se detectan llamas ni humo; las manchas brillantes verticales son artefactos de reflejo solar en la lente y no fuentes de fuego.,12527.9,718.3,11430.4,1025,736,64.4
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00051.jpg,none,none,0.95,No se detectan llamas ni humo; las luces brillantes son el sol y efectos de lente.,12456.3,728.7,11350.4,1025,731,64.4
