route,label,predicted_category,confidence,description,total_ms,prompt_ms,eval_ms,prompt_tokens,generated_tokens,tokens_per_sec
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00008.jpg,none,none,0.95,No fire signals or smoke are visible in the landscape scene.,12858.1,934.6,6666.9,1432,447,67.0
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00009.jpg,none,none,0.95,No fire signals or smoke are visible in the landscape or parking lot area.,8300.0,886.1,7110.4,1432,476,66.9
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00011.jpg,none,none,0.95,"The image displays a dark, grainy night scene with a hill in the background and scattered artificial lights along the horizon and foreground, but no visible smoke plumes or bright fire hotspots are present.",15279.2,888.5,14051.0,1432,941,67.0
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00014.jpg,none,none,0.98,"The image shows a clear view of a hillside and parking lot with no visible smoke columns, flames, or heat haze indicating a fire.",6578.9,901.3,5379.6,1432,361,67.1
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00018.jpg,none,none,0.95,"No fire signals such as smoke, flames, or heat haze are visible in this daytime landscape image.",10359.5,912.5,9183.9,1432,615,67.0
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00029.jpg,none,none,0.95,"The image shows a parking lot and a hillside with significant sun glare and lens flares, but no smoke or fire signals are visible.",9830.1,899.5,8658.2,1432,581,67.1
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00033.jpg,none,none,0.95,No fire signals or smoke are visible in the hilly landscape and parking lot scene.,9963.4,895.6,8781.6,1432,588,67.0
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00041.jpg,none,none,0.95,"The image shows a parking lot and a hillside with no visible flames, smoke plumes, or heat haze, only lens flares and bright sky.",16912.4,374.3,16198.0,902,1084,66.9
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00049.jpg,none,none,0.95,No fire or smoke signals detected; the bright vertical streaks are lens flare artifacts and the scene shows a normal landscape with a parking lot and hills.,12272.3,372.3,11584.9,902,778,67.2
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00051.jpg,none,none,0.95,"The image displays a parking lot and hillside scene with strong sun glare and lens flare artifacts, but no visible flames, hotspots, or distinct smoke plumes are present.",46340.7,354.4,45528.3,902,3027,66.5
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00054.jpg,none,none,0.95,"The image displays a landscape with hills and a parking lot under bright lighting conditions, but there are no visible smoke columns, flames, or heat haze; the vertical streaks are lens flares and the atmospheric haze is uniform.",13471.2,383.9,12738.6,902,853,67.0
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00057.jpg,none,none,0.95,"The image displays a parking lot and hillside with significant sun glare and lens flare, but no distinct smoke plumes or fire hotspots are visible.",12665.6,361.4,11956.2,902,802,67.1
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00062.jpg,none,none,0.9,"The image shows a parking lot and hills with significant sun glare and vertical lens flare streaks, but no distinct fire hotspots or smoke plumes are visible.",13931.5,365.6,13231.9,902,888,67.1
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00063.jpg,none,smoke,0.9,"The image displays a hillside with significant charring and a visible grayish smoke plume rising into the atmosphere, indicating a wildfire, while a parking lot is visible in the foreground.",25419.7,358.0,24660.6,902,1650,66.9
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00066.jpg,none,none,0.95,"The image shows a parking lot and hillside with significant sun glare and lens flare streaks, but no smoke or flames are visible.",8935.1,340.6,8294.2,888,558,67.3
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00076.jpg,none,none,0.95,"The image shows a parking lot and hillside scene dominated by strong sun glare and lens flare artifacts, with no evidence of smoke or flames.",13724.8,342.0,13065.3,888,878,67.2
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00077.jpg,none,none,0.95,"The image shows a parking lot and hillside obscured by strong sun glare and lens flare artifacts, but no smoke columns or fire hotspots are present.",10056.7,341.3,9402.9,888,633,67.3
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00101.jpg,none,none,0.95,"The image displays a parking lot with a hill in the background, but the bright vertical streaks are lens flare artifacts from the sun rather than fire, and no smoke is present.",8872.8,339.1,8244.5,888,554,67.2
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00106.jpg,none,smoke,0.9,Dark smoke plumes are visible rising into the sky from the left side of the hillside.,18872.1,892.3,17696.7,1432,1182,66.8
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00115.jpg,none,none,1.0,"The image displays a clear daytime landscape with no visible signs of fire, smoke, or heat haze.",8899.8,895.0,7720.3,1432,518,67.1
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00121.jpg,none,none,0.95,"The image shows a hazy morning landscape with vegetation and buildings, showing no signs of smoke, flames, or heat haze.",11738.2,895.8,10569.5,1432,707,66.9
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00122.jpg,none,smoke,0.95,A distinct column of dark smoke is rising from the hillside vegetation on the left side of the image.,15288.7,892.0,14088.3,1432,939,66.7
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00138.jpg,none,none,0.95,"The image shows a dark, low-quality night scene with no visible smoke columns, flames, or heat haze, only distant artificial lights and a dark hillside.",7603.3,879.7,6472.6,1432,433,66.9
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00142.jpg,none,none,0.95,No fire or smoke signals detected in the daylight scene showing vegetation and buildings.,8281.7,884.0,7093.9,1432,475,67.0
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00143.jpg,none,none,0.95,No fire or smoke signals detected in this clear daytime scene showing vegetation and buildings.,8490.9,892.9,7332.5,1432,490,66.8
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00153.jpg,none,none,0.95,No fire signals such as smoke or flames are visible in this daytime scene of a vegetated hillside.,7533.6,888.1,6364.8,1432,428,67.2
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00159.jpg,none,none,0.95,No fire or smoke signals detected in the landscape or parking lot area.,8322.9,887.0,7168.0,1432,480,67.0
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00163.jpg,none,none,0.95,"The image displays a dark, low-light landscape with distant artificial lights and no visible signs of smoke, flames, or heat haze.",9238.7,881.2,8114.6,1432,542,66.8
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00169.jpg,none,none,0.95,"The image displays a bright, sunny outdoor scene with significant lens flare and vertical light streaks, but there are no visible fire hotspots, flames, or smoke plumes.",8948.8,347.1,8286.9,888,558,67.3
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00184.jpg,none,none,0.95,"The image displays a dark, hilly landscape with artificial streetlights and distant building lights, but no irregular glowing spots or smoke plumes indicative of fire are visible.",10377.7,886.6,9214.6,1432,617,67.0
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00185.jpg,none,none,0.9,"The image displays significant sun glare and lens flare obscuring the center, but there are no distinct smoke plumes or fire hotspots visible, only atmospheric haze and reflections on the cars.",9695.0,337.7,9030.4,888,607,67.2
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00187.jpg,none,none,0.95,"The image displays a dark landscape with artificial streetlights and building lights on the hilltop, but no irregular glowing hotspots or smoke plumes indicative of a fire are present.",11206.3,893.8,10026.2,1432,672,67.0
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00189.jpg,none,none,0.95,"The image shows a dark landscape with artificial streetlights and distant building lights, but no visible smoke or fire signals are present.",10932.2,893.6,9756.1,1432,653,66.9
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00191.jpg,none,none,0.95,"The image displays a dark landscape with distant artificial lights and no visible smoke columns, flames, or heat haze indicative of a fire.",13703.0,905.0,12544.2,1432,839,66.9
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00192.jpg,none,none,0.95,"No fire signals detected; the visible bright spots in the distance appear to be artificial lights rather than fire hotspots, and there is no smoke present.",15814.9,888.4,14634.4,1432,978,66.8
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00204.jpg,none,none,0.95,No fire signals or smoke detected; the image shows a dark landscape with artificial streetlights and distant horizon lights.,11206.4,888.5,10050.1,1432,673,67.0
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00212.jpg,none,none,0.95,No fire signals or smoke detected; the image shows a night scene with artificial streetlights and building lights illuminating a road and forested area.,10276.2,884.9,9093.7,1432,608,66.9
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00229.jpg,none,smoke,0.9,"A vertical column of smoke is rising from a grassy area in the middle ground, distinct from the surrounding vegetation.",13645.2,359.7,12935.8,902,868,67.1
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00233.jpg,none,none,0.95,"The image displays a dark landscape at dawn with artificial lights visible on the horizon and in the foreground, but no signs of fire or smoke are present.",10675.2,901.0,9478.2,1432,632,66.7
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00237.jpg,none,none,0.95,"The image shows a dark hillside scene with artificial streetlights and distant building lights, but no irregular bright spots or smoke plumes indicative of fire are visible.",10404.0,893.6,9197.8,1432,614,66.8
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00242.jpg,none,none,0.95,No fire signals detected; the bright glare is from the sun and the haze is atmospheric.,8568.9,891.0,7351.8,1432,492,66.9
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00245.jpg,none,none,0.95,"The image displays a clear daytime landscape with dense vegetation and buildings, showing no signs of smoke, flames, or heat haze.",9401.3,877.6,8247.6,1432,554,67.2
