indice,video_id,label_real,prediccion,confianza,descripcion,correcto,total_ms,prompt_ms,eval_ms,prompt_tokens,generated_tokens,tokens_per_sec
1,000906,accidente,no_accidente,0.95,"La secuencia muestra un flujo de tráfico continuo y fluido bajo condiciones de baja visibilidad (amanecer/atardecer). No se observa impacto físico, vuelco, parada brusca ni escombros en los fotogramas t=1 a t=9.",0,19406.4,396.8,11361.1,607,786,69.2
2,000010,no_accidente,no_accidente,0.98,"La secuencia muestra un flujo de tráfico urbano estable y predecible a lo largo del tiempo. No se observan colisiones, frenadas bruscas involuntarias, vehículos saliendo de la carretera o cualquier indicio de daño en los fotogramas posteriores.",1,6267.6,466.8,5301.7,607,365,68.8
3,000960,accidente,accidente,0.85,"La secuencia muestra una colisión repentina en el fotograma final (t=9). En los pasos previos se observa la aproximación de vehículos a otros estacionados; sin embargo, en t-9 aparece una nube densa de polvo/humo y un vehículo desplazado fuera del carril, indicando que ocurrió un impacto contra vegetación o colisión frontal.",1,7703.4,515.2,6744.5,607,465,68.9
4,000717,accidente,no_accidente,0.98,La secuencia muestra un movimiento suave y continuo del vehículo a lo largo de una carretera curva sin frenadas bruscas ni colisiones.,0,7637.9,452.2,6687.0,607,455,68.0
5,002791,no_accidente,no_accidente,0.98,"La secuencia muestra un flujo de tráfico estable y predecible a lo largo de todos los fotogramas (t=1/9 a t=9/9). No se observan colisiones, paradas bruscas, movimientos erráticos ni escombros en la carretera. Los vehículos mantienen una trayectoria constante.",1,6505.7,555.5,5518.7,607,385,69.8
6,001460,accidente,no_accidente,0.95,"La secuencia muestra una conducción estable en autopista sin eventos anómalos; no se observan impactos, paradas bruscas ni vehículos saliendo de la vía.",0,6669.1,516.7,5730.5,607,393,68.6
7,001074,accidente,accidente,0.95,"La progresion visual revela una colision frontal entre dos vehiculos particulares. En los fotogramas iniciales se observa la aproximacion de un coche beige y otro blanco; en el frame t=6 ocurren las primeras etapas del impacto visible por la deformacion estructural inmediata en ambos capots, confirmando un choque.",1,7402.1,536.2,6415.2,607,441,68.7
8,000301,accidente,accidente,0.98,"Se observa la entrada repentina de un vehiculo oscuro desde la izquierda en los fotogramas t=4 a t=6, seguido inmediatamente por una colision fisica con el lado izquierdo del vehiculo grabador en los fotogramas finales (t=7/t=8), indicando claramente un impacto entre dos unidades.",1,7129.0,502.9,6050.5,607,417,68.9
9,000082,accidente,no_accidente,0.95,"La secuencia muestra una reducción progresiva de las distancias intervehiculares en condiciones invernales (t=1 a t=6), pero no se observa impacto físico, deformación estructural ni movimiento errático post-colisión en los fotogramas finales (t=7-9). La situación es peligrosa por la proximidad extrema y el hielo, pero sin evento de accidente consumado visible.",0,12488.5,526.4,11515.9,607,788,68.4
10,002587,no_accidente,no_accidente,0.95,El vehículo central permanece estacionario o en movimiento muy lento entre otros vehículos sin cambios bruscos de posición ni impacto visible a lo largo del tiempo observado.,1,12966.1,497.1,11978.0,607,818,68.3
11,000733,accidente,accidente,0.95,"Se observa una maniobra errática donde un vehículo blanco entra repentinamente al flujo del carril principal entre t=3/9 y t=4/9, lo que constituye una intrusión vehicular peligrosa y no planificada.",1,9644.2,464.8,8747.0,607,593,67.8
12,001697,no_accidente,ERROR,0.0,,0,15825.2,475.5,14905.0,607,1024,68.7
13,000106,accidente,ERROR,0.0,,0,15771.9,531.2,14825.7,607,1024,69.1
14,000398,accidente,accidente,0.95,"La secuencia muestra la aproximación de un camión grande que entra en el carril del vehículo grabador (t=1 a t=3). En los fotogramas siguientes (t=4 y t=6), se observa una colisión frontal-lateral donde las carrocerías entran en contacto directo, obstruyendo completamente la visión hacia adelante con el costado del camión.",1,10014.4,468.1,9082.1,607,622,68.5
15,000941,no_accidente,no_accidente,0.95,La secuencia muestra un vehículo conduciendo de manera estable por una carretera nocturna sin cambios bruscos en la trayectoria ni detenciones repentinas.,1,9652.0,426.4,8681.9,607,594,68.4
16,000033,accidente,no_accidente,0.98,"La secuencia muestra un flujo vehicular continuo y estable en una autopista urbana con condiciones de buena visibilidad (aunque hay sol fuerte). No se observan frenadas bruscas, colisiones, desvíos repentinos ni daños materiales entre los fotogramas t=1 a t=9. Los vehículos mantienen distancias seguras y trayectorias predecibles.",0,7216.5,509.6,6207.5,607,422,68.0
17,001751,no_accidente,no_accidente,0.98,"La revisión de los fotogramas revela un entorno estacionario estable en un aparcamiento sin colisiones, vuelcos o movimientos erráticos entre vehículos; el tráfico fluye normalmente con paradas controladas para aparcar, lo que indica una ausencia de incidentes accidentales significativos.",1,10445.0,505.5,9440.4,607,648,68.6
18,000342,no_accidente,no_accidente,0.98,"La secuencia muestra una intersección urbana con tráfico fluido y normal. Un vehículo negro cruza la calle desde t=4 hasta t=6 sin colisionar ni causar incidentes. No se observan paradas bruscas, escombros o daños en los fotogramas posteriores.",1,6561.3,443.9,5684.6,607,389,68.4
19,001060,no_accidente,no_accidente,0.98,"La secuencia muestra una conducción estable por una calle residencial con condiciones invernales (nieve y asfalto mojado). No se observan colisiones, paradas bruscas ni cambios de trayectoria anormales en ningún fotograma.",1,6012.4,548.0,5027.9,607,342,68.0
20,000973,no_accidente,no_accidente,0.98,"La secuencia muestra una conducción estable y continua en condiciones de niebla densa. No se observan frenadas bruscas, colisiones ni cambios de carril erráticos entre los fotogramas t=1/9 a t=9/9; el vehículo plateado mantiene su trayectoria y velocidad constante frente al vehículo grabador.",1,10722.4,498.6,9720.8,607,668,68.7
21,000636,accidente,no_accidente,0.95,"El video muestra la progresión controlada de un vehículo blanco siendo arrastrado por un remolque (visible en los fotogramas finales). No hay impacto repentino, vuelco ni escombros; el movimiento del vehículo girando y alejándose indica una maniobra planificada o recuperación vehicular.",0,8283.8,556.3,7280.5,607,500,68.7
22,002031,no_accidente,no_accidente,0.95,La secuencia muestra un movimiento continuo y estable del vehículo por la vía nocturna sin detenciones bruscas ni colisiones con otros objetos.,1,6106.0,517.6,5139.4,607,356,69.3
23,000189,accidente,no_accidente,0.98,"El video muestra una maniobra de adelantamiento normal por la izquierda con un camión girando a la derecha en t=4/9, seguido de una desviación lateral hacia el césped y árboles sin involucrar colisiones o paradas bruscas.",0,6894.0,447.0,5919.3,607,411,69.4
24,001058,accidente,ERROR,0.0,,0,15723.7,522.9,14771.4,607,1024,69.3
25,000350,no_accidente,no_accidente,0.95,"La secuencia visual no presenta indicios de impacto, colisión o movimiento errático; el vehículo avanza suavemente hacia una intersección y continúa su trayectoria sin detenerse abruptamente ni sufrir daños visibles.",1,6249.4,429.3,5340.3,607,368,68.9
26,001265,accidente,no_accidente,0.95,"La secuencia muestra un trayecto de conducción normal en una carretera urbana con tráfico fluido. No se observan impactos entre vehículos, vuelcos ni paradas bruscas anormales que indiquen un accidente.",0,10845.9,476.7,9933.6,607,688,69.3
27,000799,accidente,no_accidente,0.98,"La secuencia muestra un flujo vehicular continuo y estable sin eventos de impacto, frenado brusco o maniobras erráticas; los vehículos mantienen sus trayectorias normales a lo largo del tiempo.",0,7275.7,499.7,6330.8,607,438,69.2
28,000108,accidente,no_accidente,0.92,"La secuencia muestra un vehículo maniobrando lentamente entre una fila de coches estacionados o en tráfico denso sin evidencia de impacto violento, deformación del chasis, cristales rotos ni movimiento errático repentino característico de una colisión.",0,15256.7,544.6,14283.1,607,988,69.2
29,000431,no_accidente,no_accidente,0.98,La secuencia muestra una intersección urbana con tráfico fluido y peatones cruzando de manera segura sin colisiones ni eventos anómalos.,1,4389.7,472.6,3401.9,607,238,70.0
30,000226,accidente,ERROR,0.0,,0,15669.2,433.4,14784.2,607,1024,69.3
31,000798,no_accidente,no_accidente,0.98,La secuencia muestra un flujo de tráfico estable en una autopista nocturna sin eventos anómalos.,1,5424.2,514.3,4439.4,607,311,70.1
32,002729,no_accidente,no_accidente,0.98,"Se ha revisado la secuencia completa de fotogramas (t=1/9 a t-9/9) y no se han detectado eventos anómalos como impactos, paradas bruscas o vehículos saliendo de su trayectoria.",1,6202.1,582.4,5111.7,607,356,69.6
33,001409,accidente,no_accidente,0.95,,0,14620.7,499.1,13631.7,607,940,69.0
34,002797,no_accidente,ERROR,0.0,,0,15859.3,541.8,14834.0,607,1024,69.0
35,001488,accidente,ERROR,0.0,,0,15887.4,509.6,14838.7,607,1024,69.0
36,000872,accidente,accidente,0.95,"La secuencia muestra un impacto entre una camioneta blanca y otro vehículo (probablemente el triciclo) alrededor del fotograma t=7, seguido de la detención brusca de los vehículos involucrados en las imágenes posteriores.",1,9847.5,576.7,8809.4,607,610,69.2
37,000688,accidente,no_accidente,0.95,El vehículo rojo muestra movimiento errático y paradas bruscas entre t=4/9 y t-6/9 sin colisionar con otros vehículos ni salir de la carretera.,0,6967.4,447.9,6082.7,607,420,69.0
38,002247,no_accidente,ERROR,0.0,"{ """,0,15836.7,488.2,14846.1,607,1024,69.0
39,001885,no_accidente,ERROR,0.0,,0,15907.1,486.9,14893.5,607,1024,68.8
40,001565,no_accidente,ERROR,0.0,,0,15785.7,495.2,14807.5,607,1024,69.2
41,000273,no_accidente,no_accidente,0.95,"La secuencia de fotogramas muestra un vehículo estacionado o en movimiento muy lento sin cambios bruscos de posición, deformación estructural ni aparición repentina de otros vehículos que indiquen una colisión.",1,8228.3,515.5,7172.2,607,493,68.7
42,000435,accidente,no_accidente,0.95,"La secuencia muestra una aproximación normal de vehículos en un cruce sin colisión física, daño estructural o movimiento errático repentino entre los fotogramas.",0,7740.8,541.6,6639.5,607,454,68.4
43,000101,accidente,accidente,0.85,"En los fotogramas finales (t=7 a t=9), se observa una colisión entre dos vehículos en la intersección donde hay peatones. El vehículo que cruza o gira choca con el vehículo principal cerca del centro de la carretera.",1,6924.7,524.7,5920.2,607,404,68.2
44,000577,no_accidente,no_accidente,0.95,"La secuencia muestra un flujo de tráfico normal y continuo sin colisiones, vuelcos o paradas bruscas entre los fotogramas t=1/9 y t-9/9.",1,6052.3,510.8,5088.8,607,346,68.0
45,002431,no_accidente,no_accidente,0.98,"La secuencia muestra una liberación progresiva y ordenada del tráfico detenido (t=1 a t=3) hacia el movimiento fluido posterior (t=4 a t=9). No se observan impactos, frenadas bruscas ni daños en los vehículos.",1,9648.9,516.9,8660.4,607,596,68.8
46,001277,accidente,no_accidente,0.95,"La secuencia muestra un flujo de tráfico estable y normal en la intersección sin colisiones, vuelcos o movimientos erráticos entre los fotogramas.",0,6551.7,566.2,5523.5,607,376,68.1
47,000607,accidente,no_accidente,0.95,"La secuencia muestra un trayecto normal por una zona urbana con tráfico ligero y sin eventos de impacto, colisión o salida de la carretera observables en los fotogramas proporcionados.",0,11350.5,476.7,10411.6,607,713,68.5
48,000588,accidente,accidente,0.95,"El video muestra la progresiva aproximación de un camión de carga desde el lado izquierdo hacia una zona con vehículos estacionados o lentos en la derecha. En los fotogramas finales (t=8/9 y t=9/9), se observa claramente que el camión ha colisionado contra uno de los vehículos más pequeños, empujándolo contra un SUV blanco adyacente.",1,8454.5,424.5,7571.2,607,519,68.5
49,001777,no_accidente,ERROR,0.0,,0,16077.3,518.7,15097.0,607,1024,67.8
50,001295,accidente,no_accidente,0.98,"La progresión visual muestra un flujo de tráfico estable y continuo a través de todos los fotogramas (t=1/9 hasta t-9/9). No se observan impactos, frenazos bruscos ni desviaciones del vehículo principal; la distancia con el coche blanco adyacente permanece constante.",0,6825.3,577.8,5769.8,607,389,67.4
51,001138,no_accidente,no_accidente,0.98,"La secuencia muestra un flujo de tráfico estable y predecible en una intersección urbana nocturna sin detección de colisiones, frenadas bruscas o desviaciones de trayectoria.",1,6280.8,422.5,5392.6,607,365,67.7
52,001585,no_accidente,no_accidente,0.98,"La secuencia muestra un flujo de tráfico normal y constante sin eventos críticos como colisiones, frenadas bruscas o vehículos saliendo del carril.",1,6790.2,526.6,5807.2,607,399,68.7
53,000072,accidente,no_accidente,0.98,La secuencia muestra un flujo de tráfico estable donde tanto el camión como el vehículo más pequeño mantienen una trayectoria recta y constante sin cambios bruscos en la velocidad o posición que indiquen colisión.,0,6701.1,464.6,5756.5,607,397,69.0
54,000777,accidente,accidente,0.98,"Secuencia de choque lateral severo: el vehiculo grabador es impactado por un camion y luego colisiona con otro coche desde la derecha, evidenciando deformacion estructural inmediata en los fotogramas finales.",1,5589.6,437.7,4673.7,607,319,68.3
55,000984,no_accidente,accidente,0.98,"Análisis de la secuencia temporal revela invariancia en las posiciones relativas del vehículo blanco y el entorno entre todos los fotogramas (t=1/9 a t=9/9). No se observan vectores de aceleración brusca, deformaciones estructurales ni eventos cinemáticos consistentes con una",0,16171.5,513.8,15157.8,607,1024,67.6
56,002207,no_accidente,no_accidente,0.98,"La progresión visual muestra una conducción normal a través de una intersección urbana nocturna. No se observan impactos, frenadas bruscas ni vehículos involucrados en colisiones durante la secuencia.",1,6730.5,532.9,5720.1,607,388,67.8
57,000944,accidente,ERROR,0.0,,0,15940.5,511.6,15002.6,607,1024,68.3
58,000104,accidente,accidente,0.95,"La secuencia muestra una transición brusca desde la conducción normal (t=1 a t-6) hacia una pérdida total del campo visual y oscuridad extrema en los fotogramas finales (t=7 a t-9). Esta degradación rápida de la imagen es consistente con un impacto frontal severo contra otro vehículo, que obstruye el parabrisas o daña el sensor/cámara.",1,7742.3,505.3,6766.4,607,460,68.0
59,000445,accidente,no_accidente,0.95,"La secuencia muestra un cruce normal donde una motociclista cruza diagonalmente sin colisionar con los vehículos blancos que pasan por el fondo o primer plano. Posteriormente aparece una furgoneta blanca en movimiento fluido; no hay impactos, vuelcos ni daños visibles.",0,8491.2,572.6,7390.7,607,505,68.3
60,001352,accidente,no_accidente,0.95,"La secuencia muestra un vehículo conduciendo por una carretera urbana de noche con otro coche realizando maniobras a la izquierda sin colisionar con el conductor principal; no se observa impacto, parada brusca ni daños en los fotogramas.",0,10807.1,547.7,9735.4,607,668,68.6
61,001488,no_accidente,no_accidente,0.98,"La secuencia muestra un flujo normal de tráfico y peatones en condiciones lluviosas sin evidencia de colisiones, frenadas bruscas del vehículo principal o daños visibles.",1,9968.5,436.2,9053.9,607,620,68.5
62,000353,accidente,no_accidente,0.95,"La secuencia muestra un vehículo maniobrando junto a camiones de gran tonelaje en una intersección o zona industrial. Aunque hay vehículos muy cerca (especialmente los camiones rojos), no se observa impacto, colisión repentina, vuelco ni escombros. El movimiento del vehículo y la posición relativa de otros coches son estables entre fotogramas.",0,7149.1,516.7,6152.6,607,425,69.1
63,000907,no_accidente,no_accidente,0.92,"La secuencia muestra una conducción continua y estable a través de condiciones climáticas adversas (lluvia/noche). No se observan impactos repentinos, salidas del carril, despliegue de airbags ni paradas bruscas entre los fotogrames t=1/9 y t=9/9.",1,9978.4,507.1,9025.6,607,622,68.9
64,002657,no_accidente,no_accidente,0.98,"La secuencia de imágenes muestra un vehículo avanzando por una carretera mojada y nevada durante la noche con movimiento fluido y constante a lo largo de los fotogramas (t=1/9 hasta t=9/9). No se observan signos de colisión, paradas bruscas, escombros o vehículos que entran en conflicto repentino. La trayectoria del vehículo parece estable.",1,8441.7,514.1,7424.6,607,514,69.2
65,001348,accidente,accidente,0.95,"La secuencia muestra un vehículo rojo que aparece repentinamente en el carril y choca contra otros vehículos (probablemente camiones), provocando una colisión múltiple con daños visibles y fuego.",1,6176.1,458.3,5281.1,607,364,68.9
66,000252,accidente,no_accidente,0.98,"La secuencia muestra un flujo de tráfico urbano normal y continuo sin interrupciones bruscas, colisiones o movimientos erráticos entre los fotogramas.",0,6452.6,507.5,5482.4,607,380,69.3
