indice,archivo,label_real,prediccion,confianza,descripcion,correcto,total_ms,prompt_ms,eval_ms,prompt_tokens,generated_tokens,tokens_per_sec
1,-1l5631l3fg_0.avi,fight,no_violencia,0.9,una serie de fotos que muestran a personas caminando tranquilamente en un entorno urbano,0,1285.6,94.3,793.7,909,75,94.5
2,-1l5631l3fg_1.avi,fight,no_violencia,0.9,una serie de fotos que muestran a un hombre trabajando en una imprenta,0,942.2,28.9,731.2,909,71,97.1
3,-1l5631l3fg_2.avi,fight,no_violencia,0.9,una serie de fotogramas que muestran una persona caminando tranquilamente en un entorno urbano,0,990.0,27.9,781.8,909,76,97.2
4,0H2s9UJcNJ0_0.avi,fight,no_violencia,0.9,una serie de fotogramas que muestran a personas caminando tranquilamente en un entorno urbano,0,1072.2,28.8,784.8,909,76,96.8
5,0H2s9UJcNJ0_2.avi,fight,no_violencia,0.9,"una serie de fotogramas que muestran a personas en una sala de reuniones, hablando y trabajando juntos sin conflictos visibles",0,1280.4,212.6,867.0,909,84,96.9
6,0H2s9UJcNJ0_3.avi,fight,no_violencia,0.9,"una serie de fotogramas que muestran a un grupo de personas en una sala, realizando actividades sociales y culturales, sin ningún indicio de violencia",0,1373.4,212.6,938.6,909,91,97.0
7,0H2s9UJcNJ0_4.avi,fight,no_violencia,0.9,una serie de fotogramas que muestran una persona caminando tranquilamente en un entorno urbano,0,1203.1,211.6,781.0,909,76,97.3
8,0H2s9UJcNJ0_5.avi,fight,no_violencia,0.9,una serie de fotogramas que muestran a una persona caminando tranquilamente en un entorno urbano,0,1186.8,211.4,790.1,909,77,97.5
9,0lHQ2f0d_0.avi,fight,no_violencia,0.9,una serie de fotogramas que muestran a una persona caminando tranquilamente en un entorno urbano,0,1282.1,210.6,791.5,909,77,97.3
10,0lHQ2f0d_1.avi,fight,violencia,0.9,"la imagen muestra una serie de fotogramas que muestran a varias personas en un ambiente que parece ser una sala o un espacio cerrado. Algunos individuos están golpeándose físicamente, mientras que otros parecen estar empujando o agarrándose entre sí. También hay algunas personas que caen o son derribadas en los fotogramas. La multitud se reúne repentinamente alrededor de un conflicto, lo que sugiere una situación de violencia. El orden cronológico de los fotogramas muestra la progresión del evento, con la violencia aumentando a medida que se avanza en el tiempo.",0,2645.2,211.7,2185.8,909,209,95.6
11,0lHQ2f0d_2.avi,fight,violencia,0.9,"una serie de imágenes que muestran una situación de violencia en un espacio público, con varias personas involucradas en actos agresivos y violentos",0,1368.2,210.7,925.1,909,90,97.3
12,0lHQ2f0d_3.avi,fight,no_violencia,0.9,un momento tranquilo en el que se observan personas caminando de manera ordenada y sin conflictos visibles,0,1241.1,210.6,781.7,909,76,97.2
13,0NWz-01A2yk_0.avi,fight,no_violencia,0.9,"una serie de fotogramas que muestran a un grupo de personas caminando en una formación ordenada, sin ningún signo de violencia o agresión",0,1393.2,212.3,922.1,909,89,96.5
14,0NWz-01A2yk_1.avi,fight,no_violencia,0.9,una oración que describa lo que sucede a través de los fotogramas,0,1192.3,211.9,710.4,909,69,97.1
15,0TFi8D8IBg4_1.avi,fight,violencia,0.9,una serie de imágenes que muestran una persona golpeando a otra en un contexto que sugiere una situación de violencia,0,1257.6,211.5,840.1,909,81,96.4
16,0vasozvJYvk_0.avi,fight,no_violencia,0.9,una serie de fotogramas que muestran a personas caminando tranquilamente en un entorno urbano,0,1190.1,213.6,790.5,909,76,96.1
17,0_DzLlklZa0_3.avi,fight,no_violencia,0.9,una serie de fotogramas que muestran a personas caminando tranquilamente en un entorno urbano,0,1232.5,214.0,788.5,909,76,96.4
18,0_DzLlklZa0_4.avi,fight,no_violencia,0.9,una serie de fotogramas que muestran a personas caminando tranquilamente en un entorno urbano,0,1235.2,211.2,780.3,909,76,97.4
19,0_DzLlklZa0_5.avi,fight,no_violencia,0.9,una serie de fotogramas que muestran a personas caminando tranquilamente en un ambiente urbano,0,1217.8,211.8,780.6,909,76,97.4
20,0_DzLlklZa0_6.avi,fight,no_violencia,0.9,una serie de fotogramas que muestran una persona caminando tranquilamente en un entorno urbano,0,1242.9,211.5,781.5,909,76,97.2
21,1dsLuL5Lvbc_0.avi,fight,no_violencia,0.9,una serie de fotogramas que muestran una persona caminando tranquilamente en un entorno urbano,0,1150.6,211.9,782.1,909,76,97.2
22,1dsLuL5Lvbc_1.avi,fight,no_violencia,0.9,una serie de fotogramas que muestran a personas caminando tranquilamente en un entorno urbano,0,1153.4,213.6,779.6,909,76,97.5
23,1dsLuL5Lvbc_2.avi,fight,no_violencia,0.9,"una serie de fotogramas que muestran a personas en un entorno social, sin evidencia de violencia o agresión",0,1192.1,213.3,814.4,909,80,98.2
24,1dsLuL5Lvbc_3.avi,fight,no_violencia,0.9,"una serie de fotogramas que muestran a personas en una situación social o recreativa, sin evidencia de violencia",0,1197.7,213.0,824.0,909,80,97.1
25,1DwRGRND_0.avi,fight,no_violencia,0.9,"una serie de fotogramas que muestran a personas trabajando en equipo, compartiendo información y trabajando juntos en un entorno de oficina o laboratorio",0,1422.0,211.8,938.5,909,91,97.0
26,1DwRGRND_1.avi,fight,no_violencia,0.9,una serie de fotogramas que muestran a personas trabajando juntos en un ambiente de construcción o reparación,0,1310.5,212.4,811.5,909,79,97.4
27,1O4KGHbRt3M_0.avi,fight,no_violencia,0.9,una oración que describa lo que sucede a través de los fotogramas,0,1174.0,212.1,711.8,909,69,96.9
28,1O4KGHbRt3M_1.avi,fight,no_violencia,0.9,una serie de fotogramas que muestran a una persona caminando tranquilamente en un entorno urbano,0,1244.1,212.2,796.8,909,77,96.6
29,1O4KGHbRt3M_2.avi,fight,no_violencia,0.9,una serie de fotogramas que muestran a personas caminando tranquilamente en un ambiente urbano,0,1228.4,214.3,786.5,909,76,96.6
30,1O4KGHbRt3M_3.avi,fight,no_violencia,0.9,una oración que describa lo que sucede a través de los fotogramas,0,1166.3,212.0,718.8,909,69,96.0
31,1O4KGHbRt3M_4.avi,fight,violencia,0.9,una serie de imágenes que muestran una escalada de violencia entre personas en un entorno desconocido,0,1229.3,211.7,782.1,909,76,97.2
32,1r0Wz04q_0.avi,fight,no_violencia,0.9,una serie de fotogramas que muestran a una persona caminando tranquilamente en un entorno urbano,0,1289.3,214.2,794.8,909,77,96.9
33,1tU4kxa51vw_1.avi,fight,no_violencia,0.9,una serie de fotogramas que muestra a una persona caminando tranquilamente en un entorno urbano,0,1183.8,213.6,787.8,909,76,96.5
34,1XFiS6Lt_0.avi,fight,no_violencia,0.9,"una serie de fotogramas que muestran a un grupo de personas caminando en una formación ordenada, sin ningún signo de violencia o agresión visible",0,1379.1,225.0,941.2,909,90,95.6
35,1XFiS6Lt_1.avi,fight,no_violencia,0.9,"una serie de fotos que muestran a personas en un entorno social, sin evidencia de violencia o agresión",0,1281.6,215.5,822.7,909,79,96.0
36,24E0xYYUz44_0.avi,fight,no_violencia,0.9,"una serie de fotos que muestran a personas en un entorno interno, probablemente una estación de trenes o un centro comercial, donde se observan actividades normales como caminar, sentarse y conversar sin ningún indicio de violencia",0,1561.7,216.0,1143.3,909,110,96.2
37,24E0xYYUz44_1.avi,fight,no_violencia,0.9,"una serie de fotos que muestran a personas trabajando en un entorno industrial o comercial, con actividades normales como transportar materiales, manejar equipos y maquinaria, y realizar tareas de mantenimiento",0,1506.4,214.7,1091.0,909,105,96.2
38,24E0xYYUz44_2.avi,fight,no_violencia,0.9,una serie de fotogramas que muestran a personas trabajando en un ambiente industrial o comercial,0,1175.9,216.0,757.7,909,73,96.3
39,24E0xYYUz44_3.avi,fight,no_violencia,0.9,"una serie de fotos que muestran a personas trabajando en un ambiente industrial, con una actividad en curso que parece ser la producción o el mantenimiento de algún tipo de equipo",0,1403.9,214.3,1004.3,909,96,95.6
40,24E0xYYUz44_4.avi,fight,no_violencia,0.9,"una serie de fotogramas que muestran a un individuo caminando por una calle, sin ningún indicio de violencia o agresión",0,1311.3,214.0,910.3,909,86,94.5
41,24E0xYYUz44_5.avi,fight,no_violencia,0.9,una serie de fotogramas que muestran a personas caminando tranquilamente en un entorno urbano,0,1171.6,213.2,794.2,909,76,95.7
42,24E0xYYUz44_6.avi,fight,no_violencia,0.9,"los fotogramas muestran una serie de eventos que no muestran actividades violentas. Se observan personas caminando, conversando y realizando tareas cotidianas en un entorno urbano. La gente parece estar en movimiento normalmente, sin signos de agresión o conflicto visible en los fotogramas.",0,1739.1,212.6,1350.7,909,129,95.5
43,24E0xYYUz44_7.avi,fight,no_violencia,0.9,"la imagen muestra una serie de fotogramas que muestran a un grupo de personas en un espacio interno, probablemente un edificio o un centro comercial. La gente parece estar caminando normalmente, sin ninguna indicación de violencia o agresión. Los fotogramas muestran una serie de movimientos y posiciones que sugieren la actividad cotidiana de los individuos en el espacio. No hay evidencia de conflictos o altercados violentos en este conjunto de imágenes.",0,2219.0,215.4,1823.0,909,174,95.4
44,2hQMRq06NJs_0.avi,fight,no_violencia,0.9,"una serie de fotogramas que muestran a un grupo de personas caminando en una formación ordenada, sin ningún signo de violencia o agresión visible",0,1317.0,211.6,929.6,909,90,96.8
45,2sy_eLpH-PI_0.avi,fight,no_violencia,0.9,una oración que describa lo que sucede a través de los fotogramas,0,1094.3,212.0,711.4,909,69,97.0
46,2sy_eLpH-PI_1.avi,fight,no_violencia,0.9,una serie de fotogramas que muestran una persona caminando tranquilamente en un entorno urbano,0,1161.3,214.0,784.0,909,76,96.9
47,3CQi0ZCCHvc_0.avi,fight,no_violencia,0.9,una oración que describa lo que sucede a través de los fotogramas,0,1103.4,212.3,702.1,909,69,98.3
48,3CQi0ZCCHvc_1.avi,fight,no_violencia,0.9,una oración que describa lo que sucede a través de los fotogramas,0,1097.1,211.5,710.9,909,69,97.1
49,3CQi0ZCCHvc_2.avi,fight,no_violencia,0.9,una oración que describa lo que sucede a través de los fotogramas,0,1124.6,212.3,713.5,909,69,96.7
