indice,archivo,label_real,prediccion,confianza,descripcion,correcto,total_ms,prompt_ms,eval_ms,prompt_tokens,generated_tokens,tokens_per_sec
1,ABbframe00145.jpg,arma,no_arma,1.0,No se ve ningún objeto que parezca un arma en la imagen.,0,1141.9,207.7,724.8,853,69,95.2
2,ABbframe00289.jpg,arma,no_arma,1.0,No se ve ningún objeto que parezca un arma en la imagen.,0,888.8,38.5,716.0,853,69,96.4
3,ABbframe00322.jpg,arma,no_arma,1.0,No se ve ningún objeto que parezca un arma en la imagen.,0,900.0,39.2,713.7,853,69,96.7
4,ABbframe00325.jpg,arma,no_arma,1.0,No se ve ningún objeto que parezca un arma en la imagen.,0,916.1,39.6,715.9,853,69,96.4
5,ABbframe00331.jpg,arma,no_arma,1.0,No se ve ningún objeto que parezca un arma en la imagen.,0,887.9,39.0,714.1,853,69,96.6
6,ABmframe00154.jpg,arma,no_arma,1.0,No se ve ningún objeto que parezca un arma en la imagen.,0,895.7,38.8,721.4,853,69,95.7
7,ABmframe00262.jpg,arma,no_arma,1.0,No se observan armas en la imagen. El hombre está leyendo un documento y parece estar en una oficina o sala de reuniones.,0,1071.9,38.8,890.4,853,86,96.6
8,ABmframe00280.jpg,arma,no_arma,1.0,No se ve ningún objeto que parezca un arma en la imagen.,0,892.3,38.7,716.8,853,69,96.3
9,ABmframe00334.jpg,arma,no_arma,1.0,No se ve ningún objeto que parezca un arma en la imagen.,0,902.1,38.8,723.9,853,69,95.3
10,ABmframe00346.jpg,arma,no_arma,1.0,No se ve ningún objeto que parezca un arma en la imagen.,0,903.6,39.0,720.6,853,69,95.7
11,ABsframe00010.jpg,arma,no_arma,1.0,No se ve ningún objeto que parezca un arma en la imagen.,0,908.4,39.2,720.6,853,69,95.8
12,ABsframe00121.jpg,arma,no_arma,1.0,No se ve ningún objeto que parezca un arma en la imagen.,0,889.3,39.7,722.1,853,69,95.5
13,ABsframe00157.jpg,arma,no_arma,1.0,No se ve ningún objeto que parezca un arma en la imagen.,0,902.5,39.2,719.4,853,69,95.9
