indice,archivo,label_real,prediccion,confianza,descripcion,correcto,total_ms,prompt_ms,eval_ms,prompt_tokens,generated_tokens,tokens_per_sec
1,-1l5631l3fg_0.avi,fight,non-fight,0.95,People move independently through labeled exits across frames with no signs of physical aggression or sudden crowd gatherings.,0,30247.0,137.6,25097.4,491,1341,53.4
2,-1l5631l3fg_1.avi,fight,non-fight,0.7,Individuals are seen moving through hallways without signs of aggression or conflict.,0,8912.5,108.0,8315.2,491,447,53.8
3,-1l5631l3fg_2.avi,fight,non-fight,0.9,Individuals maintain social distancing and exhibit calm behavior across frames without physical contact or erratic movements.,0,6816.3,109.2,6295.7,491,339,53.8
4,0H2s9UJcNJ0_0.avi,fight,non-fight,0.7,People move through the area with no aggressive interactions or crowd gathering observed across frames.,0,14209.9,107.5,13473.9,491,723,53.7
5,0H2s9UJcNJ0_2.avi,fight,fight,0.95,Multiple individuals are seen pushing each other aggressively across several frames.,1,8638.7,108.9,8031.2,491,432,53.8
6,0H2s9UJcNJ0_3.avi,fight,fight,0.85,"The crowd transitions from standing calmly into aggressive interactions, including pushing and grabbing between individuals.",1,10828.3,108.1,10188.8,491,548,53.8
7,0H2s9UJcNJ0_4.avi,fight,fight,0.95,Multiple individuals engage in physical confrontations across frames with increasing intensity and erratic movements.,1,15927.7,107.8,15092.5,491,810,53.7
8,0H2s9UJcNJ0_5.avi,fight,non-fight,0.5,No clear signs of violence or aggressive interactions observed across frames.,0,12181.5,107.4,11554.3,491,621,53.7
9,0lHQ2f0d_0.avi,fight,fight,0.95,"Individuals engage in physical altercations involving pushing, grabbing limbs/bodies leading to one person falling",1,9006.0,107.9,8436.0,491,454,53.8
10,0lHQ2f0d_1.avi,fight,fight,0.85,"A group gathers around a central conflict where individuals engage in aggressive pushing and grabbing movements between frames t=6 to t=12, followed by erratic crowd behavior.",1,8139.8,107.1,7589.1,491,408,53.8
11,0lHQ2f0d_2.avi,fight,non-fight,0.85,The crowd gathers around a central structure before dispersing erratically with no visible physical conflict.,0,9144.1,108.8,8572.1,491,461,53.8
12,0lHQ2f0d_3.avi,fight,non-fight,0.85,"Individuals move about independently without any visible aggression, pushing, hitting, or crowd gathering indicative of a fight across frames.",0,9023.8,107.8,8440.8,491,454,53.8
13,0NWz-01A2yk_0.avi,fight,fight,0.85,"Two people on the left escalate from pushing to grappling across frames, indicating an aggressive confrontation.",1,10765.5,108.1,10084.5,491,541,53.6
