indice,video_id,label_real,prediccion,confianza,descripcion,correcto,total_ms,prompt_ms,eval_ms,prompt_tokens,generated_tokens,tokens_per_sec
1,000906,accidente,no_accidente,0.95,"Vehículos ingresando a intersecciones sin detenerse en señales de tráfico (verde), lo que sugiere un comportamiento errático y potencial riesgo, pero no se observa colisión o daño visible.",0,27546.6,1983.2,14722.3,6748,533,36.2
2,000010,no_accidente,no_accidente,0.95,"Flujo de tráfico regular en una intersección urbana con condiciones lluviosas, sin evidencia de colisiones o comportamientos anómalos.",1,11608.1,2469.0,8367.8,6748,305,36.4
3,000960,accidente,accidente,0.85,"Vehículos se aproximan rápidamente en una carretera estrecha con vegetación limitante, reduciendo progresivamente la distancia entre ellos hasta colisionar frontalmente (t=7/9). Se observa humo posterior al impacto, indicativo de daños o despliegue de sistemas de seguridad.",1,20566.3,2506.6,17295.2,6748,625,36.1
4,000717,accidente,no_accidente,0.95,El vehículo mantiene una trayectoria estable sin cambios abruptos o colisiones visibles en los fotogramas analizados.,0,13562.4,2629.3,10267.6,6748,373,36.3
5,002791,no_accidente,no_accidente,0.95,No se observa colisión ni movimiento errático entre vehículos; ambos mantienen trayectorias estables hacia direcciones opuestas sin interrupciones abruptas.,1,12886.1,2523.6,9637.6,6748,349,36.2
6,001460,accidente,accidente,0.95,"Vehículos en carriles adyacentes se acercan rápidamente sin mantener distancia segura, lo que sugiere una posible colisión iminente o movimiento errático antes de la última imagen.",1,16256.7,2506.6,12990.1,6748,471,36.3
7,001074,accidente,accidente,0.95,"Colisión repentina entre un vehículo marrón y otro blanco en la carretera central (t=8/9-t=9/9), con movimiento errático previo del vehículo marrón y daños visibles posteriormente.",1,12103.2,2603.8,8887.8,6748,323,36.3
8,000301,accidente,accidente,0.95,"En el fotograma t=6 se observa un vehículo negro que comienza a moverse erráticamente hacia la izquierda, mientras otro vehículo blanco lo sigue de cerca en dirección opuesta. En los fotogramas posteriores (t=7-9), ambos vehículos chocan frontalmente causando daños visibles al vehículo negro y su desplazamiento fuera del carril.",1,15407.1,2578.4,12196.4,6748,442,36.2
9,000082,accidente,no_accidente,0.7,"Vehículos frenando gradualmente y deteniéndose debido a una obstrucción en la carretera (posible presencia de escombros o señalización con cónicas), sin colisiones directas observadas.",0,21089.4,2588.9,17807.9,6748,642,36.1
10,002587,no_accidente,no_accidente,0.95,"Vehículos frenando gradualmente con luces de freno activadas, sin impactos ni daños visibles en los fotogramas posteriores.",1,16138.3,2646.5,12746.9,6748,461,36.2
11,000733,accidente,no_accidente,0.95,"Se observa un objeto rojo en el carril central (t=5/9), posiblemente escombros de una colisión previa, pero no hay vehículos detenidos ni daños visibles posteriores que indiquen un accidente reciente. Los conductores continúan su trayecto sin reacciones bruscas.",0,13797.3,2660.1,10468.0,6748,380,36.3
