indice,video_id,label_real,prediccion,confianza,descripcion,correcto,total_ms,prompt_ms,eval_ms,prompt_tokens,generated_tokens,tokens_per_sec
1,000906,crash,no_crash,1.0,"In the provided grid of frames, there is no clear evidence of a traffic accident. The vehicles are maintaining their lanes and there are no signs of sudden impact or collision, erratic movement, debris, or damage visible in later frames. Additionally, the vehicles do not appear too close to each other suddenly in any frame. Based on this analysis, it can be concluded that there is no crash detected in the given footage.",0,1725.9,187.2,812.5,807,128,157.5
2,000010,no_crash,no_crash,1.0,"The image sequence shows a series of frames depicting an urban street scene with no signs of a traffic accident. There are no sudden impacts or collisions between vehicles, no vehicle leaving the road or rolling over, no airbag deployment or broken glass, no abrupt stop or erratic movement between frames, and no debris or damage visible in later frames. The vehicles maintain a safe distance from each other throughout the sequence, and there is no indication of a crash.",1,1794.7,320.4,954.5,807,136,142.5
3,000960,crash,no_crash,1.0,"The sequence of images shows a vehicle traveling on a road with no signs of a crash or sudden impact. The vehicle maintains its position and trajectory throughout the frames without any visible damage or debris. There is no evidence of airbag deployment or broken glass. The vehicle's movement appears consistent, and there are no instances where it leaves the road or rolls over. Additionally, there are no other vehicles in close proximity that would suggest a collision. Based on the available information, it is highly likely that there was no crash.",0,1969.8,333.6,1109.4,807,150,135.2
4,000717,crash,no_crash,1.0,"The sequence of images shows a series of frames from a dashcam that captures the progression of an event. Upon analyzing these frames, there is no clear evidence of a traffic accident. The vehicles are stationary and appear to be parked or stopped in a parking lot. There are no signs of sudden impact, erratic movement, debris, or damage visible in any of the frames. Additionally, the vehicles do not suddenly appear too close together in the same frame, which is indicative of a collision. Based on this analysis, it can be concluded with high confidence that there is no crash depicted in these images.",0,2166.7,343.2,1095.4,807,168,153.4
5,002791,no_crash,no_crash,1.0,"The sequence of images shows a vehicle driving down a street with no signs of a crash or accident. The vehicle maintains a consistent speed and direction throughout the frames, there is no sudden impact or collision visible, no debris or damage, and no erratic movement between frames. The vehicle remains within its lane and does not leave the road or roll over. There are no other vehicles in close proximity that could indicate a crash. Based on this analysis, it appears that there is no traffic accident captured in this sequence of images.",1,1936.2,357.4,1076.7,807,149,138.4
6,001460,crash,no_crash,1.0,"The image grid shows a series of frames from a dashcam that depict a vehicle driving on a road with no signs of a crash or accident. The vehicles maintain their lanes and there is no indication of sudden impact, erratic movement, debris, or damage visible in the later frames. The vehicles are not too close to each other suddenly appearing in the same frame, and there is no abrupt stop or rolling over. Based on this analysis, it appears that there was no crash detected in these images.",0,1886.7,342.4,1012.9,807,145,143.2
7,001074,crash,no_crash,1.0,"The image grid shows a series of frames from a dashcam with no clear signs of a traffic accident. There are no sudden impacts or collisions between vehicles, no vehicle leaving the road or rolling over, no airbag deployment or broken glass, no abrupt stop or erratic movement between frames, and no debris or damage visible in later frames. Additionally, there is no indication that vehicles are too close to each other suddenly appearing in the same frame.",0,1740.2,310.8,958.4,807,133,138.8
8,000301,crash,no_crash,1.0,"The sequence of images shows a vehicle on a road with no signs of a crash or accident. The vehicle is stationary and appears to be parked or stopped at an intersection. There are no visible impacts, debris, or erratic movements between frames that would indicate a collision or loss of control. Additionally, there is no evidence of airbag deployment or broken glass, which are common indicators of a crash. The vehicle's position relative to the road and other objects in the scene remains consistent throughout the sequence, suggesting it has not left the road or rolled over. There are no sudden stops or erratic movements between frames that would indicate an accident. Based on this analysis, there is no evidence of a traffic accident in this sequence.",0,2357.6,363.6,1333.0,807,191,143.3
9,000082,crash,no_crash,1.0,"The sequence of images shows a car driving on a road at night. There is no clear evidence of a sudden impact or collision between vehicles, the vehicle does not leave the road or roll over, there are no signs of airbag deployment or broken glass, and there is no abrupt stop or erratic movement between frames. The distance between the car and other objects in the frame remains consistent, and there is no debris or damage visible in later frames. Additionally, the vehicles do not appear too close to each other suddenly in the same frame.",0,1878.4,265.5,1132.9,807,151,133.3
10,002587,no_crash,no_crash,1.0,"In the provided grid of frames, there is no clear evidence of a traffic accident. The vehicles appear to be stationary or moving in a normal manner without any sudden impact or collision between them. There are no signs of debris or damage visible in later frames, and the vehicles do not suddenly appear too close together. The frames show typical urban driving conditions with no erratic movement or abrupt stops.",1,1653.8,359.1,907.9,807,122,134.4
11,000733,crash,no_crash,1.0,"Upon analyzing the provided grid of frames in chronological order, no clear signs of a traffic accident are evident. The vehicles maintain their lanes and there is no sudden impact or collision between them. There is no vehicle leaving the road or rolling over, no airbag deployment or broken glass, no abrupt stop or erratic movement between frames, and no debris or damage visible in later frames. Additionally, the vehicles do not appear too close to each other suddenly in the same frame. Based on this analysis, it can be concluded with high confidence that there is no crash occurring in these images.",0,2072.0,356.7,1276.0,807,163,127.7
12,001697,no_crash,no_crash,1.0,"The image sequence shows a series of traffic lights and road signs in various states of illumination. There is no evidence of a sudden impact or collision between vehicles, nor any erratic movement or debris visible. The vehicles are maintaining their lanes and there is no indication of an accident. The scene appears to be a typical urban nighttime setting with traffic control infrastructure.",1,1568.8,295.7,814.3,807,117,143.7
13,000106,crash,no_crash,1.0,"The image grid shows a series of frames from a dashcam that depict a vehicle driving down a road. There are no signs of a crash in this sequence. The vehicles maintain their lanes and there is no sudden impact or collision between them. The road appears to be clear with no debris visible, and the vehicles do not appear too close to each other. The frames show normal driving conditions without any erratic movement or abrupt stops. Based on the visual analysis of the provided images, it can be concluded that there is no evidence of a traffic accident in this sequence.",0,2031.7,354.0,1104.3,807,158,143.1
14,000398,crash,no_crash,1.0,"The image grid shows a series of frames from a vehicle's dashcam. The analysis of the sequence reveals no signs of a traffic accident. There is no sudden impact or collision between vehicles, no vehicle leaving the road or rolling over, no airbag deployment or broken glass, no abrupt stop or erratic movement between frames, and no debris or damage visible in later frames. Additionally, there are no instances where vehicles appear too close to each other suddenly in the same frame. The sequence appears to be a normal driving scenario without any indications of an accident.",0,2003.7,338.0,1175.2,807,156,132.7
15,000941,no_crash,no_crash,1.0,"The image sequence shows a series of frames from a dashcam that captures the progression of an event on a road at night. The vehicles are traveling in the same direction and maintain a safe distance from each other throughout the sequence. There is no sudden impact or collision between vehicles visible in any frame, nor do we see any vehicle leaving the road or rolling over. Airbag deployment or broken glass is not evident in this sequence. Abrupt stops or erratic movement between frames are not present. Debris or damage visible in later frames is not apparent. Vehicles too close to each other suddenly appearing in the same frame is not observed. Based on the analysis of the image sequence, it appears that there was no traffic accident detected.",1,2347.3,348.6,1549.9,807,192,123.9
