indice,label_real,prediccion,confianza,descripcion,correcto,source,total_ms,prompt_ms,eval_ms,prompt_tokens,generated_tokens,tokens_per_sec
1,violence,violence,1.0,"The image sequence shows a person being attacked or assaulted by another individual, which is indicative of violence.",1,local,1163.8,240.6,604.6,850,63,104.2
2,violence,violence,1.0,The image sequence depicts a physical altercation between two individuals.,1,local,790.8,189.4,487.4,850,55,112.9
3,violence,normal,1.0,"The image shows a sequence of photos that depict a person walking down a hallway with various objects and items in the background. There is no clear indication of violence, weapons, fire, or accident. The content appears to be everyday safe material.",0,local,1141.0,178.6,774.2,850,89,115.0
4,violence,violence,1.0,"The image depicts a group of people engaged in physical altercations, which is indicative of violence.",1,local,876.9,187.5,555.9,850,63,113.3
5,violence,violence,1.0,"The image depicts a physical altercation between individuals, which falls under the category of violence.",1,local,855.1,186.9,527.1,850,61,115.7
6,violence,violence,1.0,"The image depicts a group of people engaged in physical altercations with each other, which falls under the category of violence.",1,local,913.6,185.0,590.0,850,67,113.6
7,violence,violence,1.0,"The image depicts a group of people engaged in physical altercation, which is indicative of violence.",1,local,869.6,186.2,558.9,850,63,112.7
8,violence,violence,1.0,"The image depicts a physical altercation between individuals, which falls under the category of violence.",1,local,850.4,180.1,552.2,850,61,110.5
9,violence,violence,1.0,"The image sequence depicts a physical altercation between individuals, which falls under the category of violence.",1,local,869.7,186.1,533.0,850,62,116.3
10,violence,violence,1.0,"The image sequence depicts a physical altercation between multiple individuals, which falls under the category of violence.",1,local,877.8,186.9,429.2,850,63,146.8
11,violence,violence,1.0,"The image shows a group of people engaged in physical altercation with each other, which is indicative of violence.",1,local,892.7,178.5,447.8,850,65,145.2
12,violence,violence,1.0,"The image sequence depicts a physical altercation between multiple individuals, which falls under the category of violence.",1,local,873.5,186.1,467.1,850,63,134.9
13,violence,violence,1.0,The image sequence depicts a physical altercation between two individuals.,1,local,790.8,175.7,375.3,850,55,146.6
14,violence,normal,1.0,"The image shows a sequence of photos depicting a person working on a vehicle, which is a normal activity and does not fall into any of the other categories.",0,local,988.9,185.6,568.0,850,73,128.5
15,violence,violence,1.0,"The image sequence depicts a physical altercation between individuals, which falls under the category of violence.",1,local,865.1,181.5,440.3,850,62,140.8
16,violence,normal,1.0,"The image shows a sequence of photos depicting a person walking with a suitcase on wheels, which is a common and everyday activity. There are no signs of violence, weapons, fire, or accidents in the images.",0,local,1090.8,188.0,610.1,850,85,139.3
17,violence,violence,1.0,The image shows a group of people engaged in physical altercation with each other.,1,local,828.0,187.3,389.7,850,58,148.8
18,violence,violence,1.0,"The image depicts a group of people engaged in physical altercation, which is indicative of violence.",1,local,882.7,173.9,465.6,850,63,135.3
19,violence,violence,1.0,"The image depicts a group of people engaged in physical altercation, which falls under the category of violence.",1,local,905.6,183.5,465.1,850,64,137.6
20,violence,violence,1.0,"The image depicts a group of people engaged in physical altercation, which is indicative of violence.",1,local,879.9,188.3,368.8,850,63,170.8
21,violence,violence,1.0,"The image sequence shows a person being attacked by another individual, which is indicative of violence.",1,local,838.8,178.0,350.4,850,60,171.2
22,violence,violence,1.0,"The image sequence shows a person being attacked by another individual, which is indicative of violence.",1,local,837.6,181.2,355.3,850,60,168.9
23,violence,violence,1.0,The image sequence depicts a physical altercation between two individuals.,1,local,783.0,185.6,317.6,850,55,173.2
24,violence,violence,1.0,"The image sequence shows a person being attacked by another individual, which falls under the category of violence.",1,local,867.7,180.6,361.5,850,61,168.7
25,violence,violence,1.0,"The image depicts a group of people engaged in physical altercation, which is indicative of violence.",1,local,881.2,190.2,595.1,850,63,105.9
26,violence,violence,1.0,"The image depicts a group of people engaged in physical altercation, which is indicative of violence.",1,local,882.7,188.6,608.3,850,63,103.6
