indice,archivo,label_real,prediccion,confianza,descripcion,correcto,total_ms,prompt_ms,eval_ms,prompt_tokens,generated_tokens,tokens_per_sec
1,ABbframe00145.jpg,weapon,weapon,0.95,A man is walking while holding a large knife in his right hand.,1,13313.7,2207.0,7029.9,2196,470,66.9
2,ABbframe00289.jpg,weapon,weapon,0.98,A man is holding a knife in his right hand.,1,8059.8,949.0,5532.0,2196,371,67.1
3,ABbframe00322.jpg,weapon,weapon,0.95,A person is seen from behind holding a knife in their right hand.,1,10519.1,956.1,7974.7,2196,535,67.1
4,ABbframe00325.jpg,weapon,weapon,0.95,A person is walking while holding a knife in their right hand.,1,7918.2,958.6,5393.9,2196,361,66.9
5,ABbframe00331.jpg,weapon,weapon,0.95,A person is walking away from the camera holding a knife in their right hand.,1,7898.8,956.0,5384.4,2196,362,67.2
6,ABmframe00154.jpg,weapon,weapon,0.95,A man is walking while holding a knife in his right hand.,1,8375.8,941.0,5869.2,2196,395,67.3
7,ABmframe00262.jpg,weapon,weapon,0.95,A man is holding a knife in his right hand.,1,7527.1,952.5,4976.2,2196,335,67.3
8,ABmframe00280.jpg,weapon,weapon,0.95,"The image shows a man holding a long, sharp object that appears to be a knife in his right hand.",1,11517.8,946.3,8992.1,2196,603,67.1
9,ABmframe00334.jpg,weapon,weapon,0.99,A person is seen from behind holding a knife in their right hand.,1,6074.0,986.7,3524.4,2196,237,67.2
10,ABmframe00346.jpg,weapon,weapon,0.95,"A person is standing with their back to the camera, holding a knife in their right hand behind their back.",1,7958.9,957.7,5429.5,2196,364,67.0
11,ABsframe00010.jpg,weapon,weapon,0.95,A man is holding a knife in his right hand.,1,7502.1,1054.4,4848.1,2196,326,67.2
12,ABsframe00121.jpg,weapon,weapon,0.95,A man is holding a knife in his right hand.,1,7114.4,956.7,4557.1,2196,307,67.4
13,ABsframe00157.jpg,weapon,weapon,0.95,A person is holding a knife in their right hand.,1,7612.9,957.7,5037.4,2196,339,67.3
14,ABsframe00193.jpg,weapon,weapon,0.99,A person standing with their back to the camera is holding a knife in their right hand behind their back.,1,8268.6,958.6,5691.4,2196,383,67.3
15,ABsframe00196.jpg,weapon,weapon,0.99,"A person is standing with their back to the camera, holding a knife in their right hand behind their back.",1,8302.8,950.5,5766.3,2196,388,67.3
16,ABsframe00208.jpg,weapon,weapon,0.95,A person is seen from behind holding a knife in their right hand.,1,8101.9,943.3,5576.3,2196,375,67.2
17,DSC_00021.jpg,weapon,weapon,0.98,A man is holding a large knife in his right hand.,1,6060.1,957.1,3452.3,2136,233,67.5
18,DSC_0010.jpg,weapon,weapon,1.0,A person is holding a knife in their right hand.,1,6560.2,948.8,3998.8,2136,270,67.5
19,DSC_00131.jpg,weapon,weapon,0.95,A person is holding a knife in their right hand.,1,7584.6,952.4,5010.1,2136,337,67.3
20,DSC_00321.jpg,weapon,weapon,0.95,A man is holding a small knife with a white blade in his right hand.,1,7536.8,955.3,4958.3,2136,334,67.4
21,DSC_00361.jpg,weapon,weapon,0.95,A person is holding a small knife in their right hand.,1,8477.8,946.5,5852.6,2136,394,67.3
22,DSC_00591.jpg,weapon,weapon,0.99,"A person is standing with their back turned, holding a large knife behind their back.",1,7500.6,945.6,4897.9,2136,330,67.4
23,DSC_0069.jpg,weapon,weapon,0.95,"The man in the image is holding a long, pointed object in his right hand that appears to be a knife.",1,6233.3,950.3,3634.2,2136,246,67.7
24,DefenseAndSurvive14.jpg,weapon,weapon,0.95,A man is holding a black knife in his right hand while standing next to another man in what appears to be a gym or training facility.,1,6804.6,419.4,5797.1,1036,393,67.8
