route,label,predicted_category,confidence,description,total_ms,prompt_ms,eval_ms,prompt_tokens,generated_tokens,tokens_per_sec
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00008.jpg,none,none,0.0,No fire signals detected in the image.,2783.2,289.6,427.1,1201,47,110.0
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00009.jpg,none,none,0.0,No fire signals detected in the image.,809.7,257.5,354.3,1201,47,132.6
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00011.jpg,none,none,0.0,No fire signals detected in the image.,834.4,268.1,466.7,1201,47,100.7
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00014.jpg,none,none,0.0,No fire signals detected in the image.,818.0,270.3,467.6,1201,47,100.5
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00018.jpg,none,none,0.0,No fire signals detected in the image.,808.7,253.9,414.2,1201,47,113.5
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00029.jpg,none,none,0.0,No clear evidence of fire or smoke in the image provided.,850.0,264.3,412.1,1201,51,123.8
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00033.jpg,none,none,0.0,No fire signals detected in the image.,816.1,254.1,405.0,1201,47,116.1
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00041.jpg,none,none,0.0,No fire signals detected in the image.,805.1,266.4,381.6,1201,47,123.2
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00049.jpg,none,none,0.0,No fire signals detected in the image.,796.3,264.8,412.6,1201,47,113.9
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00051.jpg,none,none,0.0,No fire signals detected in the image.,801.1,264.9,375.9,1201,47,125.0
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00054.jpg,none,none,0.0,No fire signals detected in the image.,797.5,259.1,390.4,1201,47,120.4
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00057.jpg,none,none,0.0,No fire signals detected in the image.,796.5,264.4,398.7,1201,47,117.9
