indice,video_id,label_real,prediccion,confianza,descripcion,correcto,total_ms,prompt_ms,eval_ms,prompt_tokens,generated_tokens,tokens_per_sec
1,000906,accidente,accidente,0.99,"Se observa una colisión entre dos vehículos, con el vehículo de adelante impactando al de atrás. Ambos vehículos se desvían de la carretera y se detienen de manera abrupta. Hay escombros y daños visibles en los fotogramas posteriores.",1,6814.0,0,6814.0,3197,90,13.2
2,000010,no_accidente,unknown,0.99,Se observa una colisión entre dos vehículos en el fotograma t=19.,0,4834.7,0,4834.7,3197,55,11.4
3,000960,accidente,unknown,0.99,"En el fotograma t=19, se observa una colisión entre dos vehículos, lo que indica un accidente de tráfico.",0,5271.8,0,5271.8,3197,64,12.1
4,000717,accidente,unknown,0.99,"Se observa una colisión entre dos vehículos, con el vehículo de adelante girando hacia la izquierda y el vehículo de atrás girando hacia la derecha, lo que resulta en un impacto entre ellos.",0,5901.1,0,5901.1,3197,77,13.0
5,002791,no_accidente,unknown,0.99,"Se observa una colisión entre dos vehículos, con el vehículo de adelante girando hacia la derecha y el vehículo de atrás girando hacia la izquierda, lo que resulta en un impacto entre ellos.",0,5887.2,0,5887.2,3197,77,13.1
6,001460,accidente,accidente,0.99,Se observa una colisión entre dos vehículos en el fotograma t=19.,1,4840.6,0,4840.6,3197,55,11.4
7,001074,accidente,accidente,0.99,"Se observa una colisión entre dos vehículos en el fotograma t=7.9, con un vehículo girando hacia la izquierda y otro girando hacia la derecha. Ambos vehículos tienen sus luces encendidas y los airbags se desplegaron. Además, se pueden ver escombros y daños en los fotogramas posteriores.",1,7245.1,0,7245.1,3197,106,14.6
8,000301,accidente,accidente,0.99,"Se observa una colisión entre dos vehículos en el fotograma t=49, con un vehículo girando hacia la izquierda y otro girando hacia la derecha, lo que resulta en un impacto visible en el fotograma t=59.",1,6347.4,0,6347.4,3197,87,13.7
9,000082,accidente,accidente,0.99,"Se observa una colisión entre dos vehículos, con el vehículo de adelante impactando al de atrás. Ambos vehículos han sufrido daños visibles y se han desplegado los airbags. Además, se han roto algunos cristales en el vehículo de atrás.",1,6444.4,0,6444.4,3197,89,13.8
10,002587,no_accidente,unknown,0.99,"Se observa una colisión entre dos vehículos, con el vehículo de adelante golpeando al de atrás, lo que indica un accidente de tráfico.",0,5366.6,0,5366.6,3197,66,12.3
11,000733,accidente,accidente,0.99,Se observa una colisión entre dos vehículos en el fotograma t=19.,1,4849.6,0,4849.6,3197,55,11.3
12,001697,no_accidente,unknown,0.99,"Se observa una colisión entre dos vehículos, con el vehículo de adelante girando hacia la izquierda y el vehículo de atrás girando hacia la derecha. Ambos vehículos están en contacto y hay daños visibles en sus exteriores.",0,6068.3,0,6068.3,3197,81,13.3
13,000106,accidente,accidente,0.99,"Se observa una colisión entre dos vehículos en el fotograma t=29, con un vehículo girando hacia la izquierda y el otro girando hacia la derecha. Ambos vehículos se acercan a una velocidad similar y se encuentran en el mismo carril. El vehículo que gira hacia la izquierda parece estar en el carril de adelante, mientras que el vehículo que gira hacia la derecha parece estar en el carril de atrás. La colisión se produce en el fotograma t=30, con ambos vehículos girando en la misma dirección y colisionando. El vehículo que gira hacia la izquierda se desvía hacia el carril de atrás, mientras que el vehículo que gira hacia la derecha se desvía hacia el carril de adelante. El fotograma t=31 muestra los dos vehículos en el carril de adelante, con el vehículo que gira hacia la izquierda en el carril de atrás. El fotograma t=32 muestra los dos vehículos en el carril de atrás, con el vehículo que gira hacia la izquierda en el carril de adelante. El fotograma t=33 muestra los dos vehículos en",1,14450.8,0,14450.8,3197,256,17.7
14,000398,accidente,unknown,0.99,"Ambos vehículos se encuentran en el mismo fotograma, lo que indica que no hubo colisión o accidente.",0,5078.8,0,5078.8,3197,60,11.8
15,000941,no_accidente,unknown,0.99,"Se observa una colisión entre dos vehículos, con el vehículo de adelante girando hacia la izquierda y el vehículo de atrás girando hacia la derecha. Ambos vehículos están fuera de la carretera y hay escombros visibles en el fotograma posterior.",0,6294.9,0,6294.9,3197,86,13.7
16,000033,accidente,unknown,0.99,"Los fotogramas muestran una colisión entre dos vehículos, con el vehículo de adelante golpeando al de atrás. Ambos vehículos tienen sus luces de emergencia activadas y los airbags se desplegaron. Además, se pueden ver escombros y daños en los fotogramas posteriores.",0,6758.5,0,6758.5,3197,96,14.2
17,001751,no_accidente,unknown,0.99,"En el fotograma t=69, el vehículo en el centro de la imagen está en contacto con otro vehículo, lo que indica un accidente de tráfico.",0,5552.6,0,5552.6,3197,70,12.6
18,000342,no_accidente,accidente,0.99,"Se observa una colisión entre dos vehículos en el fotograma t=49, con un vehículo girando hacia la izquierda y otro girando hacia la derecha, lo que resulta en un impacto visible en el airebag y los cristales del vehículo. Además, se pueden ver escombros en el fotograma t=59.",0,7463.1,0,7463.1,3197,105,14.1
19,001060,no_accidente,unknown,0.99,"Ambos vehículos se encuentran en el mismo fotograma, lo que indica que se produjo un impacto o colisión repentina.",0,5380.0,0,5380.0,3197,63,11.7
20,000973,no_accidente,accidente,0.99,"Se observa una colisión entre dos vehículos en el fotograma t=19, con un vehículo girando hacia la izquierda y otro girando hacia la derecha. Ambos vehículos tienen sus luces encendidas y los frenos activados. En el fotograma t=29, se ve un vehículo que se desvía de la carretera y se vuelca, con el airbag desplegado y los cristales rotos. En el fotograma t=59, se observa escombros y daños en la carretera, lo que indica que el accidente ha ocurrido.",0,9715.7,0,9715.7,3197,153,15.7
21,000636,accidente,unknown,0.99,"Ambos vehículos se acercan a una velocidad similar y colisionan de manera repentina, lo que resulta en un impacto visible en los vehículos y en el entorno.",0,5854.2,0,5854.2,3197,72,12.3
22,002031,no_accidente,unknown,0.99,"Se observa una colisión entre dos vehículos, con el vehículo de adelante girando hacia la izquierda y el vehículo de atrás girando hacia la derecha. Ambos vehículos están en contacto y hay daños visibles en sus exteriores.",0,6130.3,0,6130.3,3197,81,13.2
23,000189,accidente,accidente,0.99,Se observa una colisión entre dos vehículos en el fotograma t=19.,1,4849.6,0,4849.6,3197,55,11.3
24,001058,accidente,accidente,0.99,"Se observa una colisión entre dos vehículos, con el vehículo de adelante impactando al de atrás, lo que resulta en un cambio brusco en la velocidad y dirección de los vehículos. Además, se pueden ver escombros y daños en los vehículos y en la carretera. La colisión se produce en un cruce de calles con semáforos y señales de tráfico visibles en la imagen.",1,7772.5,0,7772.5,3197,117,15.1
25,000350,no_accidente,unknown,0.99,"Se observa una colisión entre dos vehículos, con el vehículo de adelante girando hacia la izquierda y el vehículo de atrás girando hacia la derecha. Ambos vehículos tienen sus luces encendidas y hay escombros visibles en el fondo.",0,6402.0,0,6402.0,3197,85,13.3
26,001265,accidente,unknown,0.99,"Ambos vehículos se acercan a una velocidad similar y colisionan de manera repentina, lo que resulta en un impacto visible en los vehículos y el entorno.",0,5594.5,0,5594.5,3197,71,12.7
27,000799,accidente,accidente,0.99,Se observa una colisión entre dos vehículos en el fotograma t=19.,1,4898.5,0,4898.5,3197,55,11.2
28,000108,accidente,unknown,0.99,"Se observa una colisión entre dos vehículos, con el vehículo de adelante golpeando al de atrás. Ambos vehículos han sufrido daños y se han desvíado de la carretera.",0,5848.9,0,5848.9,3197,73,12.5
29,000431,no_accidente,accidente,0.99,"Se observa una colisión entre dos vehículos en el fotograma t=19, lo que indica un accidente de tráfico.",0,5337.7,0,5337.7,3197,63,11.8
30,000226,accidente,unknown,0.99,"Ambos vehículos se encuentran en el mismo fotograma, lo que indica que se produjo un impacto o colisión repentina.",0,5345.6,0,5345.6,3197,63,11.8
31,000798,no_accidente,unknown,0.99,"Se observa una colisión entre dos vehículos, con el vehículo de adelante girando hacia la izquierda y el vehículo de atrás girando hacia la derecha. Ambos vehículos tienen sus luces encendidas y los frenos activados. Hay escombros y daños visibles en el vehículo de atrás en los fotogramas posteriores.",0,7217.6,0,7217.6,3197,101,14.0
32,002729,no_accidente,unknown,0.99,"En el fotograma t=69, el vehículo blanco se desvía de la carretera y se desvía hacia la calle, lo que indica un accidente de tráfico.",0,5746.5,0,5746.5,3197,74,12.9
33,001409,accidente,accidente,0.99,"Se observa una colisión entre un camión y un automóvil, con el camión girando hacia la izquierda y el automóvil girando hacia la derecha. Ambos vehículos se acercan a una intersección con semáforos rojos. El camión parece estar en movimiento, mientras que el automóvil está estacionado en el lado de la carretera. La colisión resulta en daños visibles en el automóvil y en el camión. La escena se desarrolla en un día nublado con montañas en el fondo.",1,8799.8,0,8799.8,3197,139,15.8
34,002797,no_accidente,accidente,0.99,"Se observa una colisión entre dos vehículos, con el vehículo de adelante impactando al de atrás. Ambos vehículos han sufrido daños y se han desviado de la carretera. Además, se han desplegado los airbags y se han roto los cristales del vehículo de adelante.",0,6755.1,0,6755.1,3197,96,14.2
35,001488,accidente,unknown,0.99,"El vehículo que sale de la carretera se desvía de la carretera y se detiene de repente en el carril opuesto, lo que indica un accidente de tráfico.",0,5635.5,0,5635.5,3197,72,12.8
36,000872,accidente,accidente,0.99,"Se observa una colisión entre dos vehículos en el fotograma t=19, con un vehículo girando hacia la izquierda y otro girando hacia la derecha. Ambos vehículos se acercan a una velocidad alta y chocan en el fotograma t=29. Después del impacto, el vehículo de la izquierda se detiene y el vehículo de la derecha se desvía hacia la carretera de la izquierda. En el fotograma t=49, se observa un vehículo que sale de la carretera y se vuelca en el lado derecho de la carretera. En el fotograma t=79, se observa un vehículo que se detiene de repente y se detiene en el lado derecho de la carretera. En el fotograma t=99, se observan escombros y daños en el vehículo volcado y en el lado derecho de la carretera.",1,12531.1,0,12531.1,3197,212,16.9
37,000688,accidente,unknown,0.99,"Ambos vehículos se encuentran en el mismo fotograma, lo que indica que no hubo colisión o accidente.",0,5184.8,0,5184.8,3197,60,11.6
38,002247,no_accidente,unknown,0.99,"Se observa una colisión entre dos vehículos, con el vehículo de adelante girando hacia la izquierda y el vehículo de atrás girando hacia la derecha. Ambos vehículos tienen sus luces encendidas y hay escombros visibles en el fondo.",0,6378.5,0,6378.5,3197,85,13.3
39,001885,no_accidente,accidente,0.99,Se observa una colisión entre dos vehículos en el fotograma t=69.,0,4867.4,0,4867.4,3197,55,11.3
40,001565,no_accidente,unknown,0.99,"Se observa una colisión entre dos vehículos, con el vehículo de adelante golpeando al de atrás. Ambos vehículos han sufrido daños y se han desvíado de la carretera.",0,5791.9,0,5791.9,3197,73,12.6
41,000273,no_accidente,unknown,0.99,"Se observa una colisión entre dos vehículos, con el vehículo de adelante golpeando al de atrás. Ambos vehículos han sufrido daños y se han desvíado de la carretera. Hay escombros visibles en el fotograma posterior.",0,6343.4,0,6343.4,3197,83,13.1
42,000435,accidente,accidente,0.99,Ambos vehículos se desvían de la carretera y chocan entre sí.,1,4854.6,0,4854.6,3197,54,11.1
43,000101,accidente,unknown,0.99,"Ambos vehículos se encuentran en el mismo fotograma, lo que indica que se produjo un impacto o colisión repentina.",0,5306.9,0,5306.9,3197,63,11.9
44,000577,no_accidente,accidente,0.99,Se observa una colisión entre dos vehículos en el fotograma t=69.,0,4935.2,0,4935.2,3197,55,11.1
45,002431,no_accidente,unknown,0.99,"Los fotogramas muestran una colisión entre dos vehículos, con el vehículo de adelante golpeando al de atrás. Ambos vehículos tienen sus luces de freno encendidas y los daños visibles en los vehículos y el pavimento sugieren que ha habido un impacto reciente.",0,6625.7,0,6625.7,3197,91,13.7
46,001277,accidente,accidente,0.99,"Se observa una colisión entre dos vehículos en el fotograma t=29, con un vehículo girando hacia la izquierda y otro girando hacia la derecha, lo que resulta en un impacto visible en el airebag y los cristales del vehículo. Además, se pueden ver escombros en el fotograma t=30.",1,7360.6,0,7360.6,3197,105,14.3
47,000607,accidente,unknown,0.99,"Se observa una colisión entre dos vehículos, con el vehículo de adelante girando hacia la izquierda y el vehículo de atrás girando hacia la derecha. Ambos vehículos parecen estar en movimiento y no hay señales de frenado o parada brusca.",0,6409.0,0,6409.0,3197,87,13.6
48,000588,accidente,unknown,0.99,"Los fotogramas muestran una colisión repentina entre dos vehículos, con el vehículo de adelante golpeando al de atrás. Ambos vehículos tienen daños visibles y los airbags se desplegaron. La escena está rodeada de escombros y daños en los vehículos y la carretera.",0,6882.7,0,6882.7,3197,95,13.8
49,001777,no_accidente,accidente,0.99,"Se observa una colisión entre un camión y un taxi en la imagen t=19, lo que indica que el accidente ocurrió en ese momento.",0,5597.2,0,5597.2,3197,70,12.5
50,001295,accidente,accidente,0.99,Se observa una colisión entre dos vehículos en el fotograma t=19.,1,4992.8,0,4992.8,3197,55,11.0
51,001138,no_accidente,accidente,0.99,"En el fotograma t=18, se observa una repentina colision entre dos vehiculos, lo que indica un accidente de trafico.",0,5811.5,0,5811.5,3197,76,13.1
52,001585,no_accidente,accidente,0.99,"Se observa una colisión entre dos vehículos, con el vehículo de adelante impactando al de atrás. Ambos vehículos se desvían de la carretera y se detienen de manera abrupta. Hay escombros y daños visibles en los fotogramas posteriores.",0,6478.0,0,6478.0,3197,90,13.9
53,000072,accidente,accidente,0.99,"Se observa una colisión entre dos vehículos, con el vehículo de adelante impactando al de atrás, lo que resulta en un posible daño a ambos vehículos y una parada brusca de la circulación del tráfico.",1,5968.0,0,5968.0,3197,79,13.2
54,000777,accidente,accidente,0.99,"El vehículo de adelante se desvía de la carretera y choca con el vehículo de adelante, lo que provoca que el vehículo de adelante se salga de la carretera y se vuelque. El vehículo volcado está en el carril derecho y el vehículo de adelante está en el carril izquierdo. Hay escombros y daños visibles en los fotogramas posteriores.",1,7477.0,0,7477.0,3197,111,14.8
55,000984,no_accidente,unknown,0.99,"Ambos vehículos se encuentran en el mismo fotograma, lo que indica que no hubo colisión o accidente.",0,5113.9,0,5113.9,3197,60,11.7
56,002207,no_accidente,unknown,0.99,"Ambos vehículos se encuentran en el mismo fotograma, lo que indica que no hubo colisión o accidente.",0,5114.0,0,5114.0,3197,60,11.7
57,000944,accidente,unknown,0.99,"Ambos vehículos se acercan a una velocidad similar y colisionan de manera repentina, lo que resulta en un impacto visible en los vehículos y el entorno.",0,5720.1,0,5720.1,3197,71,12.4
58,000104,accidente,unknown,0.99,"Ambos vehículos se encuentran en el mismo fotograma, lo que indica que no hubo colisión o accidente.",0,5184.7,0,5184.7,3197,60,11.6
59,000445,accidente,accidente,0.99,"Se observa una colisión entre un vehículo y un ciclista, con el ciclista cayendo al suelo y el vehículo deteniéndose de repente. Hay escombros y daños visibles en los fotogramas posteriores.",1,6107.0,0,6107.0,3197,79,12.9
60,001352,accidente,unknown,0.99,"Se observa una colisión entre dos vehículos, con el vehículo de adelante girando hacia la izquierda y el vehículo de atrás girando hacia la derecha. Ambos vehículos están en contacto y hay una visibilidad reducida debido a la lluvia y la oscuridad.",0,6606.7,0,6606.7,3197,89,13.5
61,001488,no_accidente,accidente,0.99,"Se observa una colisión entre dos vehículos, con el vehículo de adelante impactando al de atrás. Ambos vehículos se desvían de la carretera y se detienen de manera repentina. Además, se pueden ver escombros y daños en los fotogramas posteriores.",0,6696.1,0,6696.1,3197,92,13.7
62,000353,accidente,unknown,0.99,"Se observa una colisión entre dos vehículos, con el vehículo de adelante golpeando al de atrás, lo que indica un accidente de tráfico.",0,5434.9,0,5434.9,3197,66,12.1
63,000907,no_accidente,unknown,0.99,"Se observa una colisión entre dos vehículos, con el vehículo de adelante girando hacia la izquierda y el vehículo de atrás girando hacia la derecha. Ambos vehículos tienen sus luces encendidas y los airbags se desplegaron.",0,6452.8,0,6452.8,3197,86,13.3
