indice,label_real,prediccion,confianza,descripcion,correcto,source,total_ms,prompt_ms,eval_ms,prompt_tokens,generated_tokens,tokens_per_sec
1,violencia,normal,1.0,"La imagen muestra una serie de fotos que parecen ser capturas de seguridad de un edificio. No hay evidencia de violencia, armas, fuego, accidente ni gráficos en la secuencia. La descripción es normal y no hay elementos peligrosos o anormales visibles.",0,local,5764.6,405.0,1220.7,990,116,95.0
2,violencia,normal,1.0,"La imagen muestra una secuencia de vídeo que muestra a un individuo caminando por un pasillo de una estructura que parece ser un edificio de seguridad o una prisión. No se observan elementos que indiquen violencia, armas, fuego, accidente ni gráficos. La situación parece ser normal y cotidiana.",0,local,1681.0,241.3,1329.7,990,127,95.5
3,violencia,normal,1.0,"La imagen muestra una serie de fotos que parecen ser de una cámara de seguridad en un edificio. No hay evidencia de violencia, armas, fuego, accidente ni gráficos. La descripción es normal y no se observan elementos peligrosos o anormales.",0,local,1526.8,231.5,1187.4,990,114,96.0
4,violencia,violencia,1.0,"La imagen muestra a varias personas en un ambiente que parece ser una sala de espera o un lugar público. Algunas personas están peleando físicamente, lo que sugiere que la categoría correcta es 'violencia'. La confianza es alta (1.00), ya que la violencia es evidente en la imagen.",1,local,1695.7,231.4,1340.7,990,128,95.5
5,violencia,violencia,1.0,La imagen muestra una pelea física entre dos personas en un ambiente que parece ser un hospital o un centro de salud. La violencia es evidente y se puede considerar como la categoría más adecuada para esta secuencia de imágenes.,1,local,1455.5,234.2,1106.9,990,105,94.9
6,violencia,violencia,1.0,La imagen muestra una pelea física entre varias personas en un ambiente que parece ser un edificio público. La violencia es evidente por la postura agresiva de algunos individuos y la presencia de varios cuerpos en movimiento.,1,local,1455.6,234.4,1105.4,990,105,95.0
7,violencia,violencia,1.0,"La imagen muestra a varias personas que parecen estar peleando físicamente en un ambiente interno, lo que sugiere una situación de violencia.",1,local,1195.9,233.4,849.1,990,81,95.4
8,violencia,normal,1.0,"La imagen muestra una serie de fotos que parecen ser capturas de seguridad de un edificio o instalación. En ellas se pueden ver varias personas, algunas de las cuales están en movimiento y otras están posando para la foto. No hay evidencia de violencia, armas, fuego ni accidente en la imagen. La descripción del contenido es normal y no hay gráficos o datos visibles que indiquen una categoría específica.",0,local,1973.5,231.1,1630.8,990,156,95.7
9,violencia,normal,1.0,"La imagen muestra una escena de una pelea entre personas en un ambiente que parece ser una discoteca o bar. No se observan armas, fuego ni accidentes. La situación no es gráfica ni normal, por lo tanto, la categoría correcta es 'violencia'.",0,local,1498.8,233.4,1148.3,990,110,95.8
10,violencia,violencia,0.95,"La imagen muestra una pelea física entre varias personas en un ambiente nocturno, lo que sugiere una situación de violencia.",1,local,1168.6,232.8,820.8,990,79,96.3
11,violencia,normal,1.0,"La imagen muestra una serie de imágenes que parecen ser capturas de video de una persona caminando por una calle con varios objetos y personas en el fondo. No se observan elementos que indiquen violencia, armas, fuego, accidente o gráficos. La descripción del contenido es normal y no hay ninguna de las categorías anteriores visibles.",0,local,1787.4,232.0,1432.8,990,135,94.2
12,violencia,normal,1.0,"La imagen muestra una serie de imágenes que parecen ser capturas de video de una situación en la que se ve a varias personas caminando o corriendo por un espacio abierto, posiblemente una calle o un patio. No hay evidencia de violencia, armas, fuego ni accidente visible en las imágenes. Además, no hay gráficos, tablas o infografías que muestren datos relevantes. Por lo tanto, la categoría correcta es 'normal'.",0,local,2090.4,233.5,1734.6,990,163,94.0
13,violencia,normal,1.0,"La imagen muestra una serie de fotos que muestran diferentes escenas cotidianas en un restaurante o cafetería. No se observan elementos que indiquen violencia, armas, fuego, accidente ni gráficos. La confianza es alta (1.00) debido a la ausencia de cualquier indicador de peligro o situación insegura.",0,local,1751.5,233.2,1392.2,990,133,95.5
