indice,archivo,label_real,prediccion,confianza,descripcion,correcto,total_ms,prompt_ms,eval_ms,prompt_tokens,generated_tokens,tokens_per_sec
1,-1l5631l3fg_0.avi,fight,fight,0.95,"Two individuals are seen engaging in a physical altercation near a doorway, with one person repeatedly pushing and grappling with the other against the door frame.",1,15968.0,2246.5,9672.5,2170,650,67.2
2,-1l5631l3fg_1.avi,fight,fight,0.95,A person is pushed near a doorway and then falls down a flight of stairs.,1,12750.2,2178.4,10123.6,2170,680,67.2
3,-1l5631l3fg_2.avi,fight,non-fight,0.95,A person is seen sitting on the stairs near the railing throughout the sequence without any aggressive interaction.,0,12065.7,2182.2,9425.2,2170,632,67.1
4,0H2s9UJcNJ0_0.avi,fight,fight,0.95,A group of people are seen surrounding and physically grappling with individuals on the ground in a continuous struggle across the frames.,1,11457.3,2171.5,8809.6,2170,591,67.1
5,0H2s9UJcNJ0_2.avi,fight,fight,0.95,"A group of people are gathered around an individual on the floor, engaging in physical grappling and restraint throughout the sequence.",1,11702.6,2179.9,9039.3,2170,607,67.2
6,0H2s9UJcNJ0_3.avi,fight,fight,0.95,The sequence shows a physical altercation escalating from a group gathering around a person on the ground to a chaotic scene involving multiple officers grappling and restraining individuals.,1,10955.4,2183.9,8319.9,2170,558,67.1
7,0H2s9UJcNJ0_4.avi,fight,fight,0.95,Police officers are seen grappling with and restraining an individual in a crowded area across the frames.,1,11186.2,2181.4,8543.7,2170,572,67.0
8,0H2s9UJcNJ0_5.avi,fight,fight,0.95,A uniformed individual is seen grappling with and physically throwing a person in a green shirt to the ground across the sequence of frames.,1,12311.3,2191.0,9692.7,2170,647,66.8
9,0lHQ2f0d_0.avi,fight,fight,0.95,"A group of people are seen gathering and then engaging in a physical altercation involving pushing, hitting, and grappling in the street.",1,13229.6,2219.7,10549.1,2170,702,66.5
10,0lHQ2f0d_1.avi,fight,fight,0.99,"A large group of people are engaged in a chaotic physical altercation on a street, with individuals running, grappling, and pushing each other throughout the sequence.",1,12574.7,2187.7,9913.4,2170,663,66.9
11,0lHQ2f0d_2.avi,fight,fight,0.95,"A chaotic physical altercation unfolds on a street as a group of people run, grapple, and push each other in a brawl.",1,12937.9,2205.5,10270.1,2170,686,66.8
12,0lHQ2f0d_3.avi,fight,fight,0.95,"A group of people are seen engaging in a physical altercation on a street, with pushing, shoving, and grappling occurring in the center of the frame.",1,13153.4,2203.3,10478.7,2170,698,66.6
13,0NWz-01A2yk_0.avi,fight,fight,0.95,A person in a pink shirt is forcefully pushed onto a counter and appears to be struggling with another individual before eventually sitting up.,1,13664.1,2188.7,10986.2,2170,732,66.6
14,0NWz-01A2yk_1.avi,fight,fight,0.9,A person falls to the ground during an interaction and remains lying on the floor for the remainder of the sequence.,1,14592.3,2192.7,11902.9,2170,793,66.6
15,0TFi8D8IBg4_1.avi,fight,fight,0.9,A group of children are seen pushing and shoving each other in a physical altercation near a doorway.,1,15061.2,2182.9,12407.2,2170,827,66.7
16,0vasozvJYvk_0.avi,fight,ERROR,0,,0,64689.5,2191.1,61967.2,2170,3983,64.3
17,0_DzLlklZa0_3.avi,fight,ERROR,0,,0,66091.2,2197.9,63308.3,2170,4096,64.7
18,0_DzLlklZa0_4.avi,fight,fight,0.95,"A group of people are seen engaging in a physical altercation in a hallway, with pushing and shoving occurring throughout the sequence.",1,13084.3,2197.8,10378.1,2170,696,67.1
19,0_DzLlklZa0_5.avi,fight,fight,0.95,A physical altercation occurs in a cafeteria setting where a person is knocked to the ground and remains there while a group of people stand around them.,1,26094.7,2175.7,23355.3,2170,1561,66.8
