indice,archivo,label_real,prediccion,confianza,descripcion,correcto,total_ms,prompt_ms,eval_ms,prompt_tokens,generated_tokens,tokens_per_sec
1,ABbframe00145.jpg,weapon,no_weapon,1.0,The image shows a man walking in an indoor setting with no visible weapons.,0,1080.4,266.6,511.4,755,57,111.5
2,ABbframe00289.jpg,weapon,no_weapon,1.0,No weapon visible in the image.,0,734.7,164.3,425.5,755,49,115.2
3,ABbframe00322.jpg,weapon,no_weapon,1.0,No weapon visible in the image.,0,773.8,163.2,436.2,755,49,112.3
4,ABbframe00325.jpg,weapon,no_weapon,1.0,No weapon visible in the image.,0,756.4,164.1,420.4,755,49,116.6
5,ABbframe00331.jpg,weapon,no_weapon,1.0,No weapon is visible in the image.,0,801.5,162.8,441.6,755,50,113.2
6,ABmframe00154.jpg,weapon,no_weapon,1.0,The image shows a man holding a knife in his hand while walking past a wall with a sign on it.,0,889.2,157.7,546.3,755,64,117.2
7,ABmframe00262.jpg,weapon,no_weapon,1.0,The image shows a man standing in front of a wall with text on it. There are no visible weapons.,0,879.1,162.9,575.9,755,64,111.1
8,ABmframe00280.jpg,weapon,no_weapon,1.0,No weapon is visible in the image.,0,753.0,158.0,443.9,755,50,112.6
9,ABmframe00334.jpg,weapon,no_weapon,1.0,No weapon visible in the image.,0,720.6,164.2,436.7,755,49,112.2
10,ABmframe00346.jpg,weapon,no_weapon,1.0,No weapon visible in the image.,0,756.1,159.2,412.9,755,49,118.7
11,ABsframe00010.jpg,weapon,no_weapon,1.0,No weapon visible in the image.,0,754.0,164.0,430.6,755,49,113.8
12,ABsframe00121.jpg,weapon,no_weapon,1.0,No weapon visible in the image.,0,726.8,164.6,418.6,755,49,117.1
13,ABsframe00157.jpg,weapon,no_weapon,1.0,The image shows a person standing in front of a sign with their back to the camera.,0,854.5,161.5,508.7,755,60,117.9
14,ABsframe00193.jpg,weapon,no_weapon,1.0,No weapon visible in the image.,0,763.8,164.3,435.1,755,49,112.6
15,ABsframe00196.jpg,weapon,no_weapon,1.0,No weapon visible in the image.,0,735.6,165.5,427.2,755,49,114.7
16,ABsframe00208.jpg,weapon,no_weapon,1.0,No weapon visible in the image.,0,766.9,166.9,370.2,755,49,132.4
17,DSC_00021.jpg,weapon,no_weapon,1.0,The image shows a man holding a cell phone and standing in front of a door with blinds.,0,1012.6,155.6,545.1,755,62,113.7
18,DSC_0010.jpg,weapon,no_weapon,1.0,No weapon visible in the image.,0,841.8,157.7,422.4,755,49,116.0
19,DSC_00131.jpg,weapon,no_weapon,1.0,No weapon is visible in the image.,0,863.4,160.0,446.0,755,50,112.1
20,DSC_00321.jpg,weapon,no_weapon,1.0,The image does not contain any visible weapons.,0,864.3,161.5,468.2,755,51,108.9
21,DSC_00361.jpg,weapon,no_weapon,1.0,No weapon visible in the image.,0,829.6,165.6,419.6,755,49,116.8
22,DSC_00591.jpg,weapon,no_weapon,1.0,No weapon visible in the image.,0,826.8,169.0,389.3,755,49,125.9
23,DSC_0069.jpg,weapon,no_weapon,1.0,No weapon visible in the image.,0,817.1,162.1,435.0,755,49,112.6
24,DefenseAndSurvive14.jpg,weapon,no_weapon,1.0,"Image shows two men in a gym setting, one holding a knife.",0,811.7,166.5,453.3,755,56,123.5
25,DefenseKnifeAttack0103.jpg,weapon,no_weapon,1.0,"Two men in a martial arts gym, one wearing black and white, the other in black and red, both holding onto each other's arms.",0,997.5,163.1,500.5,755,73,145.8
26,DefenseKnifeAttack0155.jpg,weapon,no_weapon,1.0,"Two men in a gym setting, one wearing a black shirt and the other a white shirt, engaging in physical activity.",0,906.4,164.5,542.4,755,66,121.7
27,DefenseKnifeAttack0163.jpg,weapon,no_weapon,1.0,"Two men in a gym setting, one holding a knife.",0,790.1,163.9,401.4,755,54,134.5
28,DefenseKnifeAttack0168.jpg,weapon,no_weapon,1.0,"Two men in a martial arts gym, one man is holding a knife and the other is talking to him.",0,936.6,164.7,528.5,755,65,123.0
29,DefenseKnifeAttack0169.jpg,weapon,no_weapon,1.0,"Two men in a martial arts gym, one man is holding a knife and the other is blocking it.",0,895.3,159.9,510.9,755,64,125.3
30,DefenseKnifeAttack0172.jpg,weapon,no_weapon,1.0,"Two men in a martial arts gym, one holding a knife to the other's throat.",0,927.5,165.4,519.2,755,62,119.4
31,DefenseKnifeAttack0183.jpg,weapon,no_weapon,1.0,"Two men in a gym setting, one man is holding a knife and the other is reacting to it.",0,923.1,165.6,511.4,755,64,125.1
32,DefenseKnifeAttack0184.jpg,weapon,no_weapon,1.0,"Two men in a martial arts gym, one man is holding a knife and the other is blocking it.",0,896.2,160.9,522.7,755,64,122.4
33,DefenseKnifeAttack0218.jpg,weapon,no_weapon,1.0,"Two men in a martial arts gym, one holding the other by the neck.",0,840.1,163.7,419.7,755,59,140.6
34,DefenseKnifeAttack0315.jpg,weapon,no_weapon,1.0,"Two men in a martial arts gym, one holding the other by the neck.",0,813.2,160.2,374.3,755,59,157.6
35,DefenseKnifeAttack0320.jpg,weapon,no_weapon,1.0,Two men in a martial arts gym practicing their moves.,0,814.3,159.2,419.2,755,54,128.8
36,DefenseKnifeAttack0376.jpg,weapon,no_weapon,1.0,"Two men in a martial arts gym, one holding the other by the collar of his shirt.",0,877.4,161.6,519.8,755,62,119.3
37,DefenseKnifeAttack0399.jpg,weapon,no_weapon,1.0,"Two men in a martial arts gym, one man is holding onto the other man's shirt",0,899.0,157.7,444.8,755,63,141.6
38,DefenseKnifeAttack0443.jpg,weapon,no_weapon,1.0,"Two men in a gym setting, one man is holding a knife and the other is grabbing his arm.",0,873.0,155.6,371.8,755,64,172.1
39,DefenseKnifeAttack0451.jpg,weapon,no_weapon,1.0,"Two men in a gym setting, one man is holding a knife.",0,815.0,161.4,298.5,755,56,187.6
40,DefenseKnifeAttack0476.jpg,weapon,no_weapon,1.0,"Two men in a martial arts gym, one is holding a knife.",0,801.3,162.6,268.8,755,57,212.1
41,DefenseKnifeAttack0690.jpg,weapon,no_weapon,1.0,"Two men in a martial arts gym, one holding the other's arm while they both appear to be practicing or demonstrating a move.",0,951.0,156.6,455.7,755,71,155.8
42,DefenseKnifeAttack0734.jpg,weapon,no_weapon,1.0,"Two men in a gym setting, one man is holding onto the other man's arm.",0,831.1,162.5,354.4,755,61,172.1
43,DefenseKnifeAttack0784.jpg,weapon,no_weapon,1.0,"Two men in a gym setting, one man is holding a knife.",0,804.3,159.4,375.8,755,56,149.0
44,DefenseKnifeAttack0798.jpg,weapon,no_weapon,1.0,"Two men in a martial arts gym, one holding a knife, the other not.",0,829.0,155.2,407.2,755,60,147.3
45,DefenseKnifeAttack1072.jpg,weapon,no_weapon,1.0,Two men practicing martial arts in a gym.,0,749.0,163.1,344.5,755,52,150.9
46,DefenseKnifeAttack1115.jpg,weapon,no_weapon,1.0,Two men in a martial arts gym practicing Brazilian Jiu-Jitsu.,0,880.3,156.0,401.8,755,60,149.3
47,DefenseKnifeAttack1223.jpg,weapon,no_weapon,1.0,"Two men in a martial arts gym, one holding a knife and the other not.",0,820.0,160.5,389.3,755,60,154.1
48,DefenseKnifeAttack1224.jpg,weapon,no_weapon,1.0,"Two men in a martial arts gym, one holding a knife.",0,778.2,160.9,460.4,755,56,121.6
49,HBbframe00145.jpg,weapon,no_weapon,1.0,"The image shows a man standing in an office or lobby area, holding a tablet and looking at it. There are no visible weapons in the scene.",0,973.2,162.7,498.6,755,72,144.4
50,HBbframe00181.jpg,weapon,no_weapon,1.0,No weapon visible in the image.,0,765.6,160.2,337.8,755,49,145.1
51,HBbframe00316.jpg,weapon,no_weapon,1.0,No weapon visible in the image.,0,752.1,160.5,352.0,755,49,139.2
52,HBbframe00361.jpg,weapon,no_weapon,1.0,No weapon visible in the image.,0,763.1,156.1,275.4,755,49,177.9
53,HBmframe00151.jpg,weapon,no_weapon,1.0,No weapon visible in the image.,0,771.3,154.3,294.2,755,49,166.6
54,HBmframe00163.jpg,weapon,no_weapon,1.0,"The image shows a person standing in an indoor setting, holding a pen and paper, with no visible weapons.",0,901.5,162.0,535.8,755,64,119.4
55,HBmframe00172.jpg,weapon,no_weapon,1.0,"The image shows a man standing in front of a sign, with no visible weapons.",0,872.0,163.5,321.1,755,59,183.7
56,HBmframe00256.jpg,weapon,no_weapon,1.0,No weapon visible in the image.,0,752.0,162.4,347.8,755,49,140.9
57,HBmframe00310.jpg,weapon,no_weapon,1.0,No weapon visible in the image.,0,762.4,161.4,337.2,755,49,145.3
58,HBmframe00379.jpg,weapon,no_weapon,1.0,No weapon visible in the image.,0,763.4,160.3,341.5,755,49,143.5
59,HBsframe00094.jpg,weapon,no_weapon,1.0,No weapon visible in the image.,0,782.7,162.9,324.5,755,49,151.0
60,HBsframe00235.jpg,weapon,no_weapon,1.0,No weapon visible in the image.,0,747.3,149.4,431.4,755,49,113.6
61,HBsframe00337.jpg,weapon,no_weapon,1.0,No weapon visible in the image.,0,739.7,162.9,384.7,755,49,127.4
62,HBsframe00403.jpg,weapon,no_weapon,1.0,No weapon visible in the image.,0,762.1,163.3,424.9,755,49,115.3
63,KnifeDefenseKrav078.jpg,weapon,no_weapon,1.0,The image shows two people practicing martial arts in a gym.,0,778.0,151.1,322.2,755,55,170.7
64,KravMagaKnifeDefenseTechniques023.jpg,weapon,no_weapon,1.0,"The image shows two people in a gym setting, one person is holding onto the other person's leg while they are on the ground.",0,970.6,152.4,506.7,755,70,138.1
65,KravMagaKnifeDefenseTechniques024.jpg,weapon,no_weapon,1.0,"The image shows two men in a gym setting, one of them is holding a knife.",0,822.4,163.3,371.7,755,60,161.4
66,KravMagaKnifeDefenseTechniques037.jpg,weapon,no_weapon,1.0,"The image shows two men engaged in a martial arts activity, but there are no visible weapons.",0,847.4,162.3,484.9,755,62,127.9
67,KravMagaKnifeDefenseTechniques062.jpg,weapon,no_weapon,1.0,The image shows two people practicing martial arts on a mat.,0,772.3,160.8,330.9,755,55,166.2
68,KravMagaKnifeDefenseTechniques078.jpg,weapon,no_weapon,1.0,"The image shows two men engaged in a martial arts activity, but no weapons are visible.",0,859.9,160.1,441.5,755,61,138.2
69,KravMagaKnifeDefenseTechniques080.jpg,weapon,no_weapon,1.0,"The image shows two people engaged in a martial arts activity, but no weapons are visible.",0,834.6,162.9,336.0,755,61,181.5
70,KravMagaKnifeDefenseTechniques090.jpg,weapon,no_weapon,1.0,Two men in a martial arts pose with no visible weapons.,0,787.8,158.7,373.9,755,55,147.1
71,KravMagaKnifeDefenseTechniques099.jpg,weapon,no_weapon,1.0,"The image shows two men engaged in a martial arts activity, but no weapons are visible.",0,834.7,161.7,377.4,755,61,161.6
72,KravMagaKnifeDefenseTechniques120.jpg,weapon,no_weapon,1.0,"The image shows two men in a martial arts gym, one of whom is holding onto the other's arm. There are no visible weapons in the image.",0,1003.6,160.5,485.3,755,75,154.5
73,KravMagaKnifeDefenseTechniques129.jpg,weapon,no_weapon,1.0,"The image shows two men engaged in a martial arts activity, but no weapons are visible.",0,834.1,158.5,355.6,755,61,171.5
74,KravMagaKnifeDefenseTechniques131.jpg,weapon,no_weapon,1.0,"The image shows two men engaged in a martial arts match, but no weapons are visible.",0,841.3,154.4,417.3,755,61,146.2
75,KravMagaKnifeDefenseTechniques137.jpg,weapon,no_weapon,1.0,"The image shows two people engaged in a martial arts match, but no weapons are visible.",0,837.5,162.2,380.8,755,61,160.2
76,KravMagaKnifeDefenseTechniques151.jpg,weapon,no_weapon,1.0,Two men in a martial arts gym practicing self-defense.,0,785.7,161.0,310.9,755,56,180.1
77,KravMagaKnifeDefenseTechniques153.jpg,weapon,no_weapon,1.0,Two men in a martial arts gym practicing their moves.,0,779.6,159.9,410.8,755,54,131.4
78,KravMagaKnifeDefenseTechniques155.jpg,weapon,no_weapon,1.0,Two men fighting in a gym.,0,712.7,156.8,260.6,755,49,188.1
79,KravMagaKnifeDefenseTechniques180.jpg,weapon,no_weapon,1.0,"Two men in a martial arts gym, one appears to be throwing a punch at the other.",0,883.1,158.4,445.7,755,62,139.1
80,KravMagaKnifeDefenseTechniques185.jpg,weapon,no_weapon,1.0,"Two men in a martial arts gym, one is holding a knife",0,785.0,162.3,353.4,755,57,161.3
81,KravMagaKnifeDefenseTechniques212.jpg,weapon,no_weapon,1.0,"The image shows two men in a martial arts gym, one of whom is holding a knife.",0,887.4,150.2,371.3,755,62,167.0
82,KravMagaKnifeDefenseTechniques223.jpg,weapon,no_weapon,1.0,Two men in a martial arts gym practicing self-defense moves.,0,784.2,160.1,384.9,755,57,148.1
83,KravMagaKnifeDefenseTechniques230.jpg,weapon,no_weapon,1.0,Two men in a martial arts gym practicing their moves.,0,758.8,161.2,319.0,755,54,169.3
84,KravMagaKnifeDefenseTechniques233.jpg,weapon,no_weapon,1.0,Two men in a martial arts gym practicing self-defense techniques.,0,804.9,149.8,440.2,755,57,129.5
85,KravMagaKnifeDefenseTechniques236.jpg,weapon,no_weapon,1.0,Two men in a martial arts gym practicing jiu-jitsu.,0,837.6,157.8,323.2,755,58,179.5
86,KravMagaKnifeDefenseTechniques238.jpg,weapon,no_weapon,1.0,Two men fighting in a gym setting.,0,732.0,153.7,351.5,755,50,142.2
87,KravMagaKnifeDefenseTechniques239.jpg,weapon,no_weapon,1.0,Two men fighting in a gym,0,746.6,151.8,255.7,755,49,191.6
88,KravMagaKnifeDefenseTechniques248.jpg,weapon,no_weapon,1.0,Two men in a martial arts gym practicing their moves.,0,764.1,160.0,335.6,755,54,160.9
89,KravMagaKnifeDefenseTechniques249.jpg,weapon,no_weapon,1.0,"Two men in a martial arts gym, one holding a stick and the other not holding anything that resembles a weapon.",0,901.9,155.3,486.0,755,68,139.9
90,KravMagaKnifeDefenseTechniques254.jpg,weapon,no_weapon,1.0,"Two men in a martial arts gym, one holding a sword-like object and the other not.",0,869.2,154.8,417.4,755,63,150.9
91,KravMagaKnifeDefenseTechniques264.jpg,weapon,no_weapon,1.0,"The image shows two men in a martial arts setting, but no weapons are visible.",0,821.4,148.4,357.1,755,60,168.0
92,KravMagaKnifeDefenseTechniques284.jpg,weapon,no_weapon,1.0,"The image shows two men in a martial arts pose, but no weapons are visible.",0,827.1,153.8,338.5,755,60,177.3
93,KravMagaKnifeDefenseTechniques288.jpg,weapon,no_weapon,1.0,Two men in a martial arts pose with no visible weapons.,0,773.8,151.3,334.6,755,55,164.4
94,KravMagaKnifeDefenseTechniques363.jpg,weapon,no_weapon,1.0,"Two men in a gym setting, one holding a knife and the other looking on.",0,814.6,162.8,426.5,755,59,138.3
95,KravMagaKnifeDefenseTechniques365.jpg,weapon,no_weapon,1.0,"Two men in a gym setting, one pointing at the other with his hand.",0,789.7,159.9,411.3,755,58,141.0
96,KravMagaKnifeDefenseTechniques370.jpg,weapon,no_weapon,1.0,No weapons visible in the image.,0,737.7,161.3,284.9,755,49,172.0
97,KravMagaKnifeDefenseTechniques416.jpg,weapon,no_weapon,1.0,No weapons visible in the image.,0,719.2,161.2,244.3,755,49,200.6
98,KravMagaKnifeDefenseTechniques442.jpg,weapon,no_weapon,1.0,No weapons visible in the image.,0,739.7,157.0,280.1,755,49,175.0
99,KravMagaKnifeDefenseTechniques597.jpg,weapon,no_weapon,1.0,The image shows two men playing a game with a knife.,0,760.1,144.9,434.3,755,54,124.3
100,KravMagaKnifeDefenseTechniques658.jpg,weapon,no_weapon,1.0,"The image shows two men in a martial arts gym, one of them is holding a stick, but it does not appear to be a weapon.",0,962.8,151.3,453.2,755,72,158.9
101,KravMagaKnifeDefenseTechniques674.jpg,weapon,no_weapon,1.0,Two men in a martial arts gym practicing jiu-jitsu.,0,827.8,160.5,440.8,755,58,131.6
102,KravMagaKnifeDefenseTechniques724.jpg,weapon,no_weapon,1.0,"Two men in a martial arts gym, one holding the other's arm, no weapons visible",0,863.0,161.7,407.2,755,63,154.7
103,KravMagaKnifeDefenseTechniques750.jpg,weapon,no_weapon,1.0,"The image shows two men in a martial arts gym, one of whom is holding a knife.",0,861.0,148.1,421.5,755,62,147.1
104,KravMagaKnifeDefenseTechniques757.jpg,weapon,no_weapon,1.0,"The image shows two men in a martial arts gym, one of them is holding a knife.",0,864.1,157.6,535.0,755,62,115.9
105,KravMagaKnifeDefenseTechniques777.jpg,weapon,no_weapon,1.0,"The image shows two men in a martial arts gym, one of whom is holding a knife.",0,851.6,162.4,446.4,755,62,138.9
106,LBbframe00142.jpg,weapon,no_weapon,1.0,No weapon visible in the image.,0,754.4,162.5,413.4,755,49,118.5
107,LBbframe00151.jpg,weapon,no_weapon,1.0,"The image shows a man standing in front of a sign, holding a knife.",0,866.5,147.3,404.1,755,58,143.5
108,LBbframe00289.jpg,weapon,no_weapon,1.0,No weapon visible in the image.,0,745.0,162.3,349.5,755,49,140.2
109,LBmframe00160.jpg,weapon,no_weapon,1.0,The image shows a man standing in front of a wall with a sign on it. There are no visible weapons in the image.,0,929.7,162.3,394.9,755,68,172.2
