indice,video_id,label_real,prediccion,confianza,descripcion,correcto,total_ms,prompt_ms,eval_ms,prompt_tokens,generated_tokens,tokens_per_sec
1,000906,crash,no_crash,0.95,"No clear signs of collision or abrupt impact observed; vehicles maintain consistent spacing and movement patterns without sudden stops, rollovers, or visible damage.",0,22929.1,237.0,21910.0,513,373,17.0
2,000010,no_crash,no_crash,0.85,Vehicles exhibit normal traffic flow through intersections and crosswalks without abrupt stops or collisions observed between frames t=1 to t=9.,1,56497.4,297.8,54331.4,513,916,16.9
3,000960,crash,crash,0.95,"A vehicle moving at an abnormal speed collides with another stationary car, resulting in visible damage including smoke emission post-impact.",1,20049.4,270.4,19273.5,513,315,16.3
4,000717,crash,crash,0.95,"Abrupt collision between two vehicles at an intersection, followed by rollover and debris scattering in subsequent frames.",1,26865.6,264.8,25932.1,513,427,16.5
5,002791,no_crash,crash,0.98,"Head-on collision observed at frames t=3-t=4 with vehicles making contact, followed by debris scattering and abrupt stops in subsequent frames.",0,25470.2,286.0,24305.3,513,408,16.8
6,001460,crash,no_crash,0.95,"Vehicles maintain steady spacing and movement throughout frames; no abrupt stops, collisions, or erratic behavior observed beyond normal traffic flow.",0,53224.8,260.7,51508.8,513,847,16.4
7,001074,crash,no_crash,0.95,No sudden impacts or collisions observed; vehicles maintain lanes and avoid contact despite approaching head-on at t=6.,0,26934.0,317.6,25963.0,513,430,16.6
8,000301,crash,crash,0.95,"At t=4 (~6s) two vehicles are seen extremely close in adjacent lanes, suggesting imminent collision; subsequent frames show abrupt stopping and erratic movement indicating a crash occurred off-camera.",1,31404.0,265.7,30278.1,513,498,16.4
9,000082,crash,crash,0.95,Frames show a sudden impact (t=13) with visible broken glass and vehicle deformation indicating collision.,1,22228.7,314.0,21530.9,513,336,15.6
10,002587,no_crash,no_crash,0.95,"All frames show consistent vehicle spacing and acceleration patterns without abrupt stops, collisions, or erratic movements indicative of a crash.",1,99307.1,343.1,97844.2,513,1472,15.0
11,000733,crash,crash,0.95,"Sudden impact between two vehicles at t=2, followed by visible deformation and debris scattering across lanes.",1,18708.0,300.1,18046.2,513,284,15.7
12,001697,no_crash,crash,0.85,"Frames t=6-9 show abrupt vehicle positioning changes and visible debris (broken glass) on the road, suggesting an impact occurred between vehicles at or near intersection crosswalks in earlier frames.",0,139641.5,278.8,137857.3,513,2068,15.0
13,000106,crash,crash,0.95,"Two vehicles approach head-on in an intersection without stopping at red lights (assuming traffic control). By t=6 (~7.9s), their paths converge abruptly, indicating a collision impact causing one vehicle to decelerate sharply while the other continues forward.",1,107811.3,282.4,106398.5,513,1637,15.4
14,000398,crash,crash,0.95,"A head-on collision occurred between two vehicles traveling in opposite directions at high speeds (t=4). The impact caused significant damage to both parties involved, with visible debris and structural deformation evident immediately after the crash.",1,22875.2,298.6,22170.1,513,349,15.7
