ruta,etiqueta,categoria_predicha,confianza,descripcion,total_ms,prompt_ms,eval_ms,prompt_tokens,generated_tokens,tokens_per_sec
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00008.jpg,none,humo,0.99,Se pueden ver penachos de humo grisáceo-blanquecino que se originan en una fuente concreta en el suelo y obscurecen el horizonte de forma antinatural.,7165.3,0,7165.3,3343,77,10.7
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00009.jpg,none,humo,0.99,Se pueden ver penachos de humo grisáceo-blanquecino que se originan en una fuente concreta en el suelo y obscurecen el horizonte de forma antinatural.,6472.4,0,6472.4,3343,77,11.9
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00011.jpg,none,humo,0.99,Se pueden ver penachos de humo grisáceo-blanquecino que se originan en una fuente concreta en el suelo y obscurecen el horizonte de forma antinatural.,6467.4,0,6467.4,3343,77,11.9
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00014.jpg,none,humo,0.99,Se pueden ver penachos de humo grisáceo-blanquecino que se originan en una fuente concreta en el suelo y obscurecen el horizonte de forma antinatural.,6663.5,0,6663.5,3343,77,11.6
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00018.jpg,none,humo,0.99,Se pueden ver penachos de humo grisáceo-blanquecino que se originan en una fuente concreta en el suelo y obscurecen el horizonte de forma antinatural.,6721.8,0,6721.8,3343,77,11.5
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00029.jpg,none,humo,0.99,Se pueden ver penachos de humo grisáceo-blanquecino que se originan en una fuente concreta en el suelo y obscurecen el horizonte de forma antinatural.,6723.8,0,6723.8,3343,77,11.5
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00033.jpg,none,humo,0.99,Se pueden ver penachos de humo grisáceo-blanquecino que se originan en una fuente concreta en el suelo y obscurecen el horizonte de forma antinatural.,6601.1,0,6601.1,3343,77,11.7
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00041.jpg,none,humo,0.99,Se pueden ver penachos de humo grisáceo-blanquecino que se originan en una fuente concreta en el suelo y obscurecen el horizonte de forma antinatural.,6652.4,0,6652.4,3343,77,11.6
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00049.jpg,none,humo,0.99,Se pueden ver penachos de humo grisáceo-blanquecino que se originan en una fuente concreta en el suelo y obscurecen el horizonte de forma antinatural.,6657.6,0,6657.6,3343,77,11.6
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00051.jpg,none,humo,0.99,Se pueden ver penachos grisáceo-blanquecinos que se originan en una fuente concreta en el suelo y obscurecen el horizonte de forma antinatural.,6667.1,0,6667.1,3343,74,11.1
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00054.jpg,none,humo,0.99,Se pueden ver penachos de humo grisáceo-blanquecino que se originan en una fuente concreta en el suelo y obscurecen el horizonte de forma antinatural.,6779.7,0,6779.7,3343,77,11.4
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00057.jpg,none,humo,0.99,Se pueden ver penachos de humo grisáceo-blanquecino que se originan en una fuente concreta en el suelo y obscurecen el horizonte de forma antinatural.,6757.8,0,6757.8,3343,77,11.4
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00062.jpg,none,humo,0.99,Se puede ver una columna de humo grisáceo-blanquecino que se originó en una fuente concreta en el suelo y obscurece el horizonte de forma antinatural.,6963.7,0,6963.7,3343,77,11.1
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00063.jpg,none,humo,0.99,Se pueden ver penachos de humo grisáceo-blanquecino que se originan en una fuente concreta en el suelo y obscurecen el horizonte de forma antinatural.,6782.7,0,6782.7,3343,77,11.4
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00066.jpg,none,humo,0.99,Se pueden ver penachos de humo grisáceo-blanquecino que se originan en una fuente concreta en el suelo y obscurecen el horizonte de forma antinatural.,6512.6,0,6512.6,3343,77,11.8
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00076.jpg,none,humo,0.99,Se pueden ver penachos de humo grisáceo-blanquecino que se originan en una fuente concreta en el suelo y obscurecen el horizonte de forma antinatural.,6645.0,0,6645.0,3343,77,11.6
C:\Users\adaxi\OneDrive\Escritorio\dataset\fuego_datatset\data\val\images\AoF00077.jpg,none,humo,0.99,Se pueden ver penachos de humo grisáceo-blanquecino que se originan en una fuente concreta en el suelo y obscurecen el horizonte de forma antinatural.,6751.9,0,6751.9,3343,77,11.4
