indice,archivo,label_real,prediccion,confianza,descripcion,correcto,total_ms,prompt_ms,eval_ms,prompt_tokens,generated_tokens,tokens_per_sec
1,-1l5631l3fg_0.avi,fight,non-fight,1.0,"The image shows a series of stills from a video in chronological order, but there is no clear indication of any physical altercation or aggressive behavior between the individuals present. The people are seen walking around and interacting with each other in various ways, but none of these interactions suggest violence or conflict.",0,3372.7,204.4,901.0,784,104,115.4
2,-1l5631l3fg_1.avi,fight,non-fight,1.0,"The image shows a series of frames from a video in chronological order, but there is no clear evidence of people hitting, pushing, grabbing each other, aggressive or erratic movements between frames, people falling or being knocked down, or a crowd suddenly gathering around a conflict.",0,1255.0,174.5,841.0,784,98,116.5
3,-1l5631l3fg_2.avi,fight,non-fight,1.0,The image shows a sequence of frames where there are no signs of violence or conflict. The people in the frames appear to be going about their activities without any aggressive or erratic movements.,0,1083.6,174.8,682.7,784,79,115.7
4,0H2s9UJcNJ0_0.avi,fight,non-fight,1.0,"The image shows a series of frames that depict people in various poses and actions, but there is no clear evidence of physical violence or aggressive behavior between them. The individuals appear to be engaged in different activities such as walking, standing, and interacting with each other, but none of the frames show any signs of fighting or conflict.",0,1477.9,175.2,954.8,784,110,115.2
5,0H2s9UJcNJ0_2.avi,fight,non-fight,1.0,"The image shows a sequence of people in a room with no signs of violence or conflict. The individuals appear to be engaged in various activities such as sitting, standing, and interacting with each other, but there is no indication of aggressive behavior or physical altercations.",0,1303.7,169.4,831.4,784,96,115.5
6,0H2s9UJcNJ0_3.avi,fight,fight,1.0,"The video shows a series of escalating confrontations between individuals, with aggressive movements and physical contact indicating a fight.",1,968.8,170.1,514.5,784,63,122.4
7,0H2s9UJcNJ0_4.avi,fight,non-fight,1.0,The image shows a sequence of frames from a video where people are seen walking in different directions and interacting with each other in various ways. There is no clear indication of physical violence or aggressive behavior across the frames.,0,1193.7,180.1,754.5,784,85,112.7
8,0H2s9UJcNJ0_5.avi,fight,non-fight,1.0,"The image shows a sequence of frames that depict people in various poses and actions, but there is no clear evidence of violence or conflict escalation across the frames. The individuals appear to be engaged in different activities, such as walking, standing, and interacting with each other, but none of these interactions seem aggressive or indicative of a fight.",0,1433.8,173.7,983.2,784,113,114.9
9,0lHQ2f0d_0.avi,fight,fight,1.0,"A series of escalating confrontations between individuals, with visible physical contact and aggressive body language.",1,938.8,174.4,507.7,784,59,116.2
10,0lHQ2f0d_1.avi,fight,non-fight,1.0,"The image shows a sequence of frames from a video that appears to be taken in a public space with multiple people present. The individuals are engaged in various activities such as walking, standing, and interacting with each other. There is no clear evidence of physical violence or aggressive behavior between the frames provided. The scene seems to depict a typical day in a public area with no signs of conflict or violence.",0,1573.9,171.2,1063.1,784,123,115.7
11,0lHQ2f0d_2.avi,fight,non-fight,1.0,"The image shows a sequence of frames from a video that appears to be a non-fight scenario. There are no signs of people hitting, pushing, or grabbing each other, and there is no indication of aggressive or erratic movements between the frames. No one is falling or being knocked down, and there is no crowd suddenly gathering around a conflict.",0,1492.4,177.1,1021.7,784,114,111.6
12,0lHQ2f0d_3.avi,fight,non-fight,1.0,"The image shows a sequence of stills from a video that appears to be taken in a public space with multiple people present. The individuals are engaged in various activities such as walking, standing, and interacting with each other. There is no clear evidence of physical violence or aggressive behavior between the frames provided. The scene seems to depict a typical day in a public area with no signs of conflict or altercation.",0,1608.7,174.6,1127.9,784,126,111.7
13,0NWz-01A2yk_0.avi,fight,non-fight,1.0,"The sequence of images shows a person walking and interacting with objects in a room, without any signs of violence or conflict.",0,976.0,174.1,565.8,784,67,118.4
14,0NWz-01A2yk_1.avi,fight,non-fight,1.0,The sequence shows a person walking and interacting with their surroundings in a non-aggressive manner.,0,946.9,175.2,529.6,784,63,119.0
15,0TFi8D8IBg4_1.avi,fight,fight,1.0,"The video shows a progression of events where two individuals are engaged in a physical altercation, with one person being pushed or hit by the other. The movements and interactions between frames indicate aggressive behavior and conflict.",1,1151.8,174.0,744.1,784,83,111.5
16,0vasozvJYvk_0.avi,fight,non-fight,1.0,"The image shows a series of surveillance camera captures in chronological order, depicting a person walking through what appears to be an indoor space with various objects and possibly other people present. There are no signs of violence or aggressive behavior visible across the frames.",0,1255.4,176.3,868.9,784,94,108.2
17,0_DzLlklZa0_3.avi,fight,non-fight,1.0,"The image shows a series of frames from a video in chronological order, but there is no clear indication of people hitting, pushing, grabbing each other, aggressive or erratic movements between frames, people falling or being knocked down, or a crowd suddenly gathering around a conflict.",0,1336.3,175.9,870.5,784,98,112.6
18,0_DzLlklZa0_4.avi,fight,non-fight,1.0,"The image shows a sequence of frames that depict people in various poses and actions, but there is no clear evidence of physical violence or aggressive behavior between them. The individuals appear to be engaged in different activities, such as walking, standing, and interacting with each other, but none of these interactions seem to involve hitting, pushing, grabbing, or any other form of conflict.",0,1540.8,173.4,1046.1,784,120,114.7
