indice,archivo,label_real,prediccion,confianza,descripcion,correcto,total_ms,prompt_ms,eval_ms,prompt_tokens,generated_tokens,tokens_per_sec
1,-1l5631l3fg_0.avi,violencia,violencia,0.99,"Un grupo de personas se reúne alrededor de un conflicto, con movimientos agresivos y forcejeos entre ellas",1,6040.5,0,6040.5,3186,60,9.9
2,-1l5631l3fg_1.avi,violencia,violencia,0.99,Un individuo se acerca a la cámara y comienza a golpear a otra persona en la cabeza con un objeto desconocido,1,5736.2,0,5736.2,3186,62,10.8
3,-1l5631l3fg_2.avi,violencia,violencia,0.99,"Un grupo de personas se reúne alrededor de un conflicto, con movimientos agresivos y caídas",1,5268.3,0,5268.3,3186,57,10.8
4,0H2s9UJcNJ0_0.avi,violencia,violencia,0.99,Un grupo de personas se ha reunido alrededor de un conflicto y se están agarrando y empujando entre sí,1,5573.4,0,5573.4,3186,63,11.3
5,0H2s9UJcNJ0_2.avi,violencia,violencia,0.99,Un grupo de personas se ha reunido alrededor de un conflicto y se están agarrando y empujando entre sí,1,5906.5,0,5906.5,3186,63,10.7
6,0H2s9UJcNJ0_3.avi,violencia,violencia,0.99,Un grupo de personas se ha reunido alrededor de un conflicto y se están agarrando y empujando entre sí,1,5865.3,0,5865.3,3186,63,10.7
7,0H2s9UJcNJ0_4.avi,violencia,violencia,0.99,Un grupo de personas se ha reunido alrededor de un conflicto y se están agarrando y empujando entre sí,1,5704.2,0,5704.2,3186,63,11.0
8,0H2s9UJcNJ0_5.avi,violencia,violencia,0.99,"Un grupo de personas se reúne alrededor de un conflicto, con movimientos agresivos y confrontaciones físicas",1,5157.7,0,5157.7,3186,59,11.4
9,0lHQ2f0d_0.avi,violencia,violencia,0.99,Un grupo de personas se ha reunido alrededor de un conflicto y se están agarrando y empujando entre sí,1,5679.8,0,5679.8,3186,63,11.1
10,0lHQ2f0d_1.avi,violencia,violencia,0.99,Un grupo de personas se ha reunido alrededor de un conflicto y se están agarrando y golpeando entre sí,1,5648.3,0,5648.3,3186,62,11.0
11,0lHQ2f0d_2.avi,violencia,violencia,0.99,Un grupo de personas se ha reunido alrededor de un conflicto y se están agarrando y golpeando entre sí,1,5583.4,0,5583.4,3186,62,11.1
12,0lHQ2f0d_3.avi,violencia,violencia,0.99,"Un grupo de personas se reúne alrededor de un conflicto, con movimientos agresivos y caídas",1,5487.1,0,5487.1,3186,57,10.4
13,0NWz-01A2yk_0.avi,violencia,violencia,0.99,Un individuo está golpeando a otro en la cabeza con un objeto,1,4987.4,0,4987.4,3186,52,10.4
14,0NWz-01A2yk_1.avi,violencia,violencia,0.99,"Un grupo de personas se reúne alrededor de un conflicto, con movimientos agresivos y caídas",1,5313.4,0,5313.4,3186,57,10.7
15,0TFi8D8IBg4_1.avi,violencia,violencia,0.99,Un grupo de personas se aglomera alrededor de una persona que está cayendo en el suelo,1,5610.0,0,5610.0,3186,58,10.3
16,0vasozvJYvk_0.avi,violencia,violencia,0.99,"Un grupo de personas se reúne alrededor de un conflicto, con movimientos agresivos y caídas",1,5248.0,0,5248.0,3186,57,10.9
17,0_DzLlklZa0_3.avi,violencia,violencia,0.99,Un grupo de personas se ha reunido alrededor de un conflicto y se están agarrando y empujando entre sí,1,5942.4,0,5942.4,3186,63,10.6
18,0_DzLlklZa0_4.avi,violencia,violencia,0.99,"Un grupo de personas se reúne alrededor de un conflicto, con movimientos agresivos y erráticos entre ellas",1,5693.9,0,5693.9,3186,60,10.5
