indice,archivo,label_real,prediccion,confianza,descripcion,correcto,total_ms,prompt_ms,eval_ms,prompt_tokens,generated_tokens,tokens_per_sec
1,ABbframe00145.jpg,arma,no_arma,0.99,El hombre no está sosteniendo ningún objeto que parezca un arma,0,5498.6,0,5498.6,3122,53,9.6
2,ABbframe00289.jpg,arma,no_arma,0.99,No se ve ningún objeto que parezca un arma,0,4508.9,0,4508.9,3122,50,11.1
3,ABbframe00322.jpg,arma,no_arma,0.99,El hombre no lleva ningún objeto que parezca un arma,0,4771.9,0,4771.9,3122,51,10.7
4,ABbframe00325.jpg,arma,no_arma,0.99,No se ve ningún objeto que parezca un arma en la imagen,0,4859.4,0,4859.4,3122,53,10.9
5,ABbframe00331.jpg,arma,no_arma,0.99,El hombre no lleva ningún objeto que parezca un arma,0,4839.5,0,4839.5,3122,51,10.5
6,ABmframe00154.jpg,arma,no_arma,0.99,El hombre no está sosteniendo ningún objeto que parezca un arma,0,4726.9,0,4726.9,3122,53,11.2
7,ABmframe00262.jpg,arma,no_arma,0.99,El hombre no está sosteniendo ningún objeto que parezca un arma,0,4648.1,0,4648.1,3122,53,11.4
8,ABmframe00280.jpg,arma,no_arma,0.99,El hombre no está sosteniendo ningún objeto que parezca un arma,0,4685.5,0,4685.5,3122,53,11.3
9,ABmframe00334.jpg,arma,no_arma,0.99,El hombre no está sosteniendo ningún arma,0,4616.2,0,4616.2,3122,48,10.4
10,ABmframe00346.jpg,arma,no_arma,0.99,El hombre no está sosteniendo ningún arma visible,0,4658.4,0,4658.4,3122,49,10.5
11,ABsframe00010.jpg,arma,no_arma,0.99,El hombre no está sosteniendo ningún objeto que parezca un arma,0,4880.9,0,4880.9,3122,53,10.9
12,ABsframe00121.jpg,arma,no_arma,0.99,No se ve ningún objeto que parezca un arma en la imagen,0,4842.0,0,4842.0,3122,53,10.9
13,ABsframe00157.jpg,arma,no_arma,0.99,No se ve ningún objeto que parezca un arma en la imagen,0,4851.4,0,4851.4,3122,53,10.9
14,ABsframe00193.jpg,arma,no_arma,0.99,El hombre no está sosteniendo ningún arma visible,0,4665.2,0,4665.2,3122,49,10.5
15,ABsframe00196.jpg,arma,no_arma,0.99,El hombre no está sosteniendo ningún arma visible,0,4655.3,0,4655.3,3122,49,10.5
16,ABsframe00208.jpg,arma,no_arma,0.99,El hombre no está sosteniendo ningún objeto que parezca un arma,0,4833.8,0,4833.8,3122,53,11.0
17,DSC_00021.jpg,arma,no_arma,0.99,El hombre no está sosteniendo ningún arma visible en la imagen,0,4797.7,0,4797.7,3122,52,10.8
18,DSC_0010.jpg,arma,no_arma,0.99,No se ve ningún objeto que parezca un arma,0,4719.1,0,4719.1,3122,50,10.6
19,DSC_00131.jpg,arma,no_arma,0.99,No se ve ningún arma en la imagen,0,4655.1,0,4655.1,3122,48,10.3
20,DSC_00321.jpg,arma,no_arma,0.99,El hombre no está sosteniendo ningún arma,0,4737.7,0,4737.7,3122,48,10.1
21,DSC_00361.jpg,arma,no_arma,0.99,No se ve ningún objeto que parezca un arma,0,4713.3,0,4713.3,3122,50,10.6
22,DSC_00591.jpg,arma,arma,0.99,Un hombre sostiene un cuchillo en sus manos,1,5074.8,0,5074.8,3122,48,9.5
23,DSC_0069.jpg,arma,no_arma,0.99,No se ve ningún objeto que parezca un arma,0,4846.5,0,4846.5,3122,50,10.3
24,DefenseAndSurvive14.jpg,arma,arma,0.99,El hombre de la imagen sostiene un cuchillo,1,4634.4,0,4634.4,3122,48,10.4
25,DefenseKnifeAttack0103.jpg,arma,arma,0.0,no hay armas en la imagen,1,4434.9,0,4434.9,3122,44,9.9
26,DefenseKnifeAttack0155.jpg,arma,arma,0.99,Ambos hombres tienen un cuchillo en la mano,1,4676.5,0,4676.5,3122,49,10.5
27,DefenseKnifeAttack0163.jpg,arma,arma,0.99,un cuchillo es sostenido por un hombre,1,4613.9,0,4613.9,3122,48,10.4
28,DefenseKnifeAttack0168.jpg,arma,arma,0.99,Un cuchillo es visible en la mano de uno de los hombres,1,4843.4,0,4843.4,3122,52,10.7
29,DefenseKnifeAttack0169.jpg,arma,arma,0.99,un cuchillo es sostenido por el hombre,1,4639.2,0,4639.2,3122,48,10.3
30,DefenseKnifeAttack0172.jpg,arma,arma,0.99,El hombre de la imagen está sosteniendo un cuchillo en su mano derecha,1,4912.7,0,4912.7,3122,54,11.0
31,DefenseKnifeAttack0183.jpg,arma,arma,0.99,uno de los hombres sostiene un cuchillo,1,4572.1,0,4572.1,3122,47,10.3
32,DefenseKnifeAttack0184.jpg,arma,arma,0.99,uno de los hombres sostiene un cuchillo,1,4571.3,0,4571.3,3122,47,10.3
33,DefenseKnifeAttack0218.jpg,arma,arma,0.99,Un cuchillo es visible en la mano de la persona que está siendo atacada,1,5149.3,0,5149.3,3122,55,10.7
34,DefenseKnifeAttack0315.jpg,arma,arma,0.99,un cuchillo es sostenido por un hombre,1,4873.9,0,4873.9,3122,48,9.8
35,DefenseKnifeAttack0320.jpg,arma,arma,0.0,No se ve ningún arma en la imagen,1,4522.5,0,4522.5,3122,46,10.2
36,DefenseKnifeAttack0376.jpg,arma,arma,0.99,Ambos hombres tienen un cuchillo en la mano,1,4672.0,0,4672.0,3122,49,10.5
37,DefenseKnifeAttack0399.jpg,arma,arma,0.99,El hombre en el lado izquierdo de la imagen está sosteniendo un cuchillo en su mano derecha,1,5144.6,0,5144.6,3122,59,11.5
38,DefenseKnifeAttack0443.jpg,arma,arma,0.99,Ambos hombres tienen un cuchillo en la mano,1,4684.1,0,4684.1,3122,49,10.5
39,DefenseKnifeAttack0451.jpg,arma,arma,0.99,Ambos hombres sostienen cuchillos,1,4528.4,0,4528.4,3122,46,10.2
40,DefenseKnifeAttack0476.jpg,arma,arma,0.99,Ambos hombres sostienen cuchillos,1,4755.4,0,4755.4,3122,46,9.7
41,DefenseKnifeAttack0690.jpg,arma,arma,0.0,No se ve ningún arma en la imagen,1,4533.1,0,4533.1,3122,46,10.1
42,DefenseKnifeAttack0734.jpg,arma,arma,0.99,un cuchillo es visible en la mano de la persona,1,5225.5,0,5225.5,3122,50,9.6
43,DefenseKnifeAttack0784.jpg,arma,arma,0.99,Ambos hombres tienen un cuchillo en la mano,1,4947.6,0,4947.6,3122,49,9.9
44,DefenseKnifeAttack0798.jpg,arma,arma,0.99,Ambos hombres sostienen cuchillos y se enfrentan en una pelea,1,5286.0,0,5286.0,3122,54,10.2
45,DefenseKnifeAttack1072.jpg,arma,arma,0.0,No se ve ningún arma en la imagen,1,4687.6,0,4687.6,3122,46,9.8
46,DefenseKnifeAttack1115.jpg,arma,arma,0.0,No se ve ningún objeto que parezca un arma en la imagen.,1,4730.5,0,4730.5,3122,51,10.8
47,DefenseKnifeAttack1223.jpg,arma,arma,0.99,Un cuchillo es sostenido por un hombre,1,4530.9,0,4530.9,3122,48,10.6
48,DefenseKnifeAttack1224.jpg,arma,arma,0.99,El hombre de la imagen está sosteniendo un cuchillo en su mano derecha,1,5163.0,0,5163.0,3122,54,10.5
49,HBbframe00145.jpg,arma,no_arma,0.99,No se ve ningún objeto que parezca un arma en la imagen,0,4729.5,0,4729.5,3122,53,11.2
50,HBbframe00181.jpg,arma,no_arma,0.99,El hombre no está sosteniendo ningún objeto que parezca un arma,0,4749.6,0,4749.6,3122,53,11.2
51,HBbframe00316.jpg,arma,no_arma,0.99,No se ve ningún objeto que parezca un arma en la imagen,0,4739.4,0,4739.4,3122,53,11.2
52,HBbframe00361.jpg,arma,no_arma,0.99,El hombre no lleva ningún objeto que parezca un arma,0,4629.1,0,4629.1,3122,51,11.0
53,HBmframe00151.jpg,arma,no_arma,0.99,El hombre no está sosteniendo ningún objeto que parezca un arma,0,4719.9,0,4719.9,3122,53,11.2
54,HBmframe00163.jpg,arma,no_arma,0.99,No se ve ningún objeto que parezca un arma en la imagen,0,4728.8,0,4728.8,3122,53,11.2
55,HBmframe00172.jpg,arma,no_arma,0.99,No se ve ningún objeto que parezca un arma en la imagen,0,4721.3,0,4721.3,3122,53,11.2
56,HBmframe00256.jpg,arma,no_arma,0.99,No se ve ningún objeto que parezca un arma en la imagen,0,4724.0,0,4724.0,3122,53,11.2
57,HBmframe00310.jpg,arma,no_arma,0.99,No se ve ningún objeto que parezca un arma en la imagen,0,4726.7,0,4726.7,3122,53,11.2
58,HBmframe00379.jpg,arma,no_arma,0.99,El hombre no está sosteniendo ningún objeto que parezca un arma,0,4720.6,0,4720.6,3122,53,11.2
59,HBsframe00094.jpg,arma,no_arma,0.99,El hombre no está sosteniendo ningún objeto que parezca un arma,0,4732.9,0,4732.9,3122,53,11.2
60,HBsframe00235.jpg,arma,no_arma,0.99,El hombre no está sosteniendo ningún objeto que parezca un arma,0,4736.9,0,4736.9,3122,53,11.2
61,HBsframe00337.jpg,arma,no_arma,0.99,El hombre no lleva ningún objeto que parezca un arma,0,4647.7,0,4647.7,3122,51,11.0
62,HBsframe00403.jpg,arma,no_arma,0.99,El hombre no está sosteniendo ningún objeto que parezca un arma,0,4731.9,0,4731.9,3122,53,11.2
63,KnifeDefenseKrav078.jpg,arma,arma,0.0,no se ve ningún arma en la imagen,1,4565.6,0,4565.6,3122,46,10.1
