indice,archivo,label_real,prediccion,confianza,descripcion,correcto,total_ms,prompt_ms,eval_ms,prompt_tokens,generated_tokens,tokens_per_sec
1,-1l5631l3fg_0.avi,fight,violencia,0.95,"Una persona se agarra físicamente con otro individuo en la entrada de un pasillo, empujándolo contra la pared y sosteniendo sus brazos durante los fotogramas.",0,25365.1,2283.2,16324.8,2512,1188,72.8
2,-1l5631l3fg_1.avi,fight,ERROR,0,,0,24522.0,2264.4,21784.0,2512,1584,72.7
3,-1l5631l3fg_2.avi,fight,ERROR,0,,0,24564.1,2260.3,21828.6,2512,1584,72.6
4,0H2s9UJcNJ0_0.avi,fight,violencia,0.98,A través de los fotogramas se observa una pelea física continua donde un grupo de personas agreden y sostienen a alguien en el suelo mientras otros espectadores rodean la escena.,0,18476.6,2247.4,15709.4,2512,1138,72.4
5,0H2s9UJcNJ0_2.avi,fight,violencia,0.95,A través de los fotogramas se observa una alteración física donde un grupo rodea a alguien en el suelo que es retenido agresivamente por otra persona mientras otros espectadores miran.,0,23180.2,2277.7,20383.1,2512,1479,72.6
6,0H2s9UJcNJ0_3.avi,fight,ERROR,0,,0,24685.6,2295.7,21871.1,2512,1584,72.4
7,0H2s9UJcNJ0_4.avi,fight,violencia,0.95,,0,18904.5,2248.7,16116.3,2512,1169,72.5
8,0H2s9UJcNJ0_5.avi,fight,violencia,0.98,La secuencia muestra una confrontación física progresiva donde el personal de seguridad agarra y derriba a un individuo con uniforme verde hasta que cae al suelo.,0,20366.2,2252.0,17618.6,2512,1279,72.6
9,0lHQ2f0d_0.avi,fight,violencia,0.95,"Una pelea física comienza y se intensifica entre varios individuos en una calle nocturna, con empujones, golpes y personas cayendo durante el altercado.",0,12659.5,2240.3,9908.3,2512,721,72.8
10,0lHQ2f0d_1.avi,fight,violencia,0.95,"Un grupo de personas se ve involucrado en una pelea física y desordenada en el centro de la calle, con individuos golpeándose y empujándose mientras otros huyen o intentan intervenir.",0,11539.0,2245.5,8750.8,2512,635,72.6
11,0lHQ2f0d_2.avi,fight,violencia,0.95,"La secuencia muestra a un grupo de personas que inicialmente están reunidas pero luego comienzan a correr y empujarse agresivamente en el centro de la calle, lo que lleva a altercados físicos donde individuos son derribados.",0,17720.6,2287.6,14916.8,2512,1083,72.6
12,0lHQ2f0d_3.avi,fight,violencia,0.98,"Un grupo de personas se ven involucradas en una pelea física intensa en la calle a medianoche, con movimientos agresivos y caídas.",0,19112.4,2240.7,16359.7,2512,1187,72.6
13,0NWz-01A2yk_0.avi,fight,ERROR,0,,0,24635.6,2243.0,21875.8,2512,1584,72.4
14,0NWz-01A2yk_1.avi,fight,violencia,0.85,"La secuencia muestra a una persona que está de pie cerca del mostrador y luego cae al suelo bruscamente, permaneciendo",0,24629.8,2246.7,21848.2,2512,1584,72.5
15,0TFi8D8IBg4_1.avi,fight,no_violencia,0.85,Los fotogramas muestran a un grupo de niños interactuando físicamente en una habitación con movimiento rápido y contacto corporal que parece ser parte de un juego o actividad recreativa.,0,23855.9,2282.1,21036.4,2512,1525,72.5
16,0vasozvJYvk_0.avi,fight,no_violencia,0.98,"A lo largo de la secuencia temporal, se observa a una persona empujando un cochecito en el borde izquierdo y otras personas caminando tranquilamente por la acera mientras pasan vehículos sin interacciones agresivas.",0,20370.2,2257.3,17620.5,2512,1279,72.6
17,0_DzLlklZa0_3.avi,fight,violencia,0,(truncado),0,24615.1,2256.0,21822.1,2512,1584,72.6
18,0_DzLlklZa0_4.avi,fight,violencia,0.95,"Inicialmente las personas están de pie en el comedor; a partir del fotograma t=19 se observa una altercación física donde varios individuos empujan y agarran a otros cerca de la pared derecha, resultando que al menos una persona cae o es derribada hacia el suelo.",0,17335.5,2268.1,14518.0,2512,1057,72.8
19,0_DzLlklZa0_5.avi,fight,ERROR,0,,0,24580.1,2229.4,21799.8,2512,1584,72.7
20,0_DzLlklZa0_6.avi,fight,violencia,0.9,"Se observa un altercado físico donde varias personas empujan y agarran a otros cerca de las puertas en los primeros minutos, lo que indica violencia antes de que la multitud se disperse.",0,18861.1,2256.1,16057.3,2512,1167,72.7
21,1dsLuL5Lvbc_0.avi,fight,violencia,0.95,Un segundo individuo entra en la habitación y comienza a pelear físicamente con otra persona que ya estaba de pie cerca del mostrador de la cocina.,0,20590.6,2237.4,17870.7,2512,1297,72.6
22,1dsLuL5Lvbc_1.avi,fight,violencia,0.95,"Dos individuos se ven empujándose y forcejeando cerca de la pared antes de que uno derribe al otro sobre el sofá, continuando con un combate cuerpo a cuerpo mientras están acostados.",0,12890.5,2260.6,10165.3,2512,740,72.8
23,1dsLuL5Lvbc_2.avi,fight,violencia,0.95,"La secuencia muestra una altercado físico donde un individuo de ropa oscura se agacha y golpea o empuja a otras personas cerca del sofá, provocando que caigan al suelo.",0,17690.9,2335.0,14904.3,2512,1083,72.7
24,1dsLuL5Lvbc_3.avi,fight,ERROR,0,,0,24528.3,2244.5,21828.9,2512,1584,72.6
25,1DwRGRND_0.avi,fight,violencia,0.95,La secuencia comienza con personas cerca de unas escaleras y rápidamente evoluciona a una multitud apretada donde individuos caen o son empujados hacia abajo; la escena muestra un caos creciente con muchas personas agarrándose y tirando de las que están en el suelo.,0,22473.2,2278.3,19647.2,2512,1425,72.5
26,1DwRGRND_1.avi,fight,violencia,0.95,"La secuencia muestra una multitud agitada donde varios individuos uniformados se involucran físicamente con un sujeto central, empujándolo y sosteniéndolo en el suelo antes de levantarlo para restringirlo.",0,18407.1,2254.0,15624.6,2512,1135,72.6
27,1O4KGHbRt3M_0.avi,fight,violencia,0.95,Una persona se inclina agresivamente sobre otra sentada en un asiento de transporte y parece agarrar o arrastrarla fuera del asiento a lo largo de la secuencia.,0,21757.0,2222.4,18980.7,2512,1377,72.5
28,1O4KGHbRt3M_1.avi,fight,ERROR,0,,0,24583.6,2234.7,21813.2,2512,1584,72.6
29,1O4KGHbRt3M_2.avi,fight,violencia,0.85,"A medida que avanza la secuencia de tiempo, dos individuos sentados en los asientos traseros comienzan a agarrarse y empujarse mutuamente, indicando un altercado físico.",0,20159.1,2239.4,17398.6,2512,1264,72.6
30,1O4KGHbRt3M_3.avi,fight,violencia,0.95,"Dos personas se involucran en una lucha física sostenida dentro de un vehículo, con uno sujetando y empujando al otro agresivamente durante la mayor parte del video.",0,15301.9,2244.1,12533.1,2512,911,72.7
31,1O4KGHbRt3M_4.avi,fight,ERROR,0,,0,24684.9,2262.1,21884.6,2512,1584,72.4
32,1r0Wz04q_0.avi,fight,ERROR,0,,0,24657.5,2234.5,21882.9,2512,1584,72.4
33,1tU4kxa51vw_1.avi,fight,violencia,0.95,La secuencia muestra a un grupo de hombres en un pasillo exterior que pasan de estar reunidos calmadamente a involucrarse repentinamente en altercados físicos donde individuos golpean y caen al suelo mientras otros se agarran entre sí.,0,21625.0,2302.0,18836.7,2512,1362,72.3
34,1XFiS6Lt_0.avi,fight,violencia,0.95,Un grupo de personas reunidas cerca de una señal inicialmente estáticas comienza a empujarse y agarrarse físicamente entre sí en los fotogramas finales.,0,15759.5,2300.1,12954.5,2512,938,72.4
35,1XFiS6Lt_1.avi,fight,violencia,0.95,Un grupo de hombres se involucra en una pelea física y empujones mientras otras personas observan alrededor del área afectada.,0,18606.1,2272.4,15846.8,2512,1147,72.4
36,24E0xYYUz44_0.avi,fight,violencia,0.95,La secuencia muestra un altercado físico entre dos individuos que se empujan y agarran mutuamente cerca de las mesas en una cafetería.,0,23011.3,2216.8,20291.6,2512,1474,72.6
37,24E0xYYUz44_1.avi,fight,violencia,0.95,La secuencia muestra un grupo de personas que inicialmente se agrupan alrededor de mesas y luego escalan a una pelea física donde empujan y agarran a otros contra la mobiliario.,0,18470.0,2278.1,15682.8,2512,1140,72.7
38,24E0xYYUz44_2.avi,fight,violencia,0.95,La secuencia muestra una altercado físico que comienza con personas de pie y rápidamente evoluciona hacia un tiroteo donde alguien cae al suelo mientras otros lo agarran o golpean cerca de las mesas.,0,15696.3,2235.8,12942.9,2512,942,72.8
39,24E0xYYUz44_3.avi,fight,violencia,0.9,Un grupo de personas se involucra en una pelea física donde varios individuos agarran y derriban a otra persona que termina cayendo al suelo mientras otros observan.,0,10244.2,2232.5,7494.7,2512,544,72.6
40,24E0xYYUz44_4.avi,fight,violencia,0.95,Se observa un altercado físico continuo donde varias personas agarran a otra que cae o es mantenida en el suelo mientras hay empujones y movimientos agresivos.,0,13222.3,2245.3,10453.8,2512,758,72.5
41,24E0xYYUz44_5.avi,fight,violencia,0.98,Se observa un altercado físico entre dos hombres que intercambian golpes y se agarran mutuamente en medio de una sala con mesas mientras otras personas observan.,0,14257.3,2242.0,11534.4,2512,839,72.7
42,24E0xYYUz44_6.avi,fight,violencia,0.95,Un grupo de hombres se involucra en una pelea física que implica empujones y forcejeos cerca de la vitrina de vidrio a lo largo de los fotogramas.,0,13183.8,2274.7,10433.5,2512,760,72.8
43,24E0xYYUz44_7.avi,fight,violencia,0.95,A través de la secuencia se observa una altercación física sostenida donde individuos agarran y empujan a otros cerca de las mesas en un comedor.,0,20807.1,2275.9,18013.9,2512,1306,72.5
44,2hQMRq06NJs_0.avi,fight,violencia,0.98,"La secuencia muestra una altercación física donde un individuo es derribado al suelo mientras otra persona se mantiene de pie y ejerce presión sobre él, con áreas pixeladas que sugieren detalles sensibles durante el asalto.",0,22144.4,2276.1,19380.7,2512,1403,72.4
45,2sy_eLpH-PI_0.avi,fight,violencia,0.95,"La secuencia comienza con personas cerca de vehículos y equipaje, pero rápidamente evoluciona hacia una pelea física donde dos individuos se agarran en el suelo mientras otros entran a la escena o huyen del conflicto.",0,12573.2,2266.2,9833.5,2512,716,72.8
46,2sy_eLpH-PI_1.avi,fight,ERROR,0,,0,24607.2,2238.2,21892.0,2512,1584,72.4
47,3CQi0ZCCHvc_0.avi,fight,violencia,0.95,La secuencia comienza con individuos de pie y quietos en un asc,0,24675.6,2270.6,21926.4,2512,1584,72.2
48,3CQi0ZCCHvc_1.avi,fight,violencia,0.95,"La secuencia muestra una altercación física continua dentro de un ascensor donde varias personas se empujan, golpean y luchan entre sí a lo largo del tiempo.",0,11758.7,2288.6,8976.6,2512,651,72.5
49,3CQi0ZCCHvc_2.avi,fight,violencia,0.9,La secuencia muestra un altercado físico dentro de un ascensor donde una persona parece estar agrediendo o sujetando a otra que se encuentra en el suelo durante la mayor parte del video.,0,22028.5,2251.7,19290.6,2512,1394,72.3
50,3kpviz7lAMY_0.avi,fight,violencia,0.98,"La secuencia muestra a individuos subiendo unas escaleras que luego se involucran en una pelea física, resultando en que uno de ellos es empujado o agarrado por otro y caen rodando hacia abajo.",0,18283.0,2314.5,15422.3,2512,1118,72.5
51,3kpviz7lAMY_1.avi,fight,violencia,0.95,La secuencia muestra un altercado físico entre dos individuos que termina con uno cayendo al suelo mientras el otro permanece de pie.,0,17623.6,2240.2,14830.6,2512,1076,72.6
52,3kpviz7lAMY_2.avi,fight,no_violencia,0.95,Una sola persona se ve agachada en la esquina inferior izquierda de un pasillo de escaleras y luego se levanta para caminar sin interactuar agresivamente con nadie.,0,14053.5,2249.0,11272.9,2512,818,72.6
53,3kpviz7lAMY_3.avi,fight,ERROR,0,,0,24704.7,2267.2,21912.2,2512,1584,72.3
