indice,video_id,label_real,prediccion,confianza,descripcion,correcto,total_ms,prompt_ms,eval_ms,prompt_tokens,generated_tokens,tokens_per_sec
1,000906,crash,ERROR,0,,0,123967.0,255.6,117033.9,541,8096,69.2
2,000010,no_crash,no_crash,0.95,"The sequence shows normal urban driving conditions. The vehicle approaches an intersection safely (t=1-3), where pedestrians cross without incident. Subsequent frames (t=4-9) show the vehicle proceeding down a street lined with scaffolding and parked cars at a steady pace. There are no signs of impact, abrupt stops, debris, or erratic movements indicative of a crash.",1,25254.4,79.8,24698.3,541,1756,71.1
3,000960,crash,crash,0.95,"The sequence captures a collision event starting around frame t=7/9 where two vehicles are seen close together. By t=8/9 and t=9/9, a silver sedan is observed leaving the roadway into the vegetation on the right side of the road (relative to camera), colliding with another dark vehicle or stationary object, accompanied by visible smoke/dust indicating impact.",1,11308.7,453.2,10465.8,541,753,71.9
4,000717,crash,no_crash,0.95,"The sequence shows a vehicle driving smoothly through a parking lot or park area. In the first frame (t=1/9), another car is seen turning away to the left and disappears from view by t=2/9 without incident. The camera vehicle continues forward along a clear path towards an intersection with parked cars in the distance, maintaining steady speed and trajectory throughout all frames.",0,14607.7,397.2,13823.1,541,987,71.4
5,002791,no_crash,no_crash,0.98,"The sequence shows a vehicle driving up a hill with other traffic ahead. Throughout the frames (t=1 to t=9), there is no sudden impact, collision, or erratic movement. The vehicles maintain their positions relative to the road and background consistently, indicating normal driving conditions without an accident.",1,24002.7,421.8,23191.5,541,1660,71.6
6,001460,crash,no_crash,0.95,"The sequence shows continuous driving on a highway with stable camera movement and lane discipline. A dark van travels ahead in the center-left lane, while another SUV (Jeep) is visible merging or traveling alongside in the right lane from frame t=4/9 onwards. The SUV's brake lights illuminate at t=7/9, indicating normal slowing for traffic conditions rather than an emergency stop due to impact. No sudden collisions, vehicle departures from roadway, airbag deployment, or debris are observed throughout the sequence.",0,67880.2,477.6,67014.2,541,4569,68.2
7,001074,crash,ERROR,0,,0,126357.5,586.5,125360.6,541,8096,64.6
8,000301,crash,ERROR,0,,0,125874.0,633.1,124820.7,541,8096,64.9
9,000082,crash,no_crash,0.95,The sequence shows an autonomous vehicle navigating a snowy road with parked cars on both sides (cut-in scenario). A dark hatchback appears ahead and comes to a stop in traffic/congestion between obstacles. The ego vehicle slows down behind it without impact or collision.,0,95845.9,581.1,94800.6,541,6192,65.3
10,002587,no_crash,no_crash,0.95,"The vehicle remains stationary or moves very slowly with brake lights illuminated throughout the sequence (t=1 to t=9). There is no sudden impact, debris, airbag deployment, or erratic movement observed between frames. The traffic appears congested but stable.",1,71894.6,571.3,70899.2,541,4603,64.9
11,000733,crash,ERROR,0,,0,125543.2,555.4,124572.3,541,8096,65.0
12,001697,no_crash,no_crash,0.98,"The sequence shows a vehicle moving slowly or idling at an intersection with red traffic lights visible ahead. Throughout the frames (t=1/9 to t=9/9), there is no evidence of sudden impact, erratic camera movement, airbag deployment, debris, or vehicles colliding. The scene remains stable and consistent.",1,20823.6,445.9,19920.8,541,1425,71.5
13,000106,crash,no_crash,0.98,"The sequence shows the ego-vehicle approaching an area where a pedestrian enters the roadway from the right sidewalk (frames t=4 to t=6). The vehicle appears to slow down or maintain distance to allow the pedestrian to cross safely into the opposing lane by frame t=7. There are no signs of impact, such as sudden deceleration beyond normal braking for safety, debris, smoke, or damage to vehicles. Traffic flow continues normally with oncoming traffic visible in later frames.",0,46266.4,414.8,45451.7,541,3222,70.9
14,000398,crash,crash,0.95,"The sequence shows a large yellow truck merging or turning across the lane from the right side (frames t=3 to t=4). The camera vehicle rapidly closes distance with it. By frame t=6 and onwards, the view is obstructed by the truck's cargo box, indicating that the ego-vehicle has collided with the rear/side corner of the truck as it cut across its path.",1,14340.9,493.8,13433.4,541,960,71.5
15,000941,no_crash,no_crash,0.98,"The vehicle maintains a steady forward trajectory in the lane throughout all frames. There is no evidence of sudden braking, swerving, collision with other vehicles, or loss of control. The distance to the lead vehicle remains consistent and traffic flow appears normal.",1,17769.4,506.8,16861.0,541,1205,71.5
16,000033,crash,crash,0.92,"The sequence shows traffic approaching an accident scene on a highway bridge. In frames t=5/9 and t=6/9, multiple white sedans in the center lanes are seen closing distance rapidly until they appear to make side-by-side contact or overlap significantly by frame t=7/9. This abrupt reduction in spacing between adjacent vehicles indicates a multi-vehicle collision (side-swipe) has occurred.",1,32268.6,409.5,31477.5,541,2234,71.0
17,001751,no_crash,no_crash,0.98,"The vehicle positions and surroundings remain consistent across all frames with no signs of sudden impact, erratic movement, or debris indicating a collision.",1,21383.0,396.9,20596.7,541,1459,70.8
